,date,Ed Sheeran,Alphabet
0,2015-01-04,39,33
1,2015-01-11,46,32
2,2015-01-18,41,33
3,2015-01-25,51,43
4,2015-02-01,46,35
5,2015-02-08,95,31
6,2015-02-15,52,29
7,2015-02-22,47,26
8,2015-03-01,36,32
9,2015-03-08,33,32
10,2015-03-15,27,27
11,2015-03-22,31,28
12,2015-03-29,33,26
13,2015-04-05,29,22
14,2015-04-12,27,32
15,2015-04-19,27,33
16,2015-04-26,23,26
17,2015-05-03,26,26
18,2015-05-10,23,30
19,2015-05-17,37,25
20,2015-05-24,29,22
21,2015-05-31,33,26
22,2015-06-07,26,27
23,2015-06-14,36,22
24,2015-06-21,23,21
25,2015-06-28,31,23
26,2015-07-05,28,23
27,2015-07-12,18,24
28,2015-07-19,26,18
29,2015-07-26,18,23
30,2015-08-02,19,23
31,2015-08-09,30,47
32,2015-08-16,28,34
33,2015-08-23,21,40
34,2015-08-30,27,40
35,2015-09-06,24,35
36,2015-09-13,20,33
37,2015-09-20,20,33
38,2015-09-27,21,37
39,2015-10-04,22,37
40,2015-10-11,20,32
41,2015-10-18,14,40
42,2015-10-25,15,35
43,2015-11-01,19,35
44,2015-11-08,29,30
45,2015-11-15,15,31
46,2015-11-22,14,22
47,2015-11-29,11,35
48,2015-12-06,12,34
49,2015-12-13,15,27
50,2015-12-20,17,22
51,2015-12-27,14,18
52,2016-01-03,12,22
53,2016-01-10,13,27
54,2016-01-17,10,26
55,2016-01-24,12,32
56,2016-01-31,10,31
57,2016-02-07,10,30
58,2016-02-14,22,29
59,2016-02-21,10,28
60,2016-02-28,12,29
61,2016-03-06,8,27
62,2016-03-13,9,25
63,2016-03-20,7,27
64,2016-03-27,10,22
65,2016-04-03,9,30
66,2016-04-10,9,29
67,2016-04-17,6,27
68,2016-04-24,7,24
69,2016-05-01,9,21
70,2016-05-08,8,26
71,2016-05-15,8,26
72,2016-05-22,9,26
73,2016-05-29,6,25
74,2016-06-05,11,23
75,2016-06-12,7,25
76,2016-06-19,8,23
77,2016-06-26,9,20
78,2016-07-03,6,18
79,2016-07-10,9,18
80,2016-07-17,6,20
81,2016-07-24,8,23
82,2016-07-31,4,29
83,2016-08-07,8,21
84,2016-08-14,4,28
85,2016-08-21,7,32
86,2016-08-28,7,35
87,2016-09-04,4,33
88,2016-09-11,6,37
89,2016-09-18,6,34
90,2016-09-25,6,34
91,2016-10-02,6,27
92,2016-10-09,6,28
93,2016-10-16,7,30
94,2016-10-23,5,28
95,2016-10-30,7,26
96,2016-11-06,7,22
97,2016-11-13,7,28
98,2016-11-20,8,26
99,2016-11-27,7,31
100,2016-12-04,4,30
101,2016-12-11,6,29
