,date,Guns N' Roses,Alphabet
0,2015-01-04,4,38
1,2015-01-11,5,37
2,2015-01-18,4,38
3,2015-01-25,6,49
4,2015-02-01,5,40
5,2015-02-08,2,35
6,2015-02-15,3,33
7,2015-02-22,7,30
8,2015-03-01,4,36
9,2015-03-08,3,37
10,2015-03-15,5,31
11,2015-03-22,6,32
12,2015-03-29,5,30
13,2015-04-05,4,24
14,2015-04-12,5,36
15,2015-04-19,3,37
16,2015-04-26,4,29
17,2015-05-03,7,30
18,2015-05-10,7,34
19,2015-05-17,6,28
20,2015-05-24,7,25
21,2015-05-31,6,29
22,2015-06-07,7,31
23,2015-06-14,6,25
24,2015-06-21,3,24
25,2015-06-28,6,26
26,2015-07-05,6,26
27,2015-07-12,6,28
28,2015-07-19,6,21
29,2015-07-26,8,26
30,2015-08-02,7,26
31,2015-08-09,4,53
32,2015-08-16,5,38
33,2015-08-23,8,45
34,2015-08-30,4,46
35,2015-09-06,6,39
36,2015-09-13,4,37
37,2015-09-20,5,38
38,2015-09-27,6,42
39,2015-10-04,7,42
40,2015-10-11,7,37
41,2015-10-18,6,46
42,2015-10-25,6,39
43,2015-11-01,5,40
44,2015-11-08,8,34
45,2015-11-15,7,35
46,2015-11-22,6,25
47,2015-11-29,9,39
48,2015-12-06,8,39
49,2015-12-13,6,31
50,2015-12-20,7,25
51,2015-12-27,20,21
52,2016-01-03,18,25
53,2016-01-10,11,31
54,2016-01-17,15,30
55,2016-01-24,11,37
56,2016-01-31,10,35
57,2016-02-07,7,34
58,2016-02-14,6,33
59,2016-02-21,9,32
60,2016-02-28,6,33
61,2016-03-06,7,31
62,2016-03-13,8,29
63,2016-03-20,9,31
64,2016-03-27,29,25
65,2016-04-03,35,34
66,2016-04-10,24,33
67,2016-04-17,25,30
68,2016-04-24,14,27
69,2016-05-01,10,23
70,2016-05-08,10,30
71,2016-05-15,10,29
72,2016-05-22,10,30
73,2016-05-29,10,29
74,2016-06-05,10,26
75,2016-06-12,11,28
76,2016-06-19,21,26
77,2016-06-26,20,23
78,2016-07-03,20,20
79,2016-07-10,19,20
80,2016-07-17,14,23
81,2016-07-24,21,26
82,2016-07-31,9,33
83,2016-08-07,8,24
84,2016-08-14,7,31
85,2016-08-21,8,36
86,2016-08-28,7,40
87,2016-09-04,5,37
88,2016-09-11,5,42
89,2016-09-18,6,39
90,2016-09-25,7,39
91,2016-10-02,5,31
92,2016-10-09,7,32
93,2016-10-16,7,35
94,2016-10-23,6,32
95,2016-10-30,7,30
96,2016-11-06,6,25
97,2016-11-13,7,32
98,2016-11-20,7,30
99,2016-11-27,9,35
100,2016-12-04,35,34
101,2016-12-11,14,33
102,2016-12-18,12,26
103,2016-12-25,9,22
104,2017-01-01,11,30
105,2017-01-08,5,25
106,2017-01-15,9,29
107,2017-01-22,10,33
108,2017-01-29,8,33
109,2017-02-05,11,39
110,2017-02-12,10,36
111,2017-02-19,8,34
112,2017-02-26,7,29
113,2017-03-05,7,32
114,2017-03-12,9,29
115,2017-03-19,7,29
116,2017-03-26,5,31
117,2017-04-02,6,28
118,2017-04-09,6,27
119,2017-04-16,7,28
120,2017-04-23,7,31
121,2017-04-30,9,27
122,2017-05-07,7,27
123,2017-05-14,10,29
124,2017-05-21,9,32
125,2017-05-28,15,32
126,2017-06-04,10,28
127,2017-06-11,13,24
128,2017-06-18,13,25
129,2017-06-25,12,25
130,2017-07-02,12,22
131,2017-07-09,19,26
132,2017-07-16,17,25
133,2017-07-23,19,24
134,2017-07-30,27,21
135,2017-08-06,100,24
136,2017-08-13,29,26
137,2017-08-20,8,30
138,2017-08-27,9,38
139,2017-09-03,9,32
140,2017-09-10,5,38
141,2017-09-17,6,41
142,2017-09-24,7,38
143,2017-10-01,7,35
144,2017-10-08,7,40
145,2017-10-15,7,35
146,2017-10-22,9,35
147,2017-10-29,7,32
148,2017-11-05,7,35
149,2017-11-12,7,37
150,2017-11-19,4,24
151,2017-11-26,6,37
152,2017-12-03,1,29
153,2017-12-10,4,33
154,2017-12-17,4,28
155,2017-12-24,6,26
156,2017-12-31,4,27
157,2018-01-07,3,30
158,2018-01-14,4,25
159,2018-01-21,4,35
160,2018-01-28,5,39
161,2018-02-04,5,36
162,2018-02-11,4,37
163,2018-02-18,6,37
164,2018-02-25,7,33
165,2018-03-04,6,30
166,2018-03-11,5,35
167,2018-03-18,6,31
168,2018-03-25,4,31
169,2018-04-01,6,24
170,2018-04-08,5,34
171,2018-04-15,5,29
172,2018-04-22,4,34
173,2018-04-29,7,27
174,2018-05-06,5,29
175,2018-05-13,4,30
176,2018-05-20,8,30
177,2018-05-27,5,26
178,2018-06-03,7,27
179,2018-06-10,6,23
180,2018-06-17,5,25
181,2018-06-24,7,26
182,2018-07-01,8,22
183,2018-07-08,6,21
184,2018-07-15,6,23
185,2018-07-22,6,27
186,2018-07-29,4,26
187,2018-08-05,6,26
188,2018-08-12,6,29
189,2018-08-19,6,29
190,2018-08-26,5,44
191,2018-09-02,5,40
192,2018-09-09,3,30
193,2018-09-16,3,31
194,2018-09-23,5,36
195,2018-09-30,5,36
196,2018-10-07,4,36
197,2018-10-14,6,30
198,2018-10-21,4,38
199,2018-10-28,5,34
200,2018-11-04,5,36
201,2018-11-11,3,30
202,2018-11-18,4,27
203,2018-11-25,6,30
204,2018-12-02,4,30
205,2018-12-09,5,25
206,2018-12-16,4,29
207,2018-12-23,6,26
208,2018-12-30,4,27
209,2019-01-06,5,33
210,2019-01-13,5,31
