,date,Metallica,Alphabet
0,2015-01-04,11,60
1,2015-01-11,10,58
2,2015-01-18,13,59
3,2015-01-25,15,78
4,2015-02-01,18,63
5,2015-02-08,11,56
6,2015-02-15,10,51
7,2015-02-22,11,47
8,2015-03-01,13,57
9,2015-03-08,10,58
10,2015-03-15,13,49
11,2015-03-22,14,50
12,2015-03-29,14,47
13,2015-04-05,10,39
14,2015-04-12,14,57
15,2015-04-19,11,59
16,2015-04-26,9,46
17,2015-05-03,9,47
18,2015-05-10,16,54
19,2015-05-17,11,44
20,2015-05-24,17,39
21,2015-05-31,14,46
22,2015-06-07,17,48
23,2015-06-14,14,39
24,2015-06-21,16,38
25,2015-06-28,13,42
26,2015-07-05,14,41
27,2015-07-12,14,44
28,2015-07-19,14,32
29,2015-07-26,17,42
30,2015-08-02,15,41
31,2015-08-09,11,84
32,2015-08-16,12,60
33,2015-08-23,17,71
34,2015-08-30,12,72
35,2015-09-06,16,62
36,2015-09-13,16,59
37,2015-09-20,7,60
38,2015-09-27,14,66
39,2015-10-04,12,66
40,2015-10-11,16,58
41,2015-10-18,21,72
42,2015-10-25,10,62
43,2015-11-01,15,63
44,2015-11-08,14,54
45,2015-11-15,16,56
46,2015-11-22,12,39
47,2015-11-29,15,62
48,2015-12-06,13,61
49,2015-12-13,12,49
50,2015-12-20,14,40
51,2015-12-27,21,32
52,2016-01-03,14,40
53,2016-01-10,13,49
54,2016-01-17,14,47
55,2016-01-24,14,58
56,2016-01-31,15,55
57,2016-02-07,22,54
58,2016-02-14,12,52
59,2016-02-21,12,51
60,2016-02-28,12,52
61,2016-03-06,12,48
62,2016-03-13,11,46
63,2016-03-20,19,49
64,2016-03-27,18,40
65,2016-04-03,9,53
66,2016-04-10,17,52
67,2016-04-17,19,48
68,2016-04-24,17,43
69,2016-05-01,17,37
70,2016-05-08,14,47
71,2016-05-15,14,46
72,2016-05-22,14,47
73,2016-05-29,15,45
74,2016-06-05,18,40
75,2016-06-12,16,44
76,2016-06-19,12,41
77,2016-06-26,12,36
78,2016-07-03,10,32
79,2016-07-10,13,32
80,2016-07-17,14,36
81,2016-07-24,14,41
82,2016-07-31,12,51
83,2016-08-07,12,38
84,2016-08-14,34,49
85,2016-08-21,27,57
86,2016-08-28,17,64
87,2016-09-04,15,59
88,2016-09-11,20,67
89,2016-09-18,18,62
90,2016-09-25,26,62
91,2016-10-02,20,48
92,2016-10-09,17,50
93,2016-10-16,19,55
94,2016-10-23,15,50
95,2016-10-30,15,47
96,2016-11-06,14,39
97,2016-11-13,51,51
98,2016-11-20,42,47
99,2016-11-27,20,55
100,2016-12-04,21,54
101,2016-12-11,22,53
102,2016-12-18,20,42
103,2016-12-25,18,35
104,2017-01-01,18,47
105,2017-01-08,16,40
106,2017-01-15,18,45
107,2017-01-22,18,52
108,2017-01-29,15,53
109,2017-02-05,17,61
110,2017-02-12,100,57
111,2017-02-19,32,54
112,2017-02-26,24,45
113,2017-03-05,20,50
114,2017-03-12,19,46
115,2017-03-19,17,45
116,2017-03-26,19,48
117,2017-04-02,18,44
118,2017-04-09,15,43
119,2017-04-16,22,44
120,2017-04-23,22,49
121,2017-04-30,20,42
122,2017-05-07,18,43
123,2017-05-14,25,47
124,2017-05-21,21,50
125,2017-05-28,17,50
126,2017-06-04,21,44
127,2017-06-11,19,39
128,2017-06-18,27,39
129,2017-06-25,21,40
130,2017-07-02,25,34
131,2017-07-09,32,42
132,2017-07-16,18,39
133,2017-07-23,12,37
134,2017-07-30,16,33
135,2017-08-06,21,38
136,2017-08-13,14,41
137,2017-08-20,14,48
138,2017-08-27,15,60
139,2017-09-03,19,50
140,2017-09-10,14,61
141,2017-09-17,12,65
142,2017-09-24,14,61
143,2017-10-01,11,56
144,2017-10-08,13,63
145,2017-10-15,11,56
146,2017-10-22,14,55
147,2017-10-29,13,51
148,2017-11-05,20,55
149,2017-11-12,11,58
150,2017-11-19,9,39
151,2017-11-26,13,58
152,2017-12-03,11,46
153,2017-12-10,15,53
154,2017-12-17,14,44
155,2017-12-24,10,42
156,2017-12-31,12,43
157,2018-01-07,12,48
158,2018-01-14,12,39
159,2018-01-21,13,55
160,2018-01-28,14,62
161,2018-02-04,14,57
162,2018-02-11,16,58
163,2018-02-18,17,58
164,2018-02-25,93,53
165,2018-03-04,27,47
166,2018-03-11,20,55
167,2018-03-18,16,49
168,2018-03-25,13,49
169,2018-04-01,18,38
170,2018-04-08,21,54
171,2018-04-15,15,46
172,2018-04-22,15,53
173,2018-04-29,16,43
174,2018-05-06,14,46
175,2018-05-13,17,47
