,date,The Rolling Stones,Alphabet
0,2015-01-04,5,29
1,2015-01-11,6,28
2,2015-01-18,6,29
3,2015-01-25,6,38
4,2015-02-01,2,30
5,2015-02-08,5,27
6,2015-02-15,5,25
7,2015-02-22,4,23
8,2015-03-01,4,28
9,2015-03-08,6,28
10,2015-03-15,13,23
11,2015-03-22,8,24
12,2015-03-29,40,23
13,2015-04-05,43,19
14,2015-04-12,30,28
15,2015-04-19,13,29
16,2015-04-26,11,22
17,2015-05-03,11,23
18,2015-05-10,10,26
19,2015-05-17,14,21
20,2015-05-24,17,19
21,2015-05-31,16,22
22,2015-06-07,19,23
23,2015-06-14,22,19
24,2015-06-21,22,18
25,2015-06-28,100,20
26,2015-07-05,16,20
27,2015-07-12,11,21
28,2015-07-19,7,16
29,2015-07-26,9,20
30,2015-08-02,10,20
31,2015-08-09,7,40
32,2015-08-16,6,29
33,2015-08-23,7,35
34,2015-08-30,7,35
35,2015-09-06,7,30
36,2015-09-13,7,28
37,2015-09-20,6,29
38,2015-09-27,6,32
39,2015-10-04,7,32
40,2015-10-11,5,28
41,2015-10-18,6,35
42,2015-10-25,7,30
43,2015-11-01,7,31
44,2015-11-08,7,26
45,2015-11-15,7,27
46,2015-11-22,6,19
47,2015-11-29,7,30
48,2015-12-06,6,30
49,2015-12-13,7,24
50,2015-12-20,7,19
51,2015-12-27,7,16
52,2016-01-03,5,19
53,2016-01-10,8,24
54,2016-01-17,6,23
55,2016-01-24,5,28
56,2016-01-31,5,27
57,2016-02-07,7,26
58,2016-02-14,7,25
59,2016-02-21,8,24
60,2016-02-28,6,25
61,2016-03-06,8,23
62,2016-03-13,5,22
63,2016-03-20,7,24
64,2016-03-27,6,19
65,2016-04-03,6,26
66,2016-04-10,5,25
67,2016-04-17,7,23
68,2016-04-24,5,21
69,2016-05-01,6,18
70,2016-05-08,8,23
71,2016-05-15,6,22
72,2016-05-22,7,23
73,2016-05-29,5,22
74,2016-06-05,5,20
75,2016-06-12,6,21
76,2016-06-19,6,20
77,2016-06-26,6,18
78,2016-07-03,4,16
79,2016-07-10,5,16
80,2016-07-17,3,17
81,2016-07-24,4,20
82,2016-07-31,4,25
83,2016-08-07,5,18
84,2016-08-14,5,24
85,2016-08-21,6,27
86,2016-08-28,6,31
87,2016-09-04,5,28
88,2016-09-11,5,32
89,2016-09-18,6,30
90,2016-09-25,6,30
91,2016-10-02,6,23
92,2016-10-09,7,24
93,2016-10-16,6,26
94,2016-10-23,4,24
95,2016-10-30,6,23
96,2016-11-06,4,19
97,2016-11-13,5,25
98,2016-11-20,6,23
99,2016-11-27,6,27
100,2016-12-04,11,26
101,2016-12-11,8,25
102,2016-12-18,6,20
103,2016-12-25,7,17
104,2017-01-01,6,23
105,2017-01-08,5,19
106,2017-01-15,7,22
107,2017-01-22,5,25
108,2017-01-29,5,25
109,2017-02-05,5,30
110,2017-02-12,7,27
111,2017-02-19,5,26
112,2017-02-26,5,22
113,2017-03-05,5,24
114,2017-03-12,5,22
115,2017-03-19,5,22
116,2017-03-26,4,23
117,2017-04-02,5,21
118,2017-04-09,4,21
119,2017-04-16,6,21
120,2017-04-23,4,24
121,2017-04-30,6,21
122,2017-05-07,4,21
123,2017-05-14,5,23
124,2017-05-21,6,24
125,2017-05-28,6,24
126,2017-06-04,6,21
127,2017-06-11,4,19
128,2017-06-18,5,19
129,2017-06-25,6,19
130,2017-07-02,7,17
131,2017-07-09,5,20
132,2017-07-16,6,19
133,2017-07-23,7,18
134,2017-07-30,5,16
135,2017-08-06,7,18
136,2017-08-13,6,20
137,2017-08-20,5,23
138,2017-08-27,4,29
139,2017-09-03,5,24
140,2017-09-10,5,29
141,2017-09-17,5,32
142,2017-09-24,5,29
143,2017-10-01,6,27
144,2017-10-08,4,30
145,2017-10-15,5,27
146,2017-10-22,4,26
147,2017-10-29,5,25
148,2017-11-05,5,27
149,2017-11-12,5,28
150,2017-11-19,4,19
151,2017-11-26,3,28
152,2017-12-03,5,22
153,2017-12-10,4,26
154,2017-12-17,4,21
155,2017-12-24,3,20
156,2017-12-31,4,21
157,2018-01-07,4,23
158,2018-01-14,4,19
159,2018-01-21,6,26
160,2018-01-28,5,30
161,2018-02-04,4,28
162,2018-02-11,6,28
163,2018-02-18,6,28
164,2018-02-25,5,26
165,2018-03-04,7,23
166,2018-03-11,5,27
167,2018-03-18,4,24
168,2018-03-25,7,24
169,2018-04-01,6,18
170,2018-04-08,5,26
171,2018-04-15,6,22
172,2018-04-22,6,26
173,2018-04-29,7,21
174,2018-05-06,5,22
