,date,Bruno Mars,Alphabet
0,2015-01-04,11,9
1,2015-01-11,7,6
2,2015-01-18,5,3
3,2015-01-25,10,3
4,2015-02-01,8,3
5,2015-02-08,4,3
6,2015-02-15,6,15
7,2015-02-22,6,0
8,2015-03-01,2,4
9,2015-03-08,5,7
10,2015-03-15,7,9
11,2015-03-22,6,0
12,2015-03-29,5,0
13,2015-04-05,0,0
14,2015-04-12,3,5
15,2015-04-19,0,5
16,2015-04-26,0,5
17,2015-05-03,5,5
18,2015-05-10,0,12
19,2015-05-17,3,0
20,2015-05-24,5,7
21,2015-05-31,0,11
22,2015-06-07,0,6
23,2015-06-14,0,3
24,2015-06-21,0,3
25,2015-06-28,0,6
26,2015-07-05,3,0
27,2015-07-12,0,10
28,2015-07-19,5,5
29,2015-07-26,4,0
30,2015-08-02,4,13
31,2015-08-09,3,13
32,2015-08-16,0,3
33,2015-08-23,0,10
34,2015-08-30,0,10
35,2015-09-06,4,9
36,2015-09-13,3,8
37,2015-09-20,0,10
38,2015-09-27,0,8
39,2015-10-04,0,9
40,2015-10-11,0,7
41,2015-10-18,0,2
42,2015-10-25,0,0
43,2015-11-01,0,9
44,2015-11-08,0,5
45,2015-11-15,2,7
46,2015-11-22,0,8
47,2015-11-29,4,6
48,2015-12-06,0,6
49,2015-12-13,0,3
50,2015-12-20,4,10
51,2015-12-27,0,8
52,2016-01-03,0,0
53,2016-01-10,8,7
54,2016-01-17,0,8
55,2016-01-24,0,9
56,2016-01-31,5,3
57,2016-02-07,20,7
58,2016-02-14,2,0
59,2016-02-21,0,4
60,2016-02-28,10,6
61,2016-03-06,3,6
62,2016-03-13,5,3
63,2016-03-20,6,2
64,2016-03-27,0,3
65,2016-04-03,4,7
66,2016-04-10,3,8
67,2016-04-17,2,6
68,2016-04-24,5,5
69,2016-05-01,0,10
70,2016-05-08,2,6
71,2016-05-15,0,7
72,2016-05-22,0,0
73,2016-05-29,3,6
74,2016-06-05,0,9
75,2016-06-12,5,5
76,2016-06-19,4,4
77,2016-06-26,10,0
78,2016-07-03,4,7
79,2016-07-10,3,3
80,2016-07-17,0,0
81,2016-07-24,4,0
82,2016-07-31,2,6
83,2016-08-07,0,2
84,2016-08-14,6,0
85,2016-08-21,0,3
86,2016-08-28,2,9
87,2016-09-04,0,7
88,2016-09-11,2,9
89,2016-09-18,3,10
90,2016-09-25,6,3
91,2016-10-02,5,5
92,2016-10-09,0,4
93,2016-10-16,3,9
94,2016-10-23,0,3
95,2016-10-30,9,5
96,2016-11-06,11,7
97,2016-11-13,16,4
98,2016-11-20,27,7
99,2016-11-27,8,6
100,2016-12-04,6,8
101,2016-12-11,16,8
102,2016-12-18,8,7
103,2016-12-25,3,5
104,2017-01-01,4,6
105,2017-01-08,4,3
106,2017-01-15,5,5
107,2017-01-22,6,9
108,2017-01-29,7,5
109,2017-02-05,12,4
110,2017-02-12,27,4
111,2017-02-19,9,11
112,2017-02-26,5,4
113,2017-03-05,12,8
114,2017-03-12,4,4
115,2017-03-19,0,3
116,2017-03-26,8,9
117,2017-04-02,4,6
118,2017-04-09,8,5
119,2017-04-16,6,11
120,2017-04-23,4,9
121,2017-04-30,5,10
122,2017-05-07,4,5
123,2017-05-14,2,9
124,2017-05-21,8,7
125,2017-05-28,3,4
126,2017-06-04,6,7
127,2017-06-11,10,4
128,2017-06-18,6,3
129,2017-06-25,10,12
130,2017-07-02,3,9
131,2017-07-09,0,7
132,2017-07-16,9,0
133,2017-07-23,20,3
134,2017-07-30,100,7
135,2017-08-06,12,4
136,2017-08-13,8,4
137,2017-08-20,5,9
138,2017-08-27,5,7
139,2017-09-03,0,6
140,2017-09-10,2,8
141,2017-09-17,4,6
142,2017-09-24,8,8
143,2017-10-01,3,11
144,2017-10-08,6,11
145,2017-10-15,3,8
146,2017-10-22,4,3
147,2017-10-29,0,8
148,2017-11-05,4,7
149,2017-11-12,4,9
150,2017-11-19,0,6
151,2017-11-26,4,9
152,2017-12-03,1,8
153,2017-12-10,3,6
154,2017-12-17,0,8
155,2017-12-24,7,11
156,2017-12-31,3,8
157,2018-01-07,6,6
158,2018-01-14,2,9
159,2018-01-21,4,9
160,2018-01-28,14,8
161,2018-02-04,5,4
162,2018-02-11,3,6
163,2018-02-18,3,7
164,2018-02-25,4,5
165,2018-03-04,5,6
166,2018-03-11,0,8
167,2018-03-18,0,8
168,2018-03-25,3,6
169,2018-04-01,8,9
170,2018-04-08,0,6
171,2018-04-15,2,7
172,2018-04-22,2,6
173,2018-04-29,2,5
174,2018-05-06,0,8
175,2018-05-13,5,5
176,2018-05-20,5,3
177,2018-05-27,0,3
178,2018-06-03,0,5
179,2018-06-10,3,6
180,2018-06-17,0,8
181,2018-06-24,0,5
182,2018-07-01,0,3
183,2018-07-08,2,5
184,2018-07-15,0,4
185,2018-07-22,0,10
186,2018-07-29,0,13
187,2018-08-05,3,8
188,2018-08-12,3,6
189,2018-08-19,2,14
190,2018-08-26,0,6
191,2018-09-02,3,12
192,2018-09-09,0,4
193,2018-09-16,3,6
194,2018-09-23,0,9
195,2018-09-30,7,6
196,2018-10-07,0,6
197,2018-10-14,0,6
198,2018-10-21,0,7
199,2018-10-28,0,9
200,2018-11-04,2,10
201,2018-11-11,3,7
202,2018-11-18,4,7
203,2018-11-25,0,5
204,2018-12-02,2,5
205,2018-12-09,0,9
206,2018-12-16,4,3
207,2018-12-23,3,0
208,2018-12-30,6,6
209,2019-01-06,0,7
210,2019-01-13,2,9
211,2019-01-20,2,4
212,2019-01-27,0,8
213,2019-02-03,2,7
214,2019-02-10,2,7
215,2019-02-17,0,7
216,2019-02-24,4,5
217,2019-03-03,10,3
218,2019-03-10,0,5
219,2019-03-17,0,5
220,2019-03-24,0,5
221,2019-03-31,2,5
222,2019-04-07,0,5
223,2019-04-14,2,8
224,2019-04-21,0,4
225,2019-04-28,3,6
226,2019-05-05,3,11
227,2019-05-12,0,4
228,2019-05-19,1,4
229,2019-05-26,0,4
230,2019-06-02,0,2
231,2019-06-09,0,8
232,2019-06-16,2,7
233,2019-06-23,4,8
234,2019-06-30,0,2
235,2019-07-07,0,5
