,date,Ed Sheeran,Alphabet
0,2015-01-04,5,11
1,2015-01-11,9,7
2,2015-01-18,8,3
3,2015-01-25,10,3
4,2015-02-01,9,4
5,2015-02-08,16,3
6,2015-02-15,13,18
7,2015-02-22,14,0
8,2015-03-01,16,5
9,2015-03-08,0,8
10,2015-03-15,9,11
11,2015-03-22,0,0
12,2015-03-29,11,0
13,2015-04-05,0,0
14,2015-04-12,13,5
15,2015-04-19,4,5
16,2015-04-26,5,5
17,2015-05-03,0,6
18,2015-05-10,3,14
19,2015-05-17,6,0
20,2015-05-24,6,8
21,2015-05-31,11,13
22,2015-06-07,27,7
23,2015-06-14,12,4
24,2015-06-21,8,4
25,2015-06-28,0,7
26,2015-07-05,9,0
27,2015-07-12,4,11
28,2015-07-19,14,6
29,2015-07-26,8,0
30,2015-08-02,6,15
31,2015-08-09,15,15
32,2015-08-16,11,3
33,2015-08-23,0,12
34,2015-08-30,3,11
35,2015-09-06,5,10
36,2015-09-13,10,8
37,2015-09-20,6,11
38,2015-09-27,7,9
39,2015-10-04,3,10
40,2015-10-11,3,9
41,2015-10-18,8,2
42,2015-10-25,6,0
43,2015-11-01,5,10
44,2015-11-08,9,6
45,2015-11-15,5,8
46,2015-11-22,4,9
47,2015-11-29,0,7
48,2015-12-06,0,6
49,2015-12-13,0,4
50,2015-12-20,0,11
51,2015-12-27,0,10
52,2016-01-03,0,0
53,2016-01-10,0,8
54,2016-01-17,0,9
55,2016-01-24,3,11
56,2016-01-31,0,3
57,2016-02-07,4,8
58,2016-02-14,9,0
59,2016-02-21,2,5
60,2016-02-28,0,7
61,2016-03-06,0,7
62,2016-03-13,0,3
63,2016-03-20,0,2
64,2016-03-27,4,4
65,2016-04-03,0,8
66,2016-04-10,0,9
67,2016-04-17,0,8
68,2016-04-24,0,6
69,2016-05-01,7,12
70,2016-05-08,0,7
71,2016-05-15,2,7
72,2016-05-22,0,0
73,2016-05-29,0,7
74,2016-06-05,0,10
75,2016-06-12,0,6
76,2016-06-19,8,5
77,2016-06-26,0,0
78,2016-07-03,8,8
79,2016-07-10,0,3
80,2016-07-17,0,0
81,2016-07-24,0,0
82,2016-07-31,4,7
83,2016-08-07,0,3
84,2016-08-14,10,0
85,2016-08-21,0,4
86,2016-08-28,3,11
87,2016-09-04,6,8
88,2016-09-11,8,10
89,2016-09-18,0,12
90,2016-09-25,3,3
91,2016-10-02,0,7
92,2016-10-09,4,5
93,2016-10-16,5,11
94,2016-10-23,0,4
95,2016-10-30,3,5
96,2016-11-06,0,8
97,2016-11-13,0,5
98,2016-11-20,2,8
99,2016-11-27,0,7
100,2016-12-04,4,9
101,2016-12-11,2,9
102,2016-12-18,7,8
103,2016-12-25,3,5
104,2017-01-01,5,7
105,2017-01-08,6,3
106,2017-01-15,8,6
107,2017-01-22,4,10
108,2017-01-29,0,6
109,2017-02-05,6,5
110,2017-02-12,16,5
111,2017-02-19,8,13
112,2017-02-26,13,5
113,2017-03-05,33,9
114,2017-03-12,23,5
115,2017-03-19,16,3
116,2017-03-26,9,10
117,2017-04-02,12,7
118,2017-04-09,12,6
119,2017-04-16,4,12
120,2017-04-23,9,11
121,2017-04-30,9,12
122,2017-05-07,6,6
123,2017-05-14,5,10
124,2017-05-21,5,9
125,2017-05-28,0,5
126,2017-06-04,11,8
127,2017-06-11,7,5
128,2017-06-18,8,3
129,2017-06-25,14,14
130,2017-07-02,13,10
131,2017-07-09,7,8
132,2017-07-16,26,0
133,2017-07-23,6,3
134,2017-07-30,3,8
135,2017-08-06,9,5
136,2017-08-13,0,5
137,2017-08-20,6,11
138,2017-08-27,5,8
139,2017-09-03,2,7
140,2017-09-10,4,9
141,2017-09-17,23,7
142,2017-09-24,9,9
143,2017-10-01,11,13
144,2017-10-08,13,13
145,2017-10-15,39,9
146,2017-10-22,12,3
147,2017-10-29,16,9
