,date,Metallica,Alphabet
0,2015-01-04,0,13
1,2015-01-11,5,8
2,2015-01-18,9,4
3,2015-01-25,0,4
4,2015-02-01,0,5
5,2015-02-08,0,4
6,2015-02-15,0,22
7,2015-02-22,6,0
8,2015-03-01,0,6
9,2015-03-08,0,10
10,2015-03-15,0,13
11,2015-03-22,5,0
12,2015-03-29,0,0
13,2015-04-05,4,0
14,2015-04-12,4,6
15,2015-04-19,3,7
16,2015-04-26,0,7
17,2015-05-03,5,8
18,2015-05-10,0,17
19,2015-05-17,6,0
20,2015-05-24,13,10
21,2015-05-31,5,16
22,2015-06-07,0,8
23,2015-06-14,11,4
24,2015-06-21,0,4
25,2015-06-28,0,9
26,2015-07-05,0,0
27,2015-07-12,0,14
28,2015-07-19,10,7
29,2015-07-26,3,0
30,2015-08-02,5,18
31,2015-08-09,0,19
32,2015-08-16,0,4
33,2015-08-23,5,15
34,2015-08-30,0,14
35,2015-09-06,6,13
36,2015-09-13,14,11
37,2015-09-20,0,13
38,2015-09-27,0,11
39,2015-10-04,14,12
40,2015-10-11,0,10
41,2015-10-18,0,3
42,2015-10-25,0,0
43,2015-11-01,0,12
44,2015-11-08,0,8
45,2015-11-15,0,10
46,2015-11-22,5,11
47,2015-11-29,6,9
48,2015-12-06,6,8
49,2015-12-13,4,5
50,2015-12-20,0,13
51,2015-12-27,4,12
52,2016-01-03,11,0
53,2016-01-10,0,10
54,2016-01-17,6,11
55,2016-01-24,0,13
56,2016-01-31,3,4
57,2016-02-07,9,9
58,2016-02-14,4,0
59,2016-02-21,0,6
60,2016-02-28,0,8
61,2016-03-06,5,9
62,2016-03-13,12,4
63,2016-03-20,42,3
64,2016-03-27,13,5
65,2016-04-03,4,10
66,2016-04-10,0,11
67,2016-04-17,7,9
68,2016-04-24,7,7
69,2016-05-01,7,14
70,2016-05-08,6,8
71,2016-05-15,9,10
72,2016-05-22,12,0
73,2016-05-29,6,8
74,2016-06-05,9,12
75,2016-06-12,8,7
76,2016-06-19,8,6
77,2016-06-26,6,0
78,2016-07-03,0,10
79,2016-07-10,4,4
80,2016-07-17,4,0
81,2016-07-24,9,0
82,2016-07-31,0,8
83,2016-08-07,0,3
84,2016-08-14,15,0
85,2016-08-21,18,5
86,2016-08-28,18,13
87,2016-09-04,7,9
88,2016-09-11,2,12
89,2016-09-18,6,14
90,2016-09-25,6,4
91,2016-10-02,6,7
92,2016-10-09,17,6
93,2016-10-16,6,13
94,2016-10-23,5,5
95,2016-10-30,7,7
96,2016-11-06,8,10
97,2016-11-13,12,6
98,2016-11-20,12,9
99,2016-11-27,13,8
100,2016-12-04,2,12
101,2016-12-11,6,11
102,2016-12-18,0,10
103,2016-12-25,5,7
104,2017-01-01,4,9
105,2017-01-08,3,4
106,2017-01-15,8,8
107,2017-01-22,4,13
108,2017-01-29,2,7
109,2017-02-05,5,6
110,2017-02-12,30,6
111,2017-02-19,8,15
112,2017-02-26,0,6
113,2017-03-05,7,11
114,2017-03-12,7,6
115,2017-03-19,6,4
116,2017-03-26,4,12
117,2017-04-02,0,8
118,2017-04-09,9,7
119,2017-04-16,0,15
120,2017-04-23,4,13
121,2017-04-30,7,14
122,2017-05-07,5,7
123,2017-05-14,3,12
124,2017-05-21,9,11
125,2017-05-28,4,6
126,2017-06-04,8,10
127,2017-06-11,8,6
128,2017-06-18,13,4
129,2017-06-25,0,17
130,2017-07-02,10,12
131,2017-07-09,7,9
132,2017-07-16,0,0
133,2017-07-23,4,4
134,2017-07-30,4,10
135,2017-08-06,6,6
136,2017-08-13,7,6
137,2017-08-20,10,13
138,2017-08-27,4,10
139,2017-09-03,0,9
140,2017-09-10,9,11
141,2017-09-17,0,8
142,2017-09-24,0,12
143,2017-10-01,0,16
144,2017-10-08,9,16
145,2017-10-15,5,11
146,2017-10-22,0,4
147,2017-10-29,3,11
148,2017-11-05,0,9
149,2017-11-12,2,13
150,2017-11-19,4,9
151,2017-11-26,3,13
152,2017-12-03,0,11
153,2017-12-10,12,9
154,2017-12-17,7,12
155,2017-12-24,6,15
156,2017-12-31,7,11
157,2018-01-07,10,9
158,2018-01-14,3,13
159,2018-01-21,3,12
160,2018-01-28,4,11
161,2018-02-04,5,6
162,2018-02-11,7,8
163,2018-02-18,6,10
164,2018-02-25,100,8
165,2018-03-04,31,8
166,2018-03-11,10,11
167,2018-03-18,10,11
168,2018-03-25,10,8
169,2018-04-01,21,13
170,2018-04-08,11,9
171,2018-04-15,9,9
172,2018-04-22,4,8
173,2018-04-29,10,7
174,2018-05-06,10,11
175,2018-05-13,6,7
176,2018-05-20,9,4
177,2018-05-27,8,5
178,2018-06-03,7,7
179,2018-06-10,5,8
180,2018-06-17,7,12
181,2018-06-24,5,7
182,2018-07-01,7,4
183,2018-07-08,7,7
184,2018-07-15,6,5
185,2018-07-22,10,14
186,2018-07-29,10,18
187,2018-08-05,7,11
188,2018-08-12,10,8
189,2018-08-19,23,20
190,2018-08-26,19,9
191,2018-09-02,84,17
192,2018-09-09,57,5
193,2018-09-16,16,8
194,2018-09-23,10,13
195,2018-09-30,4,8
196,2018-10-07,5,9
197,2018-10-14,0,8
198,2018-10-21,7,10
199,2018-10-28,0,13
200,2018-11-04,5,13
201,2018-11-11,6,10
202,2018-11-18,0,9
203,2018-11-25,5,7
204,2018-12-02,8,7
205,2018-12-09,0,13
206,2018-12-16,3,4
207,2018-12-23,3,0
208,2018-12-30,3,8
209,2019-01-06,0,9
210,2019-01-13,3,12
211,2019-01-20,0,5
212,2019-01-27,6,11
213,2019-02-03,2,10
214,2019-02-10,6,10
215,2019-02-17,6,10
216,2019-02-24,4,7
217,2019-03-03,7,4
218,2019-03-10,11,7
219,2019-03-17,4,6
220,2019-03-24,3,7
221,2019-03-31,0,7
222,2019-04-07,5,6
223,2019-04-14,6,12
224,2019-04-21,4,6
225,2019-04-28,4,9
226,2019-05-05,0,16
227,2019-05-12,0,6
228,2019-05-19,5,6
229,2019-05-26,0,6
230,2019-06-02,5,3
231,2019-06-09,7,11
232,2019-06-16,4,10
233,2019-06-23,5,12
234,2019-06-30,0,3
235,2019-07-07,0,7
236,2019-07-14,0,7
237,2019-07-21,8,3
238,2019-07-28,5,0
239,2019-08-04,5,3
240,2019-08-11,3,12
241,2019-08-18,7,7
242,2019-08-25,3,12
243,2019-09-01,4,8
244,2019-09-08,7,16
245,2019-09-15,2,10
246,2019-09-22,9,9
247,2019-09-29,5,20
248,2019-10-06,0,12
249,2019-10-13,6,11
250,2019-10-20,0,13
251,2019-10-27,4,8
252,2019-11-03,0,12
253,2019-11-10,8,19
254,2019-11-17,0,13
255,2019-11-24,2,9
256,2019-12-01,2,9
257,2019-12-08,7,8
258,2019-12-15,0,10
259,2019-12-22,3,6
260,2019-12-29,0,13
