,date,Pink,Alphabet
0,2015-01-04,4,15
1,2015-01-11,0,10
2,2015-01-18,0,4
3,2015-01-25,7,5
4,2015-02-01,0,6
5,2015-02-08,9,5
6,2015-02-15,0,26
7,2015-02-22,0,0
8,2015-03-01,6,8
9,2015-03-08,4,12
10,2015-03-15,0,16
11,2015-03-22,4,0
12,2015-03-29,0,0
13,2015-04-05,0,0
14,2015-04-12,4,8
15,2015-04-19,4,8
16,2015-04-26,0,8
17,2015-05-03,4,9
18,2015-05-10,7,21
19,2015-05-17,0,0
20,2015-05-24,7,12
21,2015-05-31,10,19
22,2015-06-07,13,10
23,2015-06-14,23,5
24,2015-06-21,0,5
25,2015-06-28,8,11
26,2015-07-05,0,0
27,2015-07-12,0,16
28,2015-07-19,0,8
29,2015-07-26,5,0
30,2015-08-02,0,22
31,2015-08-09,6,22
32,2015-08-16,7,4
33,2015-08-23,0,17
34,2015-08-30,0,17
35,2015-09-06,0,15
36,2015-09-13,0,13
37,2015-09-20,0,16
38,2015-09-27,0,13
39,2015-10-04,0,14
40,2015-10-11,8,12
41,2015-10-18,4,3
42,2015-10-25,0,0
43,2015-11-01,7,14
44,2015-11-08,0,9
45,2015-11-15,6,12
46,2015-11-22,0,13
47,2015-11-29,4,11
48,2015-12-06,0,9
49,2015-12-13,0,5
50,2015-12-20,18,16
51,2015-12-27,0,14
52,2016-01-03,0,0
53,2016-01-10,0,12
54,2016-01-17,3,14
55,2016-01-24,5,15
56,2016-01-31,0,5
57,2016-02-07,0,11
58,2016-02-14,4,0
59,2016-02-21,5,7
60,2016-02-28,0,10
61,2016-03-06,0,10
62,2016-03-13,0,4
63,2016-03-20,4,3
64,2016-03-27,4,6
65,2016-04-03,0,12
66,2016-04-10,0,13
67,2016-04-17,4,11
68,2016-04-24,0,8
69,2016-05-01,7,17
70,2016-05-08,5,10
71,2016-05-15,0,12
72,2016-05-22,8,0
73,2016-05-29,8,10
74,2016-06-05,6,15
75,2016-06-12,0,9
76,2016-06-19,12,7
77,2016-06-26,0,0
78,2016-07-03,4,11
79,2016-07-10,5,5
80,2016-07-17,5,0
81,2016-07-24,6,0
82,2016-07-31,6,10
83,2016-08-07,5,4
84,2016-08-14,5,0
85,2016-08-21,0,5
86,2016-08-28,0,16
87,2016-09-04,7,11
88,2016-09-11,0,15
89,2016-09-18,5,17
90,2016-09-25,4,5
91,2016-10-02,6,9
92,2016-10-09,0,7
93,2016-10-16,0,16
94,2016-10-23,7,5
95,2016-10-30,12,8
96,2016-11-06,6,11
97,2016-11-13,0,7
98,2016-11-20,5,11
99,2016-11-27,4,10
100,2016-12-04,4,14
101,2016-12-11,9,13
102,2016-12-18,4,12
103,2016-12-25,0,8
104,2017-01-01,0,10
105,2017-01-08,12,5
106,2017-01-15,0,9
107,2017-01-22,0,15
108,2017-01-29,4,9
109,2017-02-05,5,7
110,2017-02-12,3,8
111,2017-02-19,0,18
112,2017-02-26,0,7
113,2017-03-05,0,13
114,2017-03-12,0,7
115,2017-03-19,3,5
116,2017-03-26,0,15
117,2017-04-02,0,10
118,2017-04-09,4,8
119,2017-04-16,0,18
120,2017-04-23,0,16
121,2017-04-30,8,17
122,2017-05-07,0,9
123,2017-05-14,7,15
124,2017-05-21,14,13
125,2017-05-28,0,7
126,2017-06-04,0,12
127,2017-06-11,6,8
128,2017-06-18,0,4
129,2017-06-25,11,21
130,2017-07-02,27,15
131,2017-07-09,0,11
132,2017-07-16,7,0
133,2017-07-23,7,4
134,2017-07-30,3,12
135,2017-08-06,6,7
136,2017-08-13,7,7
137,2017-08-20,0,16
138,2017-08-27,14,12
139,2017-09-03,8,11
140,2017-09-10,0,13
141,2017-09-17,7,10
142,2017-09-24,4,14
143,2017-10-01,13,19
144,2017-10-08,19,19
145,2017-10-15,15,14
146,2017-10-22,12,5
147,2017-10-29,9,14
148,2017-11-05,13,11
149,2017-11-12,7,16
150,2017-11-19,11,11
151,2017-11-26,10,15
152,2017-12-03,10,13
153,2017-12-10,11,11
154,2017-12-17,7,14
155,2017-12-24,11,18
156,2017-12-31,11,14
157,2018-01-07,8,11
158,2018-01-14,7,16
159,2018-01-21,10,15
160,2018-01-28,15,13
161,2018-02-04,22,7
162,2018-02-11,8,10
163,2018-02-18,5,12
164,2018-02-25,16,9
165,2018-03-04,10,10
166,2018-03-11,3,13
167,2018-03-18,0,13
168,2018-03-25,9,9
169,2018-04-01,3,15
170,2018-04-08,0,11
171,2018-04-15,6,11
172,2018-04-22,15,9
173,2018-04-29,15,8
174,2018-05-06,41,14
175,2018-05-13,17,9
176,2018-05-20,5,5
177,2018-05-27,9,5
178,2018-06-03,0,8
179,2018-06-10,6,10
180,2018-06-17,0,14
181,2018-06-24,12,9
182,2018-07-01,10,4
183,2018-07-08,8,8
184,2018-07-15,8,6
185,2018-07-22,7,16
186,2018-07-29,7,21
187,2018-08-05,11,13
188,2018-08-12,5,10
189,2018-08-19,7,23
190,2018-08-26,10,11
191,2018-09-02,4,20
192,2018-09-09,3,6
193,2018-09-16,9,10
194,2018-09-23,5,16
195,2018-09-30,0,9
196,2018-10-07,13,10
197,2018-10-14,7,10
198,2018-10-21,13,12
199,2018-10-28,3,15
200,2018-11-04,10,16
201,2018-11-11,7,12
202,2018-11-18,6,11
203,2018-11-25,3,9
204,2018-12-02,5,9
205,2018-12-09,5,15
206,2018-12-16,7,5
207,2018-12-23,4,0
208,2018-12-30,12,10
209,2019-01-06,10,11
210,2019-01-13,11,14
211,2019-01-20,0,6
212,2019-01-27,0,13
213,2019-02-03,9,12
214,2019-02-10,12,12
215,2019-02-17,6,12
216,2019-02-24,3,8
217,2019-03-03,11,5
218,2019-03-10,10,8
219,2019-03-17,10,8
220,2019-03-24,21,8
221,2019-03-31,13,9
222,2019-04-07,12,8
223,2019-04-14,14,14
224,2019-04-21,30,7
225,2019-04-28,99,11
226,2019-05-05,100,19
227,2019-05-12,10,7
228,2019-05-19,7,7
229,2019-05-26,0,7
230,2019-06-02,11,3
231,2019-06-09,3,13
232,2019-06-16,19,13
233,2019-06-23,7,14
234,2019-06-30,6,4
235,2019-07-07,7,8
236,2019-07-14,0,8
237,2019-07-21,5,4
238,2019-07-28,10,0
239,2019-08-04,6,3
240,2019-08-11,4,14
241,2019-08-18,0,9
242,2019-08-25,10,14
243,2019-09-01,12,9
244,2019-09-08,9,19
245,2019-09-15,6,12
246,2019-09-22,2,11
247,2019-09-29,10,23
248,2019-10-06,3,14
249,2019-10-13,0,13
250,2019-10-20,13,16
251,2019-10-27,6,10
252,2019-11-03,8,14
253,2019-11-10,12,22
254,2019-11-17,10,16
255,2019-11-24,5,11
256,2019-12-01,7,11
257,2019-12-08,6,10
258,2019-12-15,6,11
259,2019-12-22,0,8
260,2019-12-29,0,15
