,date,U2,Alphabet
0,2015-01-04,28,60
1,2015-01-11,16,39
2,2015-01-18,0,17
3,2015-01-25,0,19
4,2015-02-01,0,23
5,2015-02-08,43,18
6,2015-02-15,0,100
7,2015-02-22,0,0
8,2015-03-01,0,29
9,2015-03-08,0,45
10,2015-03-15,14,60
11,2015-03-22,34,0
12,2015-03-29,25,0
13,2015-04-05,0,0
14,2015-04-12,0,30
15,2015-04-19,0,31
16,2015-04-26,20,31
17,2015-05-03,20,36
18,2015-05-10,0,80
19,2015-05-17,66,0
20,2015-05-24,50,45
21,2015-05-31,27,74
22,2015-06-07,0,39
23,2015-06-14,0,20
24,2015-06-21,0,20
25,2015-06-28,35,41
26,2015-07-05,0,0
27,2015-07-12,0,63
28,2015-07-19,0,32
29,2015-07-26,0,0
30,2015-08-02,0,84
31,2015-08-09,0,87
32,2015-08-16,0,17
33,2015-08-23,0,67
34,2015-08-30,27,66
35,2015-09-06,0,58
36,2015-09-13,0,50
37,2015-09-20,0,62
38,2015-09-27,25,50
39,2015-10-04,0,56
40,2015-10-11,0,46
41,2015-10-18,0,13
42,2015-10-25,0,0
43,2015-11-01,0,56
44,2015-11-08,0,35
45,2015-11-15,37,47
46,2015-11-22,0,50
47,2015-11-29,0,42
48,2015-12-06,0,36
49,2015-12-13,19,21
50,2015-12-20,0,62
51,2015-12-27,0,54
52,2016-01-03,21,0
53,2016-01-10,17,48
54,2016-01-17,0,53
55,2016-01-24,0,60
56,2016-01-31,19,20
57,2016-02-07,0,43
58,2016-02-14,15,0
59,2016-02-21,25,29
60,2016-02-28,0,37
61,2016-03-06,0,41
62,2016-03-13,25,17
63,2016-03-20,0,13
64,2016-03-27,0,23
65,2016-04-03,0,45
66,2016-04-10,26,52
67,2016-04-17,20,42
68,2016-04-24,0,31
69,2016-05-01,0,65
70,2016-05-08,13,37
71,2016-05-15,34,45
72,2016-05-22,14,0
73,2016-05-29,0,38
74,2016-06-05,21,57
75,2016-06-12,0,34
76,2016-06-19,22,28
77,2016-06-26,0,0
78,2016-07-03,31,45
79,2016-07-10,0,18
80,2016-07-17,0,0
81,2016-07-24,0,0
82,2016-07-31,0,38
83,2016-08-07,0,15
84,2016-08-14,0,0
85,2016-08-21,0,21
86,2016-08-28,0,61
87,2016-09-04,0,43
88,2016-09-11,0,58
89,2016-09-18,0,65
90,2016-09-25,0,18
91,2016-10-02,12,34
92,2016-10-09,0,29
93,2016-10-16,0,61
94,2016-10-23,0,21
95,2016-10-30,0,30
96,2016-11-06,16,44
97,2016-11-13,17,28
98,2016-11-20,0,44
99,2016-11-27,0,38
100,2016-12-04,17,53
101,2016-12-11,0,49
102,2016-12-18,0,45
103,2016-12-25,31,31
104,2017-01-01,17,40
105,2017-01-08,0,19
106,2017-01-15,0,35
107,2017-01-22,22,59
108,2017-01-29,19,33
109,2017-02-05,0,27
110,2017-02-12,0,29
111,2017-02-19,0,71
112,2017-02-26,11,29
113,2017-03-05,19,50
114,2017-03-12,18,26
115,2017-03-19,32,18
116,2017-03-26,0,56
117,2017-04-02,0,39
118,2017-04-09,44,31
119,2017-04-16,15,70
120,2017-04-23,10,61
121,2017-04-30,0,67
122,2017-05-07,31,33
123,2017-05-14,0,56
124,2017-05-21,50,49
125,2017-05-28,19,29
126,2017-06-04,59,46
127,2017-06-11,28,29
128,2017-06-18,19,17
129,2017-06-25,23,80
130,2017-07-02,0,57
131,2017-07-09,0,44
132,2017-07-16,0,0
133,2017-07-23,0,17
134,2017-07-30,25,48
135,2017-08-06,0,27
136,2017-08-13,0,28
137,2017-08-20,18,61
138,2017-08-27,0,48
139,2017-09-03,29,42
140,2017-09-10,35,50
141,2017-09-17,28,38
142,2017-09-24,0,54
143,2017-10-01,0,74
144,2017-10-08,0,73
145,2017-10-15,13,53
146,2017-10-22,10,19
147,2017-10-29,15,53
148,2017-11-05,38,43
149,2017-11-12,15,61
150,2017-11-19,15,41
151,2017-11-26,25,59
152,2017-12-03,18,50
153,2017-12-10,0,42
154,2017-12-17,0,55
155,2017-12-24,0,70
156,2017-12-31,21,53
157,2018-01-07,0,41
158,2018-01-14,12,61
159,2018-01-21,0,58
160,2018-01-28,0,51
161,2018-02-04,0,28
162,2018-02-11,0,38
163,2018-02-18,14,46
164,2018-02-25,0,36
165,2018-03-04,0,39
166,2018-03-11,0,49
167,2018-03-18,16,49
168,2018-03-25,32,37
169,2018-04-01,10,59
170,2018-04-08,0,42
171,2018-04-15,0,43
172,2018-04-22,35,37
173,2018-04-29,24,32
174,2018-05-06,17,53
175,2018-05-13,31,34
176,2018-05-20,29,20
177,2018-05-27,0,21
178,2018-06-03,33,31
179,2018-06-10,0,38
180,2018-06-17,14,54
181,2018-06-24,16,34
182,2018-07-01,0,17
183,2018-07-08,0,31
184,2018-07-15,0,24
185,2018-07-22,25,63
186,2018-07-29,0,83
187,2018-08-05,12,49
188,2018-08-12,0,39
189,2018-08-19,0,91
190,2018-08-26,0,41
191,2018-09-02,14,77
192,2018-09-09,15,24
193,2018-09-16,0,39
194,2018-09-23,0,62
195,2018-09-30,0,36
196,2018-10-07,0,40
197,2018-10-14,0,39
198,2018-10-21,0,47
199,2018-10-28,0,58
200,2018-11-04,0,62
201,2018-11-11,27,45
202,2018-11-18,13,44
203,2018-11-25,14,34
204,2018-12-02,27,34
205,2018-12-09,0,59
206,2018-12-16,12,18
207,2018-12-23,0,0
208,2018-12-30,0,37
209,2019-01-06,15,44
210,2019-01-13,0,56
211,2019-01-20,20,25
212,2019-01-27,0,52
213,2019-02-03,0,48
214,2019-02-10,15,47
215,2019-02-17,12,45
216,2019-02-24,15,30
217,2019-03-03,0,20
218,2019-03-10,0,32
219,2019-03-17,26,30
220,2019-03-24,13,33
221,2019-03-31,0,33
222,2019-04-07,0,30
223,2019-04-14,0,55
224,2019-04-21,0,28
225,2019-04-28,0,41
226,2019-05-05,28,72
227,2019-05-12,17,25
228,2019-05-19,0,27
229,2019-05-26,0,28
230,2019-06-02,0,14
231,2019-06-09,0,51
232,2019-06-16,11,49
233,2019-06-23,0,55
234,2019-06-30,0,14
235,2019-07-07,0,31
236,2019-07-14,0,32
237,2019-07-21,0,15
238,2019-07-28,26,0
239,2019-08-04,14,12
240,2019-08-11,0,55
241,2019-08-18,0,34
242,2019-08-25,11,54
243,2019-09-01,0,35
244,2019-09-08,0,76
245,2019-09-15,17,47
246,2019-09-22,0,42
247,2019-09-29,38,90
248,2019-10-06,10,54
