,date,Coldplay,Alphabet
0,2015-01-04,4,24
1,2015-01-11,17,17
2,2015-01-18,0,21
3,2015-01-25,8,18
4,2015-02-01,5,22
5,2015-02-08,6,22
6,2015-02-15,2,16
7,2015-02-22,6,20
8,2015-03-01,3,18
9,2015-03-08,0,19
10,2015-03-15,0,22
11,2015-03-22,7,19
12,2015-03-29,5,20
13,2015-04-05,2,26
14,2015-04-12,4,20
15,2015-04-19,4,26
16,2015-04-26,8,27
17,2015-05-03,0,18
18,2015-05-10,6,25
19,2015-05-17,0,19
20,2015-05-24,7,16
21,2015-05-31,8,10
22,2015-06-07,8,18
23,2015-06-14,3,19
24,2015-06-21,0,9
25,2015-06-28,7,14
26,2015-07-05,7,10
27,2015-07-12,6,19
28,2015-07-19,9,15
29,2015-07-26,10,13
30,2015-08-02,2,18
31,2015-08-09,2,32
32,2015-08-16,8,26
33,2015-08-23,6,24
34,2015-08-30,3,24
35,2015-09-06,2,18
36,2015-09-13,7,22
37,2015-09-20,0,23
38,2015-09-27,4,21
39,2015-10-04,8,27
40,2015-10-11,3,28
41,2015-10-18,0,21
42,2015-10-25,5,23
43,2015-11-01,6,18
44,2015-11-08,6,25
45,2015-11-15,8,20
46,2015-11-22,9,17
47,2015-11-29,14,20
48,2015-12-06,9,23
49,2015-12-13,14,20
50,2015-12-20,8,17
51,2015-12-27,5,15
52,2016-01-03,5,20
53,2016-01-10,3,20
54,2016-01-17,6,20
55,2016-01-24,16,18
56,2016-01-31,13,20
57,2016-02-07,100,21
58,2016-02-14,13,26
59,2016-02-21,6,23
60,2016-02-28,9,34
61,2016-03-06,5,26
62,2016-03-13,5,20
63,2016-03-20,10,19
64,2016-03-27,4,19
65,2016-04-03,3,22
66,2016-04-10,4,24
67,2016-04-17,2,18
68,2016-04-24,4,22
69,2016-05-01,3,22
70,2016-05-08,3,16
71,2016-05-15,7,22
72,2016-05-22,8,13
73,2016-05-29,4,19
74,2016-06-05,6,20
75,2016-06-12,6,10
76,2016-06-19,11,13
77,2016-06-26,5,14
78,2016-07-03,5,18
79,2016-07-10,12,13
80,2016-07-17,3,12
81,2016-07-24,8,16
82,2016-07-31,7,18
83,2016-08-07,8,16
84,2016-08-14,8,25
85,2016-08-21,4,33
86,2016-08-28,2,23
87,2016-09-04,3,18
88,2016-09-11,6,22
89,2016-09-18,4,23
90,2016-09-25,3,27
91,2016-10-02,14,20
92,2016-10-09,22,24
93,2016-10-16,9,13
94,2016-10-23,9,19
95,2016-10-30,4,15
96,2016-11-06,4,22
97,2016-11-13,2,18
98,2016-11-20,5,16
99,2016-11-27,7,12
100,2016-12-04,5,20
101,2016-12-11,6,17
102,2016-12-18,4,15
103,2016-12-25,2,16
104,2017-01-01,5,19
105,2017-01-08,4,25
106,2017-01-15,7,21
107,2017-01-22,2,21
108,2017-01-29,8,23
109,2017-02-05,6,15
110,2017-02-12,7,19
111,2017-02-19,2,18
112,2017-02-26,8,25
113,2017-03-05,11,17
114,2017-03-12,6,17
115,2017-03-19,6,18
116,2017-03-26,6,19
117,2017-04-02,7,21
118,2017-04-09,7,13
119,2017-04-16,8,19
120,2017-04-23,4,11
121,2017-04-30,6,16
122,2017-05-07,11,17
123,2017-05-14,5,20
124,2017-05-21,12,17
125,2017-05-28,5,15
126,2017-06-04,8,10
127,2017-06-11,8,22
128,2017-06-18,10,19
129,2017-06-25,0,14
130,2017-07-02,10,20
131,2017-07-09,9,14
132,2017-07-16,8,10
133,2017-07-23,10,20
134,2017-07-30,10,13
135,2017-08-06,31,17
136,2017-08-13,77,18
137,2017-08-20,6,22
138,2017-08-27,6,27
139,2017-09-03,7,19
140,2017-09-10,5,24
141,2017-09-17,3,26
142,2017-09-24,5,24
143,2017-10-01,6,19
144,2017-10-08,3,23
145,2017-10-15,3,19
146,2017-10-22,2,22
147,2017-10-29,7,23
148,2017-11-05,6,22
149,2017-11-12,4,17
150,2017-11-19,4,11
151,2017-11-26,0,26
152,2017-12-03,3,18
153,2017-12-10,2,20
154,2017-12-17,5,20
155,2017-12-24,0,15
156,2017-12-31,4,13
157,2018-01-07,4,22
158,2018-01-14,2,19
159,2018-01-21,4,16
160,2018-01-28,2,19
161,2018-02-04,2,21
162,2018-02-11,10,18
163,2018-02-18,3,21
164,2018-02-25,5,18
165,2018-03-04,1,28
166,2018-03-11,3,18
167,2018-03-18,7,23
