,date,Ed Sheeran,Alphabet
0,2015-01-04,28,22
1,2015-01-11,22,15
2,2015-01-18,23,18
3,2015-01-25,25,16
4,2015-02-01,30,20
5,2015-02-08,83,19
6,2015-02-15,29,14
7,2015-02-22,35,18
8,2015-03-01,26,16
9,2015-03-08,24,17
10,2015-03-15,17,20
11,2015-03-22,20,17
12,2015-03-29,13,17
13,2015-04-05,19,23
14,2015-04-12,10,18
15,2015-04-19,14,23
16,2015-04-26,6,24
17,2015-05-03,11,16
18,2015-05-10,14,22
19,2015-05-17,18,17
20,2015-05-24,17,14
21,2015-05-31,16,9
22,2015-06-07,36,16
23,2015-06-14,27,17
24,2015-06-21,30,8
25,2015-06-28,19,12
26,2015-07-05,9,9
27,2015-07-12,18,17
28,2015-07-19,16,13
29,2015-07-26,12,12
30,2015-08-02,17,16
31,2015-08-09,19,28
32,2015-08-16,22,23
33,2015-08-23,10,22
34,2015-08-30,13,21
35,2015-09-06,6,16
36,2015-09-13,8,19
37,2015-09-20,9,20
38,2015-09-27,12,19
39,2015-10-04,14,24
40,2015-10-11,6,25
41,2015-10-18,12,18
42,2015-10-25,12,21
43,2015-11-01,10,16
44,2015-11-08,12,23
45,2015-11-15,6,18
46,2015-11-22,6,15
47,2015-11-29,4,17
48,2015-12-06,5,21
49,2015-12-13,5,18
50,2015-12-20,0,15
51,2015-12-27,6,14
52,2016-01-03,15,17
53,2016-01-10,6,17
54,2016-01-17,9,18
55,2016-01-24,4,16
56,2016-01-31,3,18
57,2016-02-07,4,18
58,2016-02-14,12,23
59,2016-02-21,7,20
60,2016-02-28,5,30
61,2016-03-06,3,23
62,2016-03-13,6,18
63,2016-03-20,6,17
64,2016-03-27,3,17
65,2016-04-03,3,19
66,2016-04-10,7,21
67,2016-04-17,7,16
68,2016-04-24,6,19
69,2016-05-01,2,20
70,2016-05-08,4,14
71,2016-05-15,3,19
72,2016-05-22,5,11
73,2016-05-29,0,17
74,2016-06-05,7,18
75,2016-06-12,3,9
76,2016-06-19,5,12
77,2016-06-26,4,12
78,2016-07-03,5,16
79,2016-07-10,2,11
80,2016-07-17,9,10
81,2016-07-24,7,14
82,2016-07-31,5,16
83,2016-08-07,6,14
84,2016-08-14,4,22
85,2016-08-21,5,29
86,2016-08-28,2,20
87,2016-09-04,3,16
88,2016-09-11,4,19
89,2016-09-18,5,21
90,2016-09-25,4,24
91,2016-10-02,0,18
92,2016-10-09,2,21
93,2016-10-16,3,12
94,2016-10-23,5,17
95,2016-10-30,5,13
96,2016-11-06,3,19
97,2016-11-13,2,16
98,2016-11-20,3,14
99,2016-11-27,0,10
100,2016-12-04,2,18
101,2016-12-11,4,15
102,2016-12-18,5,13
