,date,Metallica,Alphabet
0,2015-01-04,5,22
1,2015-01-11,5,15
2,2015-01-18,4,19
3,2015-01-25,9,16
4,2015-02-01,4,20
5,2015-02-08,0,19
6,2015-02-15,7,15
7,2015-02-22,2,18
8,2015-03-01,5,16
9,2015-03-08,6,17
10,2015-03-15,0,20
11,2015-03-22,12,17
12,2015-03-29,7,18
13,2015-04-05,2,24
14,2015-04-12,0,18
15,2015-04-19,8,24
16,2015-04-26,5,24
17,2015-05-03,7,16
18,2015-05-10,0,23
19,2015-05-17,5,17
20,2015-05-24,8,14
21,2015-05-31,8,9
22,2015-06-07,10,16
23,2015-06-14,10,17
24,2015-06-21,7,8
25,2015-06-28,5,13
26,2015-07-05,0,9
27,2015-07-12,0,17
28,2015-07-19,10,13
29,2015-07-26,4,12
30,2015-08-02,5,16
31,2015-08-09,4,29
32,2015-08-16,4,23
33,2015-08-23,9,22
34,2015-08-30,5,22
35,2015-09-06,5,16
36,2015-09-13,5,20
37,2015-09-20,4,20
38,2015-09-27,0,19
39,2015-10-04,5,24
40,2015-10-11,5,25
41,2015-10-18,5,19
42,2015-10-25,12,21
43,2015-11-01,7,17
44,2015-11-08,5,23
45,2015-11-15,4,18
46,2015-11-22,6,15
47,2015-11-29,4,18
48,2015-12-06,10,21
49,2015-12-13,6,18
50,2015-12-20,11,16
51,2015-12-27,8,14
52,2016-01-03,6,18
53,2016-01-10,7,18
54,2016-01-17,9,18
55,2016-01-24,9,17
56,2016-01-31,7,18
57,2016-02-07,5,19
58,2016-02-14,8,23
59,2016-02-21,5,21
60,2016-02-28,4,30
61,2016-03-06,9,24
62,2016-03-13,10,18
63,2016-03-20,14,17
64,2016-03-27,9,17
65,2016-04-03,4,20
66,2016-04-10,4,21
67,2016-04-17,7,16
68,2016-04-24,6,20
69,2016-05-01,8,20
70,2016-05-08,5,15
71,2016-05-15,9,19
72,2016-05-22,6,11
73,2016-05-29,4,17
74,2016-06-05,9,18
75,2016-06-12,4,9
76,2016-06-19,7,12
77,2016-06-26,0,13
78,2016-07-03,9,16
79,2016-07-10,8,11
80,2016-07-17,6,11
81,2016-07-24,5,15
82,2016-07-31,6,16
83,2016-08-07,6,14
84,2016-08-14,13,22
85,2016-08-21,18,30
86,2016-08-28,5,21
87,2016-09-04,11,16
88,2016-09-11,6,19
89,2016-09-18,7,21
90,2016-09-25,13,24
91,2016-10-02,7,18
92,2016-10-09,6,22
93,2016-10-16,5,12
94,2016-10-23,7,17
95,2016-10-30,6,14
96,2016-11-06,8,19
97,2016-11-13,20,16
98,2016-11-20,16,15
99,2016-11-27,7,11
100,2016-12-04,3,18
101,2016-12-11,10,15
102,2016-12-18,7,13
103,2016-12-25,7,15
104,2017-01-01,11,17
105,2017-01-08,9,22
106,2017-01-15,6,19
107,2017-01-22,10,19
108,2017-01-29,8,20
109,2017-02-05,10,13
110,2017-02-12,50,18
111,2017-02-19,13,16
112,2017-02-26,12,23
113,2017-03-05,9,15
114,2017-03-12,7,15
115,2017-03-19,11,16
116,2017-03-26,10,17
117,2017-04-02,7,18
118,2017-04-09,5,11
119,2017-04-16,20,17
120,2017-04-23,10,10
121,2017-04-30,10,15
122,2017-05-07,8,15
123,2017-05-14,11,18
124,2017-05-21,5,15
125,2017-05-28,9,13
126,2017-06-04,32,9
127,2017-06-11,14,20
128,2017-06-18,9,18
129,2017-06-25,4,12
130,2017-07-02,4,18
131,2017-07-09,5,13
132,2017-07-16,7,9
133,2017-07-23,7,18
134,2017-07-30,6,11
135,2017-08-06,8,15
136,2017-08-13,7,16
137,2017-08-20,3,20
138,2017-08-27,4,24
139,2017-09-03,10,17
140,2017-09-10,1,22
141,2017-09-17,8,24
142,2017-09-24,10,21
143,2017-10-01,7,17
144,2017-10-08,4,21
145,2017-10-15,6,17
146,2017-10-22,5,19
147,2017-10-29,5,20
148,2017-11-05,5,20
149,2017-11-12,6,16
150,2017-11-19,2,10
151,2017-11-26,5,23
152,2017-12-03,6,16
153,2017-12-10,6,18
154,2017-12-17,5,18
155,2017-12-24,6,14
156,2017-12-31,9,11
157,2018-01-07,8,20
158,2018-01-14,7,17
159,2018-01-21,4,15
160,2018-01-28,6,17
161,2018-02-04,5,19
162,2018-02-11,4,17
163,2018-02-18,12,19
164,2018-02-25,96,16
165,2018-03-04,22,25
166,2018-03-11,18,16
167,2018-03-18,15,21
168,2018-03-25,11,20
169,2018-04-01,11,16
170,2018-04-08,9,18
171,2018-04-15,3,16
172,2018-04-22,11,19
173,2018-04-29,12,18
174,2018-05-06,8,19
175,2018-05-13,9,24
176,2018-05-20,5,18
177,2018-05-27,6,15
178,2018-06-03,0,12
179,2018-06-10,5,16
180,2018-06-17,8,15
181,2018-06-24,7,10
182,2018-07-01,8,8
183,2018-07-08,8,16
184,2018-07-15,7,10
185,2018-07-22,5,14
186,2018-07-29,13,12
187,2018-08-05,10,15
188,2018-08-12,12,20
189,2018-08-19,12,25
190,2018-08-26,17,21
191,2018-09-02,100,19
192,2018-09-09,33,23
193,2018-09-16,10,17
194,2018-09-23,9,18
195,2018-09-30,3,25
196,2018-10-07,5,21
197,2018-10-14,8,19
198,2018-10-21,6,22
199,2018-10-28,8,16
200,2018-11-04,9,18
201,2018-11-11,2,17
202,2018-11-18,10,13
203,2018-11-25,8,22
204,2018-12-02,7,19
205,2018-12-09,12,18
206,2018-12-16,7,20
207,2018-12-23,2,13
208,2018-12-30,6,13
209,2019-01-06,8,21
210,2019-01-13,4,18
211,2019-01-20,8,11
212,2019-01-27,7,17
213,2019-02-03,12,16
214,2019-02-10,4,20
215,2019-02-17,9,16
216,2019-02-24,3,16
217,2019-03-03,6,19
218,2019-03-10,8,13
219,2019-03-17,6,19
220,2019-03-24,9,23
221,2019-03-31,6,23
222,2019-04-07,8,22
223,2019-04-14,7,19
224,2019-04-21,5,14
225,2019-04-28,7,17
226,2019-05-05,5,21
227,2019-05-12,3,16
228,2019-05-19,6,16
229,2019-05-26,7,13
230,2019-06-02,5,19
231,2019-06-09,8,8
232,2019-06-16,3,13
233,2019-06-23,3,17
234,2019-06-30,7,10
235,2019-07-07,4,16
236,2019-07-14,3,13
237,2019-07-21,7,16
238,2019-07-28,9,14
239,2019-08-04,7,14
240,2019-08-11,4,18
241,2019-08-18,0,23
242,2019-08-25,10,18
243,2019-09-01,4,19
244,2019-09-08,6,28
245,2019-09-15,7,18
246,2019-09-22,6,21
247,2019-09-29,5,24
248,2019-10-06,5,24
249,2019-10-13,4,17
250,2019-10-20,5,17
251,2019-10-27,7,25
252,2019-11-03,7,19
253,2019-11-10,8,22
254,2019-11-17,6,21
255,2019-11-24,3,12
256,2019-12-01,4,18
257,2019-12-08,6,23
258,2019-12-15,8,18
259,2019-12-22,10,17
260,2019-12-29,5,15
