,date,Pink,Alphabet
0,2015-01-04,8,23
1,2015-01-11,3,17
2,2015-01-18,4,20
3,2015-01-25,0,17
4,2015-02-01,4,21
5,2015-02-08,2,21
6,2015-02-15,2,16
7,2015-02-22,3,19
8,2015-03-01,4,18
9,2015-03-08,7,18
10,2015-03-15,0,21
11,2015-03-22,9,19
12,2015-03-29,8,19
13,2015-04-05,7,25
14,2015-04-12,16,20
15,2015-04-19,5,26
16,2015-04-26,8,26
17,2015-05-03,8,17
18,2015-05-10,0,24
19,2015-05-17,2,18
20,2015-05-24,0,15
21,2015-05-31,4,9
22,2015-06-07,4,17
23,2015-06-14,0,18
24,2015-06-21,9,8
25,2015-06-28,7,14
26,2015-07-05,0,10
27,2015-07-12,12,19
28,2015-07-19,2,14
29,2015-07-26,3,13
30,2015-08-02,6,18
31,2015-08-09,3,31
32,2015-08-16,0,25
33,2015-08-23,5,23
34,2015-08-30,5,23
35,2015-09-06,4,18
36,2015-09-13,6,21
37,2015-09-20,3,22
38,2015-09-27,4,20
39,2015-10-04,3,26
40,2015-10-11,4,27
41,2015-10-18,3,20
42,2015-10-25,6,22
43,2015-11-01,2,18
44,2015-11-08,5,25
45,2015-11-15,11,19
46,2015-11-22,4,16
47,2015-11-29,3,19
48,2015-12-06,5,23
49,2015-12-13,2,19
50,2015-12-20,4,17
51,2015-12-27,6,15
52,2016-01-03,4,19
53,2016-01-10,2,19
54,2016-01-17,3,19
55,2016-01-24,0,18
56,2016-01-31,0,19
57,2016-02-07,4,20
58,2016-02-14,2,25
59,2016-02-21,6,22
60,2016-02-28,6,33
61,2016-03-06,7,26
62,2016-03-13,4,20
63,2016-03-20,9,18
64,2016-03-27,0,19
65,2016-04-03,4,21
66,2016-04-10,11,23
67,2016-04-17,3,17
68,2016-04-24,5,21
69,2016-05-01,6,22
70,2016-05-08,7,16
71,2016-05-15,9,21
72,2016-05-22,17,12
73,2016-05-29,11,19
74,2016-06-05,13,19
75,2016-06-12,5,10
76,2016-06-19,8,13
77,2016-06-26,10,13
78,2016-07-03,4,18
79,2016-07-10,6,12
80,2016-07-17,11,11
81,2016-07-24,13,16
82,2016-07-31,6,17
83,2016-08-07,4,15
84,2016-08-14,5,24
85,2016-08-21,3,32
86,2016-08-28,6,22
87,2016-09-04,6,18
88,2016-09-11,7,21
89,2016-09-18,6,23
90,2016-09-25,9,26
91,2016-10-02,8,20
92,2016-10-09,5,23
93,2016-10-16,0,13
94,2016-10-23,6,19
95,2016-10-30,5,15
96,2016-11-06,5,21
97,2016-11-13,8,18
98,2016-11-20,2,16
99,2016-11-27,6,11
100,2016-12-04,7,19
101,2016-12-11,3,16
102,2016-12-18,3,14
103,2016-12-25,9,16
104,2017-01-01,4,18
105,2017-01-08,4,24
106,2017-01-15,2,20
107,2017-01-22,4,21
108,2017-01-29,7,22
109,2017-02-05,11,14
110,2017-02-12,0,19
111,2017-02-19,8,17
112,2017-02-26,2,25
113,2017-03-05,4,16
114,2017-03-12,5,17
115,2017-03-19,7,17
116,2017-03-26,0,18
117,2017-04-02,7,20
118,2017-04-09,4,12
119,2017-04-16,8,18
120,2017-04-23,4,10
121,2017-04-30,2,16
122,2017-05-07,6,16
123,2017-05-14,0,20
124,2017-05-21,5,16
125,2017-05-28,5,14
126,2017-06-04,0,10
127,2017-06-11,5,21
128,2017-06-18,5,19
129,2017-06-25,4,13
130,2017-07-02,7,20
131,2017-07-09,9,14
132,2017-07-16,6,9
133,2017-07-23,4,19
134,2017-07-30,11,12
135,2017-08-06,8,16
136,2017-08-13,12,18
137,2017-08-20,5,22
138,2017-08-27,24,26
139,2017-09-03,9,19
140,2017-09-10,10,24
141,2017-09-17,8,26
142,2017-09-24,6,23
143,2017-10-01,28,19
144,2017-10-08,51,22
145,2017-10-15,40,18
146,2017-10-22,18,21
147,2017-10-29,10,22
148,2017-11-05,14,21
149,2017-11-12,13,17
150,2017-11-19,22,10
151,2017-11-26,13,25
152,2017-12-03,13,18
153,2017-12-10,16,20
154,2017-12-17,12,20
155,2017-12-24,10,15
156,2017-12-31,10,12
157,2018-01-07,14,21
158,2018-01-14,16,19
159,2018-01-21,8,16
160,2018-01-28,28,18
161,2018-02-04,54,21
162,2018-02-11,19,18
163,2018-02-18,18,20
164,2018-02-25,33,17
165,2018-03-04,100,27
166,2018-03-11,18,17
167,2018-03-18,15,22
168,2018-03-25,15,21
169,2018-04-01,8,17
170,2018-04-08,7,19
171,2018-04-15,8,17
172,2018-04-22,17,21
173,2018-04-29,16,19
174,2018-05-06,23,20
175,2018-05-13,11,26
176,2018-05-20,6,20
177,2018-05-27,9,16
178,2018-06-03,16,13
179,2018-06-10,10,17
180,2018-06-17,10,16
181,2018-06-24,12,11
182,2018-07-01,8,9
183,2018-07-08,14,17
184,2018-07-15,3,11
185,2018-07-22,11,15
186,2018-07-29,9,13
187,2018-08-05,5,16
188,2018-08-12,10,21
189,2018-08-19,6,27
190,2018-08-26,5,23
191,2018-09-02,8,20
192,2018-09-09,4,24
193,2018-09-16,9,19
194,2018-09-23,6,19
195,2018-09-30,5,27
196,2018-10-07,3,22
197,2018-10-14,0,21
198,2018-10-21,5,24
199,2018-10-28,7,17
200,2018-11-04,9,19
201,2018-11-11,8,18
202,2018-11-18,6,14
203,2018-11-25,7,23
204,2018-12-02,9,21
205,2018-12-09,10,19
206,2018-12-16,9,22
207,2018-12-23,4,14
208,2018-12-30,8,14
209,2019-01-06,6,23
210,2019-01-13,11,20
211,2019-01-20,8,12
212,2019-01-27,7,18
213,2019-02-03,15,18
214,2019-02-10,10,22
215,2019-02-17,3,17
216,2019-02-24,12,17
217,2019-03-03,12,20
218,2019-03-10,10,14
219,2019-03-17,19,21
220,2019-03-24,14,25
221,2019-03-31,13,25
222,2019-04-07,9,23
223,2019-04-14,11,20
224,2019-04-21,17,15
225,2019-04-28,29,18
226,2019-05-05,82,22
227,2019-05-12,12,17
228,2019-05-19,14,17
229,2019-05-26,12,14
230,2019-06-02,14,20
231,2019-06-09,14,8
232,2019-06-16,21,13
233,2019-06-23,15,19
234,2019-06-30,7,11
235,2019-07-07,9,17
236,2019-07-14,6,14
237,2019-07-21,14,17
238,2019-07-28,10,15
239,2019-08-04,9,15
240,2019-08-11,19,19
241,2019-08-18,8,24
242,2019-08-25,11,19
243,2019-09-01,13,20
244,2019-09-08,14,30
245,2019-09-15,5,19
246,2019-09-22,9,23
247,2019-09-29,11,26
248,2019-10-06,13,26
249,2019-10-13,7,18
250,2019-10-20,6,18
251,2019-10-27,7,27
252,2019-11-03,8,21
253,2019-11-10,17,23
254,2019-11-17,10,22
255,2019-11-24,8,13
256,2019-12-01,11,19
257,2019-12-08,7,24
258,2019-12-15,4,19
259,2019-12-22,7,18
260,2019-12-29,6,16
