,date,U2,Alphabet
0,2015-01-04,0,37
1,2015-01-11,5,26
2,2015-01-18,3,31
3,2015-01-25,0,26
4,2015-02-01,7,33
5,2015-02-08,15,32
6,2015-02-15,6,25
7,2015-02-22,4,30
8,2015-03-01,0,28
9,2015-03-08,5,29
10,2015-03-15,7,33
11,2015-03-22,9,29
12,2015-03-29,0,29
13,2015-04-05,10,39
14,2015-04-12,13,31
15,2015-04-19,14,40
16,2015-04-26,8,41
17,2015-05-03,13,27
18,2015-05-10,22,38
19,2015-05-17,15,29
20,2015-05-24,18,24
21,2015-05-31,4,15
22,2015-06-07,16,27
23,2015-06-14,19,28
24,2015-06-21,5,13
25,2015-06-28,9,21
26,2015-07-05,3,15
27,2015-07-12,5,29
28,2015-07-19,0,22
29,2015-07-26,8,20
30,2015-08-02,4,27
31,2015-08-09,4,48
32,2015-08-16,8,39
33,2015-08-23,13,36
34,2015-08-30,7,36
35,2015-09-06,0,27
36,2015-09-13,7,33
37,2015-09-20,0,34
38,2015-09-27,0,32
39,2015-10-04,0,40
40,2015-10-11,4,42
41,2015-10-18,11,31
42,2015-10-25,5,35
43,2015-11-01,0,28
44,2015-11-08,0,38
45,2015-11-15,12,30
46,2015-11-22,11,25
47,2015-11-29,5,29
48,2015-12-06,11,35
49,2015-12-13,5,30
50,2015-12-20,8,26
51,2015-12-27,9,23
52,2016-01-03,7,29
53,2016-01-10,0,30
54,2016-01-17,0,30
55,2016-01-24,5,28
56,2016-01-31,11,30
57,2016-02-07,3,31
58,2016-02-14,5,38
59,2016-02-21,3,35
60,2016-02-28,0,51
61,2016-03-06,0,40
62,2016-03-13,7,31
63,2016-03-20,9,29
64,2016-03-27,6,29
65,2016-04-03,5,33
66,2016-04-10,0,36
67,2016-04-17,14,27
68,2016-04-24,0,33
69,2016-05-01,0,34
70,2016-05-08,13,25
71,2016-05-15,0,33
72,2016-05-22,4,19
73,2016-05-29,6,29
74,2016-06-05,6,30
75,2016-06-12,5,15
76,2016-06-19,0,20
77,2016-06-26,4,21
78,2016-07-03,12,28
79,2016-07-10,0,19
80,2016-07-17,6,18
81,2016-07-24,10,24
82,2016-07-31,0,27
83,2016-08-07,4,23
84,2016-08-14,7,37
85,2016-08-21,0,50
86,2016-08-28,10,35
87,2016-09-04,4,27
88,2016-09-11,0,33
89,2016-09-18,3,35
90,2016-09-25,11,40
91,2016-10-02,2,30
92,2016-10-09,4,36
93,2016-10-16,5,20
94,2016-10-23,3,29
95,2016-10-30,4,23
96,2016-11-06,5,32
97,2016-11-13,6,27
98,2016-11-20,2,24
99,2016-11-27,10,18
100,2016-12-04,4,30
101,2016-12-11,3,25
102,2016-12-18,2,22
103,2016-12-25,11,25
104,2017-01-01,9,29
105,2017-01-08,33,37
106,2017-01-15,19,32
107,2017-01-22,12,32
108,2017-01-29,4,34
109,2017-02-05,8,22
110,2017-02-12,14,29
111,2017-02-19,10,26
112,2017-02-26,5,38
113,2017-03-05,7,25
114,2017-03-12,6,26
115,2017-03-19,11,27
116,2017-03-26,8,28
117,2017-04-02,7,31
118,2017-04-09,8,19
119,2017-04-16,9,28
120,2017-04-23,6,16
121,2017-04-30,12,25
122,2017-05-07,8,25
123,2017-05-14,18,31
124,2017-05-21,20,25
125,2017-05-28,13,22
126,2017-06-04,41,15
127,2017-06-11,19,33
128,2017-06-18,12,29
129,2017-06-25,7,20
130,2017-07-02,10,31
131,2017-07-09,8,21
132,2017-07-16,2,15
133,2017-07-23,2,30
134,2017-07-30,10,19
135,2017-08-06,8,25
136,2017-08-13,7,27
137,2017-08-20,4,34
138,2017-08-27,3,40
139,2017-09-03,20,29
140,2017-09-10,33,37
141,2017-09-17,15,40
142,2017-09-24,8,35
143,2017-10-01,5,29
144,2017-10-08,9,35
145,2017-10-15,3,28
146,2017-10-22,8,33
147,2017-10-29,5,34
148,2017-11-05,5,33
149,2017-11-12,4,26
150,2017-11-19,9,16
151,2017-11-26,8,39
152,2017-12-03,12,28
153,2017-12-10,13,31
154,2017-12-17,7,31
155,2017-12-24,7,23
156,2017-12-31,4,19
157,2018-01-07,4,33
158,2018-01-14,8,29
159,2018-01-21,6,25
160,2018-01-28,15,28
161,2018-02-04,0,32
162,2018-02-11,6,28
163,2018-02-18,9,31
164,2018-02-25,8,27
165,2018-03-04,70,42
166,2018-03-11,37,27
167,2018-03-18,15,34
168,2018-03-25,10,33
169,2018-04-01,9,26
170,2018-04-08,10,30
171,2018-04-15,6,26
172,2018-04-22,8,32
173,2018-04-29,18,30
174,2018-05-06,32,31
175,2018-05-13,100,40
