,date,Coldplay,Alphabet
0,2015-01-04,7,31
1,2015-01-11,12,22
2,2015-01-18,8,25
3,2015-01-25,6,24
4,2015-02-01,19,15
5,2015-02-08,6,17
6,2015-02-15,6,16
7,2015-02-22,6,7
8,2015-03-01,7,28
9,2015-03-08,0,17
10,2015-03-15,4,19
11,2015-03-22,0,26
12,2015-03-29,5,26
13,2015-04-05,0,25
14,2015-04-12,5,15
15,2015-04-19,0,17
16,2015-04-26,9,9
17,2015-05-03,9,29
18,2015-05-10,0,18
19,2015-05-17,7,21
20,2015-05-24,7,19
21,2015-05-31,6,11
22,2015-06-07,5,18
23,2015-06-14,6,14
24,2015-06-21,9,8
25,2015-06-28,8,14
26,2015-07-05,6,19
27,2015-07-12,0,17
28,2015-07-19,12,23
29,2015-07-26,9,14
30,2015-08-02,0,0
31,2015-08-09,9,28
32,2015-08-16,10,27
33,2015-08-23,4,12
34,2015-08-30,6,29
35,2015-09-06,0,23
36,2015-09-13,0,31
37,2015-09-20,8,21
38,2015-09-27,0,24
39,2015-10-04,5,35
40,2015-10-11,5,11
41,2015-10-18,6,18
42,2015-10-25,8,19
43,2015-11-01,13,25
44,2015-11-08,11,24
45,2015-11-15,5,26
46,2015-11-22,15,19
47,2015-11-29,16,33
48,2015-12-06,19,22
49,2015-12-13,14,25
50,2015-12-20,15,15
51,2015-12-27,17,9
52,2016-01-03,11,18
53,2016-01-10,14,39
54,2016-01-17,8,23
55,2016-01-24,20,21
56,2016-01-31,27,20
57,2016-02-07,100,20
58,2016-02-14,7,18
59,2016-02-21,9,22
60,2016-02-28,12,25
61,2016-03-06,12,19
62,2016-03-13,7,22
63,2016-03-20,10,28
64,2016-03-27,10,11
65,2016-04-03,6,14
66,2016-04-10,8,20
67,2016-04-17,14,12
68,2016-04-24,5,20
69,2016-05-01,3,13
70,2016-05-08,9,24
71,2016-05-15,8,24
72,2016-05-22,5,17
73,2016-05-29,10,14
74,2016-06-05,18,15
75,2016-06-12,9,19
76,2016-06-19,13,17
77,2016-06-26,4,10
78,2016-07-03,4,20
79,2016-07-10,7,0
80,2016-07-17,25,13
81,2016-07-24,26,20
82,2016-07-31,17,15
83,2016-08-07,13,18
84,2016-08-14,4,22
85,2016-08-21,5,11
86,2016-08-28,6,23
87,2016-09-04,7,24
88,2016-09-11,0,28
89,2016-09-18,11,20
90,2016-09-25,5,18
91,2016-10-02,9,18
92,2016-10-09,13,28
93,2016-10-16,8,19
94,2016-10-23,3,23
95,2016-10-30,0,25
96,2016-11-06,7,19
97,2016-11-13,8,23
98,2016-11-20,7,9
99,2016-11-27,4,20
100,2016-12-04,6,19
101,2016-12-11,7,20
102,2016-12-18,13,24
103,2016-12-25,7,19
104,2017-01-01,8,28
105,2017-01-08,5,15
106,2017-01-15,8,21
107,2017-01-22,6,5
108,2017-01-29,8,21
109,2017-02-05,8,12
110,2017-02-12,7,26
111,2017-02-19,11,14
112,2017-02-26,6,18
113,2017-03-05,10,24
114,2017-03-12,0,14
115,2017-03-19,10,22
116,2017-03-26,8,21
117,2017-04-02,3,17
118,2017-04-09,8,20
119,2017-04-16,11,20
120,2017-04-23,12,16
121,2017-04-30,3,18
122,2017-05-07,9,18
123,2017-05-14,8,14
124,2017-05-21,7,23
125,2017-05-28,7,12
126,2017-06-04,7,21
127,2017-06-11,5,30
128,2017-06-18,6,16
129,2017-06-25,10,20
130,2017-07-02,0,25
131,2017-07-09,9,14
132,2017-07-16,5,27
133,2017-07-23,16,18
134,2017-07-30,35,4
135,2017-08-06,9,10
136,2017-08-13,8,11
137,2017-08-20,7,18
138,2017-08-27,7,21
139,2017-09-03,3,27
140,2017-09-10,4,32
141,2017-09-17,8,30
142,2017-09-24,6,17
143,2017-10-01,8,26
144,2017-10-08,0,19
145,2017-10-15,4,19
146,2017-10-22,7,27
147,2017-10-29,4,19
148,2017-11-05,4,19
149,2017-11-12,0,12
150,2017-11-19,0,17
151,2017-11-26,0,23
152,2017-12-03,5,22
153,2017-12-10,6,23
154,2017-12-17,0,20
155,2017-12-24,6,21
156,2017-12-31,0,13
157,2018-01-07,4,16
158,2018-01-14,6,20
159,2018-01-21,3,22
160,2018-01-28,6,24
161,2018-02-04,3,35
162,2018-02-11,7,27
163,2018-02-18,9,27
164,2018-02-25,3,23
165,2018-03-04,2,19
166,2018-03-11,6,16
167,2018-03-18,7,25
168,2018-03-25,4,13
169,2018-04-01,2,26
170,2018-04-08,0,29
171,2018-04-15,3,18
172,2018-04-22,3,29
173,2018-04-29,5,22
174,2018-05-06,4,14
175,2018-05-13,4,12
176,2018-05-20,4,13
177,2018-05-27,0,22
178,2018-06-03,3,17
179,2018-06-10,10,18
180,2018-06-17,5,22
181,2018-06-24,0,18
182,2018-07-01,0,10
183,2018-07-08,0,15
184,2018-07-15,0,25
185,2018-07-22,9,16
186,2018-07-29,3,11
187,2018-08-05,0,11
188,2018-08-12,6,16
189,2018-08-19,6,15
190,2018-08-26,5,18
191,2018-09-02,6,20
192,2018-09-09,0,21
193,2018-09-16,3,22
194,2018-09-23,14,19
195,2018-09-30,2,21
196,2018-10-07,3,17
197,2018-10-14,2,18
198,2018-10-21,0,20
199,2018-10-28,3,22
200,2018-11-04,0,21
201,2018-11-11,5,9
202,2018-11-18,7,16
203,2018-11-25,10,25
204,2018-12-02,3,22
205,2018-12-09,0,24
206,2018-12-16,2,14
207,2018-12-23,4,11
208,2018-12-30,0,22
209,2019-01-06,0,0
210,2019-01-13,0,0
211,2019-01-20,0,0
212,2019-01-27,0,0
213,2019-02-03,0,0
214,2019-02-10,0,0
215,2019-02-17,7,21
216,2019-02-24,0,0
217,2019-03-03,0,0
218,2019-03-10,0,0
219,2019-03-17,0,0
220,2019-03-24,0,0
221,2019-03-31,0,0
222,2019-04-07,0,0
223,2019-04-14,0,0
224,2019-04-21,0,0
225,2019-04-28,0,0
226,2019-05-05,6,14
227,2019-05-12,0,0
228,2019-05-19,0,0
229,2019-05-26,0,0
230,2019-06-02,0,0
231,2019-06-09,0,0
232,2019-06-16,0,0
233,2019-06-23,0,0
234,2019-06-30,0,0
235,2019-07-07,0,0
236,2019-07-14,0,15
237,2019-07-21,0,0
238,2019-07-28,3,20
239,2019-08-04,0,0
240,2019-08-11,0,0
241,2019-08-18,0,0
242,2019-08-25,0,0
243,2019-09-01,0,0
244,2019-09-08,0,0
245,2019-09-15,0,0
246,2019-09-22,0,16
247,2019-09-29,0,0
248,2019-10-06,0,0
249,2019-10-13,0,0
250,2019-10-20,0,0
251,2019-10-27,0,0
252,2019-11-03,0,0
253,2019-11-10,0,0
254,2019-11-17,0,0
255,2019-11-24,5,17
256,2019-12-01,9,29
257,2019-12-08,0,0
258,2019-12-15,0,0
259,2019-12-22,0,0
260,2019-12-29,0,0
