,date,Ed Sheeran,Alphabet
0,2015-01-04,29,33
1,2015-01-11,25,23
2,2015-01-18,48,27
3,2015-01-25,43,26
4,2015-02-01,22,16
5,2015-02-08,100,18
6,2015-02-15,64,17
7,2015-02-22,49,8
8,2015-03-01,27,29
9,2015-03-08,28,19
10,2015-03-15,14,21
11,2015-03-22,44,27
12,2015-03-29,14,27
13,2015-04-05,40,26
14,2015-04-12,14,16
15,2015-04-19,27,18
16,2015-04-26,28,10
17,2015-05-03,26,31
18,2015-05-10,45,18
19,2015-05-17,31,22
20,2015-05-24,54,21
21,2015-05-31,12,11
22,2015-06-07,27,18
23,2015-06-14,17,15
24,2015-06-21,11,9
25,2015-06-28,30,15
26,2015-07-05,22,21
27,2015-07-12,18,19
28,2015-07-19,19,25
29,2015-07-26,30,15
30,2015-08-02,21,0
31,2015-08-09,29,30
32,2015-08-16,35,30
33,2015-08-23,30,13
34,2015-08-30,17,31
35,2015-09-06,17,23
36,2015-09-13,16,34
37,2015-09-20,49,22
38,2015-09-27,42,26
39,2015-10-04,29,38
40,2015-10-11,13,12
41,2015-10-18,12,19
42,2015-10-25,39,20
43,2015-11-01,16,28
44,2015-11-08,16,25
45,2015-11-15,10,28
46,2015-11-22,20,20
47,2015-11-29,0,36
48,2015-12-06,11,25
49,2015-12-13,10,26
50,2015-12-20,10,15
51,2015-12-27,11,9
52,2016-01-03,12,19
53,2016-01-10,14,41
54,2016-01-17,9,24
55,2016-01-24,8,22
56,2016-01-31,4,21
57,2016-02-07,7,22
58,2016-02-14,28,19
59,2016-02-21,15,22
60,2016-02-28,11,27
61,2016-03-06,5,21
62,2016-03-13,6,24
63,2016-03-20,4,31
64,2016-03-27,4,12
65,2016-04-03,14,15
66,2016-04-10,6,23
67,2016-04-17,7,13
68,2016-04-24,0,21
69,2016-05-01,0,14
70,2016-05-08,5,25
71,2016-05-15,4,26
72,2016-05-22,6,19
73,2016-05-29,6,15
74,2016-06-05,14,16
75,2016-06-12,11,20
76,2016-06-19,9,18
77,2016-06-26,7,11
78,2016-07-03,9,21
79,2016-07-10,8,0
80,2016-07-17,0,13
81,2016-07-24,7,21
82,2016-07-31,6,17
83,2016-08-07,18,19
84,2016-08-14,9,24
85,2016-08-21,9,11
86,2016-08-28,9,25
87,2016-09-04,10,25
88,2016-09-11,7,31
89,2016-09-18,6,22
90,2016-09-25,5,19
91,2016-10-02,0,19
92,2016-10-09,5,29
93,2016-10-16,12,21
94,2016-10-23,3,24
95,2016-10-30,10,27
96,2016-11-06,0,21
97,2016-11-13,14,23
98,2016-11-20,7,10
99,2016-11-27,8,21
100,2016-12-04,3,20
101,2016-12-11,6,22
102,2016-12-18,3,25
103,2016-12-25,5,20
104,2017-01-01,23,30
105,2017-01-08,24,16
106,2017-01-15,27,21
107,2017-01-22,23,6
108,2017-01-29,21,23
109,2017-02-05,18,13
110,2017-02-12,57,28
111,2017-02-19,35,16
112,2017-02-26,58,19
113,2017-03-05,93,25
114,2017-03-12,94,15
115,2017-03-19,54,24
116,2017-03-26,45,22
117,2017-04-02,36,18
118,2017-04-09,29,22
119,2017-04-16,30,22
120,2017-04-23,24,17
121,2017-04-30,23,19
122,2017-05-07,28,19
123,2017-05-14,8,16
124,2017-05-21,32,24
125,2017-05-28,19,12
126,2017-06-04,35,23
127,2017-06-11,21,34
128,2017-06-18,27,16
129,2017-06-25,26,21
130,2017-07-02,34,28
131,2017-07-09,26,15
132,2017-07-16,70,29
133,2017-07-23,35,19
134,2017-07-30,17,4
135,2017-08-06,31,11
136,2017-08-13,16,12
137,2017-08-20,22,19
138,2017-08-27,23,23
139,2017-09-03,22,28
140,2017-09-10,24,34
141,2017-09-17,40,32
142,2017-09-24,30,19
143,2017-10-01,22,27
144,2017-10-08,28,20
145,2017-10-15,43,20
146,2017-10-22,27,28
147,2017-10-29,23,20
148,2017-11-05,32,20
149,2017-11-12,16,13
150,2017-11-19,19,18
151,2017-11-26,33,24
152,2017-12-03,36,24
153,2017-12-10,23,25
154,2017-12-17,37,21
155,2017-12-24,36,23
156,2017-12-31,26,14
157,2018-01-07,52,17
158,2018-01-14,57,21
159,2018-01-21,35,24
160,2018-01-28,46,25
161,2018-02-04,36,37
162,2018-02-11,43,29
163,2018-02-18,33,29
164,2018-02-25,31,24
165,2018-03-04,30,20
166,2018-03-11,33,18
167,2018-03-18,28,27
168,2018-03-25,24,13
169,2018-04-01,21,28
170,2018-04-08,25,30
171,2018-04-15,29,19
172,2018-04-22,16,31
173,2018-04-29,18,24
174,2018-05-06,15,15
175,2018-05-13,14,13
176,2018-05-20,18,14
177,2018-05-27,9,24
178,2018-06-03,15,19
179,2018-06-10,12,19
