,date,Guns N' Roses,Alphabet
0,2015-01-04,22,47
1,2015-01-11,23,33
2,2015-01-18,0,38
3,2015-01-25,6,36
4,2015-02-01,6,24
5,2015-02-08,14,26
6,2015-02-15,0,24
7,2015-02-22,11,11
8,2015-03-01,7,43
9,2015-03-08,0,27
10,2015-03-15,0,29
11,2015-03-22,8,39
12,2015-03-29,0,39
13,2015-04-05,27,38
14,2015-04-12,10,23
15,2015-04-19,7,26
16,2015-04-26,0,14
17,2015-05-03,10,44
18,2015-05-10,12,27
19,2015-05-17,0,32
20,2015-05-24,10,29
21,2015-05-31,0,16
22,2015-06-07,0,28
23,2015-06-14,14,21
24,2015-06-21,0,13
25,2015-06-28,7,21
26,2015-07-05,16,29
27,2015-07-12,0,26
28,2015-07-19,6,35
29,2015-07-26,8,22
30,2015-08-02,0,0
31,2015-08-09,7,43
32,2015-08-16,0,41
33,2015-08-23,8,18
34,2015-08-30,32,44
35,2015-09-06,0,34
36,2015-09-13,0,47
37,2015-09-20,6,32
38,2015-09-27,10,37
39,2015-10-04,0,54
40,2015-10-11,13,17
41,2015-10-18,11,27
42,2015-10-25,0,28
43,2015-11-01,0,38
44,2015-11-08,8,36
45,2015-11-15,7,40
46,2015-11-22,11,29
47,2015-11-29,0,51
48,2015-12-06,6,33
49,2015-12-13,13,37
50,2015-12-20,0,22
51,2015-12-27,32,13
52,2016-01-03,15,27
53,2016-01-10,26,59
54,2016-01-17,13,35
55,2016-01-24,19,32
56,2016-01-31,12,30
57,2016-02-07,9,30
58,2016-02-14,10,28
59,2016-02-21,5,33
60,2016-02-28,8,39
61,2016-03-06,10,29
62,2016-03-13,0,34
63,2016-03-20,28,43
64,2016-03-27,54,17
65,2016-04-03,72,21
66,2016-04-10,30,31
67,2016-04-17,36,19
68,2016-04-24,15,30
69,2016-05-01,20,19
70,2016-05-08,19,36
71,2016-05-15,9,36
72,2016-05-22,10,27
73,2016-05-29,9,22
74,2016-06-05,11,23
75,2016-06-12,10,30
76,2016-06-19,14,26
77,2016-06-26,18,15
78,2016-07-03,14,30
79,2016-07-10,37,0
80,2016-07-17,100,19
81,2016-07-24,19,30
82,2016-07-31,8,24
83,2016-08-07,6,27
84,2016-08-14,9,34
85,2016-08-21,12,17
86,2016-08-28,7,35
87,2016-09-04,9,36
88,2016-09-11,14,43
89,2016-09-18,11,31
90,2016-09-25,0,27
91,2016-10-02,9,28
92,2016-10-09,5,42
93,2016-10-16,6,29
94,2016-10-23,10,35
