,date,Metallica,Alphabet
0,2015-01-04,0,36
1,2015-01-11,12,25
2,2015-01-18,0,29
3,2015-01-25,10,28
4,2015-02-01,15,18
5,2015-02-08,13,20
6,2015-02-15,0,18
7,2015-02-22,17,8
8,2015-03-01,5,32
9,2015-03-08,15,20
10,2015-03-15,13,22
11,2015-03-22,7,30
12,2015-03-29,4,30
13,2015-04-05,0,29
14,2015-04-12,12,17
15,2015-04-19,21,20
16,2015-04-26,0,10
17,2015-05-03,13,34
18,2015-05-10,24,21
19,2015-05-17,13,25
20,2015-05-24,12,22
21,2015-05-31,9,13
22,2015-06-07,0,21
23,2015-06-14,7,16
24,2015-06-21,14,10
25,2015-06-28,7,16
26,2015-07-05,21,22
27,2015-07-12,0,20
28,2015-07-19,0,27
29,2015-07-26,9,16
30,2015-08-02,14,0
31,2015-08-09,0,32
32,2015-08-16,11,32
33,2015-08-23,14,14
34,2015-08-30,0,34
35,2015-09-06,0,26
36,2015-09-13,13,36
37,2015-09-20,20,25
38,2015-09-27,24,28
39,2015-10-04,8,41
40,2015-10-11,10,13
41,2015-10-18,8,21
42,2015-10-25,8,22
43,2015-11-01,19,29
44,2015-11-08,7,28
45,2015-11-15,7,30
46,2015-11-22,7,22
47,2015-11-29,10,39
48,2015-12-06,9,25
49,2015-12-13,5,29
50,2015-12-20,5,17
51,2015-12-27,0,10
52,2016-01-03,10,20
53,2016-01-10,7,45
54,2016-01-17,14,26
55,2016-01-24,10,24
56,2016-01-31,0,23
57,2016-02-07,17,23
58,2016-02-14,18,21
59,2016-02-21,5,25
60,2016-02-28,7,30
61,2016-03-06,17,22
62,2016-03-13,9,26
63,2016-03-20,8,33
64,2016-03-27,0,13
65,2016-04-03,8,16
66,2016-04-10,14,23
67,2016-04-17,5,14
68,2016-04-24,23,23
69,2016-05-01,14,15
70,2016-05-08,7,28
71,2016-05-15,8,28
72,2016-05-22,0,20
73,2016-05-29,5,17
74,2016-06-05,13,18
75,2016-06-12,0,23
76,2016-06-19,7,20
77,2016-06-26,0,11
78,2016-07-03,0,23
79,2016-07-10,7,0
80,2016-07-17,7,15
81,2016-07-24,15,23
82,2016-07-31,7,18
83,2016-08-07,7,21
84,2016-08-14,21,26
85,2016-08-21,28,13
86,2016-08-28,11,27
87,2016-09-04,9,27
88,2016-09-11,7,33
89,2016-09-18,11,24
90,2016-09-25,7,21
91,2016-10-02,19,21
92,2016-10-09,7,32
93,2016-10-16,10,22
94,2016-10-23,17,26
95,2016-10-30,19,30
96,2016-11-06,15,22
97,2016-11-13,41,26
98,2016-11-20,18,11
99,2016-11-27,15,23
100,2016-12-04,10,23
101,2016-12-11,10,24
102,2016-12-18,26,27
103,2016-12-25,9,22
104,2017-01-01,9,32
105,2017-01-08,0,17
106,2017-01-15,14,24
107,2017-01-22,7,6
108,2017-01-29,21,25
109,2017-02-05,4,14
110,2017-02-12,100,30
111,2017-02-19,27,17
112,2017-02-26,24,21
113,2017-03-05,16,28
114,2017-03-12,14,16
115,2017-03-19,17,26
116,2017-03-26,11,24
