,date,The Rolling Stones,Alphabet
0,2015-01-04,12,79
1,2015-01-11,46,56
2,2015-01-18,18,64
3,2015-01-25,14,62
4,2015-02-01,14,40
5,2015-02-08,15,45
6,2015-02-15,38,40
7,2015-02-22,23,19
8,2015-03-01,0,73
9,2015-03-08,27,45
10,2015-03-15,19,50
11,2015-03-22,25,67
12,2015-03-29,33,67
13,2015-04-05,43,64
14,2015-04-12,43,39
15,2015-04-19,33,44
16,2015-04-26,19,23
17,2015-05-03,45,76
18,2015-05-10,0,47
19,2015-05-17,32,55
20,2015-05-24,17,49
21,2015-05-31,20,28
22,2015-06-07,53,47
23,2015-06-14,23,36
24,2015-06-21,0,21
25,2015-06-28,0,36
26,2015-07-05,23,50
27,2015-07-12,52,45
28,2015-07-19,22,60
29,2015-07-26,28,37
30,2015-08-02,24,0
31,2015-08-09,11,72
32,2015-08-16,36,71
33,2015-08-23,0,31
34,2015-08-30,42,75
35,2015-09-06,20,59
36,2015-09-13,11,80
37,2015-09-20,41,55
38,2015-09-27,14,63
39,2015-10-04,28,92
40,2015-10-11,30,30
41,2015-10-18,0,46
42,2015-10-25,0,48
43,2015-11-01,15,64
44,2015-11-08,12,62
45,2015-11-15,12,68
46,2015-11-22,14,49
47,2015-11-29,14,86
48,2015-12-06,28,57
49,2015-12-13,12,64
50,2015-12-20,22,38
51,2015-12-27,42,23
52,2016-01-03,31,45
53,2016-01-10,16,100
54,2016-01-17,38,59
55,2016-01-24,29,54
56,2016-01-31,38,52
57,2016-02-07,29,51
58,2016-02-14,24,48
59,2016-02-21,0,56
60,2016-02-28,21,66
61,2016-03-06,23,50
62,2016-03-13,22,58
63,2016-03-20,0,73
64,2016-03-27,23,28
65,2016-04-03,26,35
66,2016-04-10,16,52
67,2016-04-17,19,32
68,2016-04-24,27,51
69,2016-05-01,20,33
70,2016-05-08,30,62
71,2016-05-15,16,61
72,2016-05-22,16,45
73,2016-05-29,15,37
74,2016-06-05,15,39
75,2016-06-12,14,50
76,2016-06-19,24,44
77,2016-06-26,13,25
78,2016-07-03,10,52
