,date,Bruno Mars,Alphabet
0,2015-01-04,20,27
1,2015-01-11,29,24
2,2015-01-18,29,21
3,2015-01-25,20,22
4,2015-02-01,24,26
5,2015-02-08,22,26
6,2015-02-15,19,26
7,2015-02-22,27,30
8,2015-03-01,17,22
9,2015-03-08,20,25
10,2015-03-15,15,22
11,2015-03-22,16,20
12,2015-03-29,18,19
13,2015-04-05,12,19
14,2015-04-12,14,23
15,2015-04-19,11,23
16,2015-04-26,11,18
17,2015-05-03,12,18
18,2015-05-10,12,18
19,2015-05-17,12,20
20,2015-05-24,10,23
21,2015-05-31,13,20
22,2015-06-07,9,20
23,2015-06-14,13,23
24,2015-06-21,8,18
25,2015-06-28,10,20
26,2015-07-05,6,17
27,2015-07-12,5,17
28,2015-07-19,13,21
29,2015-07-26,10,18
30,2015-08-02,10,16
31,2015-08-09,7,49
32,2015-08-16,7,23
33,2015-08-23,7,21
34,2015-08-30,9,25
35,2015-09-06,11,29
36,2015-09-13,9,34
37,2015-09-20,6,33
38,2015-09-27,7,33
39,2015-10-04,8,33
40,2015-10-11,6,30
41,2015-10-18,6,30
42,2015-10-25,8,29
43,2015-11-01,6,29
44,2015-11-08,7,27
45,2015-11-15,7,25
46,2015-11-22,7,22
47,2015-11-29,6,25
48,2015-12-06,7,24
49,2015-12-13,6,22
50,2015-12-20,9,24
51,2015-12-27,9,18
52,2016-01-03,7,22
53,2016-01-10,8,20
54,2016-01-17,6,22
55,2016-01-24,6,20
56,2016-01-31,9,30
57,2016-02-07,68,25
58,2016-02-14,20,23
59,2016-02-21,13,29
60,2016-02-28,8,25
61,2016-03-06,7,18
62,2016-03-13,9,23
63,2016-03-20,6,20
64,2016-03-27,7,21
65,2016-04-03,7,21
66,2016-04-10,4,25
67,2016-04-17,7,21
68,2016-04-24,7,19
69,2016-05-01,5,22
70,2016-05-08,6,22
71,2016-05-15,11,21
72,2016-05-22,11,20
73,2016-05-29,8,22
74,2016-06-05,7,22
75,2016-06-12,6,17
76,2016-06-19,6,19
77,2016-06-26,7,16
78,2016-07-03,4,16
79,2016-07-10,7,15
80,2016-07-17,6,19
81,2016-07-24,7,19
82,2016-07-31,6,22
83,2016-08-07,6,15
84,2016-08-14,6,17
85,2016-08-21,8,17
86,2016-08-28,7,19
87,2016-09-04,3,26
88,2016-09-11,7,33
89,2016-09-18,4,29
90,2016-09-25,5,21
91,2016-10-02,13,26
92,2016-10-09,15,22
93,2016-10-16,21,24
94,2016-10-23,18,24
95,2016-10-30,18,23
96,2016-11-06,12,20
97,2016-11-13,28,22
98,2016-11-20,47,18
99,2016-11-27,18,24
