,date,Coldplay,Alphabet
0,2015-01-04,5,20
1,2015-01-11,5,18
2,2015-01-18,4,16
3,2015-01-25,5,17
4,2015-02-01,3,19
5,2015-02-08,6,19
6,2015-02-15,4,20
7,2015-02-22,3,22
8,2015-03-01,4,16
9,2015-03-08,5,19
10,2015-03-15,5,17
11,2015-03-22,4,15
12,2015-03-29,6,15
13,2015-04-05,3,14
14,2015-04-12,5,17
15,2015-04-19,5,18
16,2015-04-26,4,14
17,2015-05-03,3,14
18,2015-05-10,5,14
19,2015-05-17,6,15
20,2015-05-24,4,17
21,2015-05-31,5,15
22,2015-06-07,6,15
23,2015-06-14,5,17
24,2015-06-21,5,13
25,2015-06-28,4,15
26,2015-07-05,4,13
27,2015-07-12,4,13
28,2015-07-19,6,16
29,2015-07-26,4,14
30,2015-08-02,6,12
31,2015-08-09,3,37
32,2015-08-16,5,17
33,2015-08-23,3,15
34,2015-08-30,3,19
35,2015-09-06,5,22
36,2015-09-13,4,26
37,2015-09-20,6,25
38,2015-09-27,5,25
39,2015-10-04,4,25
40,2015-10-11,4,22
41,2015-10-18,3,23
42,2015-10-25,3,22
43,2015-11-01,7,22
44,2015-11-08,6,20
45,2015-11-15,5,19
46,2015-11-22,13,16
47,2015-11-29,17,19
48,2015-12-06,12,18
49,2015-12-13,12,16
50,2015-12-20,8,18
51,2015-12-27,7,13
52,2016-01-03,8,16
53,2016-01-10,6,15
54,2016-01-17,7,17
55,2016-01-24,18,15
56,2016-01-31,39,23
57,2016-02-07,100,19
58,2016-02-14,14,17
59,2016-02-21,9,22
60,2016-02-28,8,19
61,2016-03-06,8,14
62,2016-03-13,10,17
63,2016-03-20,7,15
64,2016-03-27,6,16
65,2016-04-03,7,16
66,2016-04-10,7,19
67,2016-04-17,7,16
68,2016-04-24,9,14
69,2016-05-01,8,17
70,2016-05-08,7,16
71,2016-05-15,8,16
72,2016-05-22,6,15
73,2016-05-29,7,17
74,2016-06-05,7,17
75,2016-06-12,7,13
76,2016-06-19,9,14
77,2016-06-26,10,12
78,2016-07-03,8,12
79,2016-07-10,33,11
80,2016-07-17,53,14
81,2016-07-24,14,14
82,2016-07-31,24,16
83,2016-08-07,17,11
84,2016-08-14,7,13
85,2016-08-21,9,13
86,2016-08-28,8,14
87,2016-09-04,10,19
88,2016-09-11,6,25
89,2016-09-18,5,22
90,2016-09-25,6,16
91,2016-10-02,6,19
92,2016-10-09,10,16
93,2016-10-16,6,18
94,2016-10-23,6,18
95,2016-10-30,6,17
96,2016-11-06,5,15
97,2016-11-13,6,17
98,2016-11-20,9,14
99,2016-11-27,4,18
100,2016-12-04,5,19
101,2016-12-11,5,18
102,2016-12-18,5,17
103,2016-12-25,5,15
104,2017-01-01,4,18
105,2017-01-08,5,17
106,2017-01-15,4,15
107,2017-01-22,6,21
108,2017-01-29,4,18
109,2017-02-05,5,16
110,2017-02-12,5,17
111,2017-02-19,10,19
112,2017-02-26,7,17
113,2017-03-05,8,17
114,2017-03-12,8,16
115,2017-03-19,7,19
116,2017-03-26,7,19
117,2017-04-02,7,17
118,2017-04-09,7,13
119,2017-04-16,7,16
120,2017-04-23,6,15
121,2017-04-30,6,17
122,2017-05-07,7,18
123,2017-05-14,7,16
124,2017-05-21,5,15
125,2017-05-28,6,18
126,2017-06-04,10,18
127,2017-06-11,9,16
128,2017-06-18,7,13
129,2017-06-25,8,12
130,2017-07-02,9,14
131,2017-07-09,9,13
132,2017-07-16,10,13
133,2017-07-23,12,14
134,2017-07-30,42,13
135,2017-08-06,9,13
136,2017-08-13,6,11
137,2017-08-20,6,12
138,2017-08-27,5,13
139,2017-09-03,4,14
140,2017-09-10,4,20
141,2017-09-17,5,21
142,2017-09-24,4,19
143,2017-10-01,4,20
144,2017-10-08,5,18
145,2017-10-15,3,17
146,2017-10-22,4,18
147,2017-10-29,3,17
148,2017-11-05,3,15
149,2017-11-12,4,20
150,2017-11-19,4,18
151,2017-11-26,3,18
152,2017-12-03,4,15
153,2017-12-10,4,19
154,2017-12-17,4,16
155,2017-12-24,4,15
156,2017-12-31,2,16
157,2018-01-07,4,18
158,2018-01-14,4,17
159,2018-01-21,5,19
160,2018-01-28,3,19
161,2018-02-04,3,21
162,2018-02-11,5,20
163,2018-02-18,5,16
164,2018-02-25,3,19
165,2018-03-04,4,16
166,2018-03-11,3,17
167,2018-03-18,3,17
168,2018-03-25,3,17
169,2018-04-01,5,16
170,2018-04-08,3,17
171,2018-04-15,3,19
172,2018-04-22,3,18
173,2018-04-29,2,18
174,2018-05-06,4,18
175,2018-05-13,3,15
176,2018-05-20,4,15
177,2018-05-27,3,17
178,2018-06-03,3,16
179,2018-06-10,3,15
180,2018-06-17,3,15
181,2018-06-24,2,13
182,2018-07-01,4,13
183,2018-07-08,3,13
184,2018-07-15,4,13
185,2018-07-22,4,16
186,2018-07-29,4,13
187,2018-08-05,2,13
188,2018-08-12,3,14
189,2018-08-19,6,13
190,2018-08-26,3,15
191,2018-09-02,3,14
192,2018-09-09,3,21
193,2018-09-16,3,19
194,2018-09-23,3,21
195,2018-09-30,3,19
196,2018-10-07,3,17
197,2018-10-14,2,19
198,2018-10-21,3,19
199,2018-10-28,4,18
200,2018-11-04,3,14
201,2018-11-11,5,15
202,2018-11-18,4,14
203,2018-11-25,4,19
204,2018-12-02,4,18
205,2018-12-09,4,16
206,2018-12-16,3,17
207,2018-12-23,5,13
208,2018-12-30,3,16
209,2019-01-06,3,16
210,2019-01-13,3,20
211,2019-01-20,3,16
212,2019-01-27,3,18
213,2019-02-03,5,19
214,2019-02-10,4,18
215,2019-02-17,2,17
216,2019-02-24,3,18
217,2019-03-03,2,16
218,2019-03-10,3,19
