,date,Ed Sheeran,Alphabet
0,2015-01-04,34,28
1,2015-01-11,35,24
2,2015-01-18,32,22
3,2015-01-25,36,22
4,2015-02-01,32,26
5,2015-02-08,79,26
6,2015-02-15,55,26
7,2015-02-22,49,30
8,2015-03-01,32,22
9,2015-03-08,30,25
10,2015-03-15,28,22
11,2015-03-22,29,20
12,2015-03-29,26,20
13,2015-04-05,22,19
14,2015-04-12,18,22
15,2015-04-19,17,24
16,2015-04-26,15,19
17,2015-05-03,20,18
18,2015-05-10,21,18
19,2015-05-17,30,20
20,2015-05-24,51,22
21,2015-05-31,44,21
22,2015-06-07,23,20
23,2015-06-14,28,23
24,2015-06-21,25,17
25,2015-06-28,19,20
26,2015-07-05,24,17
27,2015-07-12,19,17
28,2015-07-19,25,21
29,2015-07-26,22,18
30,2015-08-02,21,16
31,2015-08-09,26,53
32,2015-08-16,27,23
33,2015-08-23,19,20
34,2015-08-30,18,25
35,2015-09-06,16,27
36,2015-09-13,17,34
37,2015-09-20,21,33
38,2015-09-27,23,33
39,2015-10-04,17,33
40,2015-10-11,14,30
41,2015-10-18,17,30
42,2015-10-25,16,28
43,2015-11-01,13,29
44,2015-11-08,16,27
45,2015-11-15,14,26
46,2015-11-22,14,22
47,2015-11-29,10,26
48,2015-12-06,11,24
49,2015-12-13,13,21
50,2015-12-20,12,23
51,2015-12-27,14,18
52,2016-01-03,10,21
53,2016-01-10,9,21
54,2016-01-17,9,21
55,2016-01-24,11,21
56,2016-01-31,8,32
57,2016-02-07,8,26
58,2016-02-14,22,23
59,2016-02-21,9,29
60,2016-02-28,8,24
61,2016-03-06,8,18
62,2016-03-13,7,23
63,2016-03-20,6,19
64,2016-03-27,7,21
65,2016-04-03,7,21
66,2016-04-10,7,25
67,2016-04-17,5,21
68,2016-04-24,6,19
69,2016-05-01,7,23
70,2016-05-08,7,22
71,2016-05-15,8,20
72,2016-05-22,7,20
73,2016-05-29,6,22
74,2016-06-05,9,23
75,2016-06-12,8,17
76,2016-06-19,6,19
77,2016-06-26,6,16
78,2016-07-03,8,17
79,2016-07-10,6,15
80,2016-07-17,6,19
81,2016-07-24,7,18
82,2016-07-31,5,20
83,2016-08-07,7,15
84,2016-08-14,5,17
85,2016-08-21,5,18
86,2016-08-28,6,18
87,2016-09-04,5,26
88,2016-09-11,4,32
89,2016-09-18,5,30
90,2016-09-25,4,22
91,2016-10-02,5,26
92,2016-10-09,4,22
93,2016-10-16,6,24
94,2016-10-23,5,24
95,2016-10-30,6,22
96,2016-11-06,5,20
97,2016-11-13,6,22
98,2016-11-20,5,19
99,2016-11-27,7,25
100,2016-12-04,3,25
101,2016-12-11,7,23
102,2016-12-18,5,22
103,2016-12-25,6,20
104,2017-01-01,28,24
105,2017-01-08,32,22
106,2017-01-15,21,21
107,2017-01-22,22,28
108,2017-01-29,22,24
109,2017-02-05,20,21
110,2017-02-12,61,24
111,2017-02-19,32,26
112,2017-02-26,50,23
113,2017-03-05,100,23
114,2017-03-12,80,21
115,2017-03-19,59,26
116,2017-03-26,44,25
117,2017-04-02,35,23
118,2017-04-09,28,17
119,2017-04-16,29,21
120,2017-04-23,24,19
121,2017-04-30,21,23
122,2017-05-07,25,23
123,2017-05-14,21,21
124,2017-05-21,29,21
125,2017-05-28,23,25
126,2017-06-04,29,25
127,2017-06-11,25,19
128,2017-06-18,19,17
129,2017-06-25,23,16
130,2017-07-02,35,19
131,2017-07-09,40,18
132,2017-07-16,77,17
133,2017-07-23,26,18
134,2017-07-30,19,17
135,2017-08-06,21,16
136,2017-08-13,18,15
137,2017-08-20,19,16
138,2017-08-27,28,17
139,2017-09-03,15,20
