,date,Metallica,Alphabet
0,2015-01-04,6,31
1,2015-01-11,9,27
2,2015-01-18,5,25
3,2015-01-25,4,25
4,2015-02-01,6,30
5,2015-02-08,6,30
6,2015-02-15,8,30
7,2015-02-22,6,34
8,2015-03-01,7,25
9,2015-03-08,6,29
10,2015-03-15,8,25
11,2015-03-22,9,23
12,2015-03-29,7,22
13,2015-04-05,8,21
14,2015-04-12,7,26
15,2015-04-19,6,27
16,2015-04-26,7,21
17,2015-05-03,6,21
18,2015-05-10,7,21
19,2015-05-17,7,23
20,2015-05-24,8,26
21,2015-05-31,7,23
22,2015-06-07,7,23
23,2015-06-14,9,26
24,2015-06-21,6,21
25,2015-06-28,8,23
26,2015-07-05,4,20
27,2015-07-12,6,20
28,2015-07-19,7,25
29,2015-07-26,8,21
30,2015-08-02,8,18
31,2015-08-09,4,56
32,2015-08-16,6,26
33,2015-08-23,9,24
34,2015-08-30,5,28
35,2015-09-06,8,33
36,2015-09-13,11,39
37,2015-09-20,6,38
38,2015-09-27,7,38
39,2015-10-04,4,38
40,2015-10-11,5,34
41,2015-10-18,7,34
42,2015-10-25,4,33
43,2015-11-01,6,34
44,2015-11-08,7,31
45,2015-11-15,5,29
46,2015-11-22,6,25
47,2015-11-29,5,29
48,2015-12-06,5,27
49,2015-12-13,4,25
50,2015-12-20,9,28
51,2015-12-27,8,20
52,2016-01-03,8,25
53,2016-01-10,7,23
54,2016-01-17,7,25
55,2016-01-24,8,23
56,2016-01-31,8,35
57,2016-02-07,15,29
58,2016-02-14,8,26
59,2016-02-21,7,34
60,2016-02-28,8,28
61,2016-03-06,7,21
62,2016-03-13,9,26
63,2016-03-20,8,23
64,2016-03-27,8,24
65,2016-04-03,11,24
66,2016-04-10,9,29
67,2016-04-17,9,24
68,2016-04-24,8,22
69,2016-05-01,8,25
70,2016-05-08,8,25
71,2016-05-15,8,24
72,2016-05-22,7,23
73,2016-05-29,6,25
74,2016-06-05,9,25
75,2016-06-12,8,20
76,2016-06-19,6,22
77,2016-06-26,6,19
78,2016-07-03,7,18
79,2016-07-10,9,17
80,2016-07-17,6,21
81,2016-07-24,8,21
82,2016-07-31,7,25
83,2016-08-07,6,17
84,2016-08-14,18,20
85,2016-08-21,13,20
86,2016-08-28,15,21
87,2016-09-04,9,30
88,2016-09-11,8,37
89,2016-09-18,11,34
90,2016-09-25,20,24
91,2016-10-02,11,29
92,2016-10-09,7,25
93,2016-10-16,8,28
94,2016-10-23,9,28
95,2016-10-30,11,27
96,2016-11-06,9,23
97,2016-11-13,32,25
98,2016-11-20,22,21
99,2016-11-27,10,27
100,2016-12-04,13,28
101,2016-12-11,11,27
102,2016-12-18,12,25
103,2016-12-25,10,22
104,2017-01-01,9,27
105,2017-01-08,11,25
106,2017-01-15,9,23
107,2017-01-22,10,32
108,2017-01-29,9,27
109,2017-02-05,12,24
110,2017-02-12,100,26
111,2017-02-19,22,29
112,2017-02-26,16,27
113,2017-03-05,14,26
114,2017-03-12,12,24
115,2017-03-19,15,29
116,2017-03-26,13,29
117,2017-04-02,10,26
118,2017-04-09,11,20
119,2017-04-16,14,25
120,2017-04-23,13,23
121,2017-04-30,18,26
122,2017-05-07,60,27
123,2017-05-14,64,25
124,2017-05-21,13,23
125,2017-05-28,10,28
126,2017-06-04,8,27
127,2017-06-11,9,24
128,2017-06-18,8,20
129,2017-06-25,8,19
130,2017-07-02,13,21
131,2017-07-09,8,20
132,2017-07-16,7,19
133,2017-07-23,8,21
134,2017-07-30,7,20
135,2017-08-06,9,19
136,2017-08-13,8,17
137,2017-08-20,7,18
138,2017-08-27,8,20
139,2017-09-03,5,22
140,2017-09-10,8,30
141,2017-09-17,6,32
142,2017-09-24,7,29
143,2017-10-01,7,31
144,2017-10-08,5,27
145,2017-10-15,6,27
146,2017-10-22,8,27
147,2017-10-29,7,25
148,2017-11-05,7,23
149,2017-11-12,10,30
150,2017-11-19,7,27
151,2017-11-26,7,27
152,2017-12-03,8,22
153,2017-12-10,6,29
154,2017-12-17,7,25
155,2017-12-24,6,22
156,2017-12-31,8,24
157,2018-01-07,5,28
158,2018-01-14,6,26
159,2018-01-21,8,29
160,2018-01-28,7,29
161,2018-02-04,7,33
162,2018-02-11,6,30
163,2018-02-18,7,24
164,2018-02-25,14,29
165,2018-03-04,8,24
166,2018-03-11,7,27
167,2018-03-18,6,26
168,2018-03-25,8,26
169,2018-04-01,7,24
170,2018-04-08,8,26
171,2018-04-15,7,29
172,2018-04-22,7,27
173,2018-04-29,8,27
174,2018-05-06,8,27
175,2018-05-13,7,23
176,2018-05-20,10,23
177,2018-05-27,13,25
178,2018-06-03,8,25
179,2018-06-10,9,23
180,2018-06-17,8,23
181,2018-06-24,7,20
182,2018-07-01,6,19
183,2018-07-08,7,20
184,2018-07-15,7,20
185,2018-07-22,7,25
186,2018-07-29,8,20
187,2018-08-05,7,19
188,2018-08-12,9,21
189,2018-08-19,8,19
190,2018-08-26,6,23
191,2018-09-02,10,22
192,2018-09-09,9,32
193,2018-09-16,9,29
194,2018-09-23,9,31
195,2018-09-30,7,29
196,2018-10-07,10,27
197,2018-10-14,12,29
198,2018-10-21,20,29
199,2018-10-28,10,28
200,2018-11-04,8,21
201,2018-11-11,7,23
202,2018-11-18,4,21
203,2018-11-25,7,28
204,2018-12-02,8,27
205,2018-12-09,6,24
206,2018-12-16,9,25
207,2018-12-23,7,19
208,2018-12-30,6,25
209,2019-01-06,7,24
210,2019-01-13,6,30
211,2019-01-20,9,25
212,2019-01-27,9,28
213,2019-02-03,7,29
214,2019-02-10,7,28
215,2019-02-17,6,26
216,2019-02-24,5,27
217,2019-03-03,7,25
218,2019-03-10,7,28
219,2019-03-17,9,25
220,2019-03-24,7,27
221,2019-03-31,6,26
222,2019-04-07,7,27
223,2019-04-14,8,23
224,2019-04-21,6,20
225,2019-04-28,8,26
226,2019-05-05,7,28
227,2019-05-12,7,22
228,2019-05-19,6,24
229,2019-05-26,6,23
230,2019-06-02,7,27
231,2019-06-09,5,24
232,2019-06-16,5,23
233,2019-06-23,6,17
234,2019-06-30,7,17
235,2019-07-07,6,18
236,2019-07-14,9,21
237,2019-07-21,7,20
238,2019-07-28,8,20
239,2019-08-04,6,18
240,2019-08-11,7,18
241,2019-08-18,9,19
242,2019-08-25,6,20
243,2019-09-01,7,23
244,2019-09-08,7,35
245,2019-09-15,6,31
246,2019-09-22,10,33
247,2019-09-29,8,28
248,2019-10-06,10,27
249,2019-10-13,8,31
250,2019-10-20,7,31
251,2019-10-27,5,32
252,2019-11-03,7,29
253,2019-11-10,5,31
254,2019-11-17,6,28
255,2019-11-24,8,25
256,2019-12-01,8,27
257,2019-12-08,7,28
258,2019-12-15,6,24
259,2019-12-22,5,21
260,2019-12-29,5,24
