,date,U2,Alphabet
0,2015-01-04,11,30
1,2015-01-11,8,26
2,2015-01-18,9,24
3,2015-01-25,7,24
4,2015-02-01,7,28
5,2015-02-08,12,28
6,2015-02-15,7,29
7,2015-02-22,8,33
8,2015-03-01,9,24
9,2015-03-08,10,27
10,2015-03-15,8,24
11,2015-03-22,9,22
12,2015-03-29,6,21
13,2015-04-05,7,21
14,2015-04-12,9,25
15,2015-04-19,7,26
16,2015-04-26,9,20
17,2015-05-03,16,20
18,2015-05-10,19,20
19,2015-05-17,14,22
20,2015-05-24,19,25
21,2015-05-31,14,22
22,2015-06-07,9,22
23,2015-06-14,9,25
24,2015-06-21,11,20
25,2015-06-28,13,22
26,2015-07-05,12,19
27,2015-07-12,27,19
28,2015-07-19,44,24
29,2015-07-26,46,20
30,2015-08-02,13,17
31,2015-08-09,10,53
32,2015-08-16,8,25
33,2015-08-23,8,23
34,2015-08-30,8,27
35,2015-09-06,6,31
36,2015-09-13,6,38
37,2015-09-20,6,36
38,2015-09-27,5,36
39,2015-10-04,5,36
40,2015-10-11,6,32
41,2015-10-18,7,33
42,2015-10-25,6,32
43,2015-11-01,5,32
44,2015-11-08,10,30
45,2015-11-15,9,27
46,2015-11-22,7,24
47,2015-11-29,7,27
48,2015-12-06,17,26
49,2015-12-13,11,24
50,2015-12-20,9,26
51,2015-12-27,9,20
52,2016-01-03,5,24
53,2016-01-10,5,22
54,2016-01-17,6,24
55,2016-01-24,4,22
56,2016-01-31,6,33
57,2016-02-07,6,28
58,2016-02-14,6,25
59,2016-02-21,3,32
60,2016-02-28,5,27
61,2016-03-06,4,20
62,2016-03-13,5,25
63,2016-03-20,6,22
64,2016-03-27,6,23
65,2016-04-03,7,23
66,2016-04-10,4,27
67,2016-04-17,4,23
68,2016-04-24,6,21
69,2016-05-01,7,24
70,2016-05-08,4,24
71,2016-05-15,5,23
72,2016-05-22,4,22
73,2016-05-29,6,24
74,2016-06-05,5,24
75,2016-06-12,4,19
76,2016-06-19,3,21
77,2016-06-26,4,18
78,2016-07-03,6,17
79,2016-07-10,5,16
80,2016-07-17,5,20
81,2016-07-24,5,20
82,2016-07-31,4,24
83,2016-08-07,7,17
84,2016-08-14,4,19
85,2016-08-21,6,19
86,2016-08-28,4,20
87,2016-09-04,5,28
88,2016-09-11,5,36
89,2016-09-18,6,32
90,2016-09-25,5,23
91,2016-10-02,5,28
92,2016-10-09,4,24
93,2016-10-16,3,27
94,2016-10-23,4,27
95,2016-10-30,5,25
96,2016-11-06,2,22
97,2016-11-13,5,24
98,2016-11-20,5,20
99,2016-11-27,4,26
100,2016-12-04,5,27
101,2016-12-11,4,26
102,2016-12-18,4,24
103,2016-12-25,7,22
104,2017-01-01,6,26
105,2017-01-08,43,24
106,2017-01-15,32,23
107,2017-01-22,14,31
108,2017-01-29,8,26
109,2017-02-05,7,23
110,2017-02-12,9,25
111,2017-02-19,7,28
112,2017-02-26,5,25
113,2017-03-05,8,25
114,2017-03-12,8,23
115,2017-03-19,9,28
116,2017-03-26,7,28
117,2017-04-02,6,25
118,2017-04-09,7,19
119,2017-04-16,9,24
120,2017-04-23,6,22
121,2017-04-30,8,25
122,2017-05-07,12,26
123,2017-05-14,15,24
124,2017-05-21,16,22
125,2017-05-28,15,27
126,2017-06-04,17,26
127,2017-06-11,24,23
128,2017-06-18,40,19
129,2017-06-25,100,18
130,2017-07-02,14,20
131,2017-07-09,11,19
132,2017-07-16,7,19
133,2017-07-23,11,20
134,2017-07-30,7,19
135,2017-08-06,5,18
136,2017-08-13,5,17
137,2017-08-20,5,17
138,2017-08-27,7,19
139,2017-09-03,10,21
140,2017-09-10,7,29
141,2017-09-17,8,31
142,2017-09-24,5,28
143,2017-10-01,7,30
144,2017-10-08,6,26
145,2017-10-15,5,26
146,2017-10-22,6,26
147,2017-10-29,8,24
148,2017-11-05,8,22
149,2017-11-12,11,29
150,2017-11-19,10,26
151,2017-11-26,9,26
152,2017-12-03,15,21
153,2017-12-10,8,27
154,2017-12-17,9,24
155,2017-12-24,8,21
156,2017-12-31,7,23
157,2018-01-07,6,26
158,2018-01-14,5,25
159,2018-01-21,5,28
160,2018-01-28,16,28
161,2018-02-04,7,31
162,2018-02-11,5,29
163,2018-02-18,5,23
164,2018-02-25,4,28
165,2018-03-04,6,23
166,2018-03-11,6,25
167,2018-03-18,4,25
168,2018-03-25,7,25
169,2018-04-01,5,23
170,2018-04-08,6,25
171,2018-04-15,5,28
172,2018-04-22,5,26
173,2018-04-29,10,26
174,2018-05-06,9,26
175,2018-05-13,11,22
176,2018-05-20,11,22
177,2018-05-27,10,24
178,2018-06-03,12,24
179,2018-06-10,31,22
180,2018-06-17,12,22
181,2018-06-24,40,19
182,2018-07-01,13,19
183,2018-07-08,7,19
184,2018-07-15,5,19
185,2018-07-22,5,24
186,2018-07-29,5,19
187,2018-08-05,4,19
188,2018-08-12,5,20
189,2018-08-19,4,18
190,2018-08-26,4,22
191,2018-09-02,6,21
192,2018-09-09,5,31
193,2018-09-16,4,28
194,2018-09-23,5,30
195,2018-09-30,4,28
196,2018-10-07,5,25
197,2018-10-14,5,28
198,2018-10-21,4,28
199,2018-10-28,4,26
200,2018-11-04,4,20
201,2018-11-11,6,22
202,2018-11-18,4,20
203,2018-11-25,4,27
204,2018-12-02,4,26
205,2018-12-09,4,23
206,2018-12-16,4,24
207,2018-12-23,5,18
208,2018-12-30,4,24
209,2019-01-06,3,23
210,2019-01-13,4,29
211,2019-01-20,4,24
212,2019-01-27,3,27
213,2019-02-03,4,28
214,2019-02-10,4,27
215,2019-02-17,4,25
216,2019-02-24,3,26
217,2019-03-03,6,24
218,2019-03-10,3,27
219,2019-03-17,4,24
220,2019-03-24,3,26
221,2019-03-31,5,25
222,2019-04-07,3,26
223,2019-04-14,4,22
224,2019-04-21,4,19
225,2019-04-28,3,25
226,2019-05-05,2,27
227,2019-05-12,5,21
228,2019-05-19,4,23
229,2019-05-26,4,22
230,2019-06-02,3,26
231,2019-06-09,3,23
232,2019-06-16,5,22
233,2019-06-23,4,16
234,2019-06-30,3,16
235,2019-07-07,4,17
236,2019-07-14,6,20
237,2019-07-21,6,20
238,2019-07-28,4,19
239,2019-08-04,3,17
240,2019-08-11,3,17
241,2019-08-18,4,18
