,date,Bruno Mars,Alphabet
0,2015-01-04,25,18
1,2015-01-11,50,24
2,2015-01-18,29,42
3,2015-01-25,25,19
4,2015-02-01,45,35
5,2015-02-08,32,37
6,2015-02-15,37,39
7,2015-02-22,36,25
8,2015-03-01,21,32
9,2015-03-08,21,25
10,2015-03-15,15,53
11,2015-03-22,16,19
12,2015-03-29,17,31
13,2015-04-05,13,17
14,2015-04-12,14,27
15,2015-04-19,10,33
16,2015-04-26,17,43
17,2015-05-03,21,8
18,2015-05-10,30,29
19,2015-05-17,12,26
20,2015-05-24,23,26
21,2015-05-31,0,22
22,2015-06-07,0,12
23,2015-06-14,27,17
24,2015-06-21,11,29
25,2015-06-28,27,16
26,2015-07-05,25,30
27,2015-07-12,11,34
28,2015-07-19,14,22
29,2015-07-26,13,26
30,2015-08-02,13,41
31,2015-08-09,14,36
32,2015-08-16,4,36
33,2015-08-23,14,32
34,2015-08-30,13,15
35,2015-09-06,7,40
36,2015-09-13,11,39
37,2015-09-20,7,15
38,2015-09-27,0,31
39,2015-10-04,0,26
40,2015-10-11,10,29
41,2015-10-18,11,18
42,2015-10-25,0,29
43,2015-11-01,13,27
44,2015-11-08,10,35
45,2015-11-15,0,28
46,2015-11-22,6,32
47,2015-11-29,8,22
48,2015-12-06,9,31
49,2015-12-13,12,25
50,2015-12-20,9,20
51,2015-12-27,12,18
52,2016-01-03,12,31
53,2016-01-10,11,33
54,2016-01-17,10,27
55,2016-01-24,9,19
56,2016-01-31,9,35
57,2016-02-07,57,37
58,2016-02-14,23,20
59,2016-02-21,16,27
60,2016-02-28,4,23
61,2016-03-06,10,25
62,2016-03-13,8,24
63,2016-03-20,6,31
64,2016-03-27,13,22
65,2016-04-03,10,16
66,2016-04-10,7,23
67,2016-04-17,3,14
68,2016-04-24,10,39
69,2016-05-01,11,30
70,2016-05-08,14,20
71,2016-05-15,14,20
72,2016-05-22,13,18
73,2016-05-29,11,28
74,2016-06-05,12,23
75,2016-06-12,6,21
76,2016-06-19,8,26
77,2016-06-26,9,28
78,2016-07-03,14,15
79,2016-07-10,9,22
80,2016-07-17,10,18
81,2016-07-24,11,16
82,2016-07-31,15,29
83,2016-08-07,0,30
84,2016-08-14,8,46
85,2016-08-21,4,29
86,2016-08-28,7,23
87,2016-09-04,2,34
88,2016-09-11,7,26
89,2016-09-18,5,24
90,2016-09-25,7,26
91,2016-10-02,22,20
92,2016-10-09,13,27
93,2016-10-16,36,23
94,2016-10-23,23,44
95,2016-10-30,27,19
96,2016-11-06,12,9
97,2016-11-13,16,23
98,2016-11-20,53,17
99,2016-11-27,18,25
100,2016-12-04,32,29
101,2016-12-11,61,27
102,2016-12-18,35,26
103,2016-12-25,21,14
104,2017-01-01,20,20
105,2017-01-08,27,25
106,2017-01-15,13,24
107,2017-01-22,27,29
108,2017-01-29,12,33
109,2017-02-05,27,24
110,2017-02-12,100,25
111,2017-02-19,41,19
