,date,Bruno Mars,Alphabet
0,2015-01-04,30,17
1,2015-01-11,33,19
2,2015-01-18,28,26
3,2015-01-25,30,24
4,2015-02-01,29,20
5,2015-02-08,25,19
6,2015-02-15,27,23
7,2015-02-22,20,24
8,2015-03-01,9,22
9,2015-03-08,20,16
10,2015-03-15,17,15
11,2015-03-22,18,19
12,2015-03-29,22,15
13,2015-04-05,16,22
14,2015-04-12,15,21
15,2015-04-19,15,17
16,2015-04-26,15,20
17,2015-05-03,16,14
18,2015-05-10,27,16
19,2015-05-17,28,19
20,2015-05-24,13,24
21,2015-05-31,22,18
22,2015-06-07,19,13
23,2015-06-14,15,16
24,2015-06-21,13,17
25,2015-06-28,9,25
26,2015-07-05,7,16
27,2015-07-12,15,19
28,2015-07-19,17,15
29,2015-07-26,13,18
30,2015-08-02,13,16
31,2015-08-09,9,36
32,2015-08-16,8,26
33,2015-08-23,11,35
34,2015-08-30,11,33
35,2015-09-06,11,26
36,2015-09-13,9,25
37,2015-09-20,7,28
38,2015-09-27,9,27
39,2015-10-04,21,27
40,2015-10-11,10,31
41,2015-10-18,5,32
42,2015-10-25,11,19
43,2015-11-01,11,28
44,2015-11-08,11,23
45,2015-11-15,12,21
46,2015-11-22,9,25
47,2015-11-29,9,22
48,2015-12-06,8,23
49,2015-12-13,12,23
50,2015-12-20,9,19
51,2015-12-27,29,16
52,2016-01-03,8,21
53,2016-01-10,6,22
54,2016-01-17,7,18
55,2016-01-24,13,15
56,2016-01-31,11,18
57,2016-02-07,82,19
58,2016-02-14,22,19
59,2016-02-21,15,18
60,2016-02-28,9,19
61,2016-03-06,7,19
62,2016-03-13,14,20
63,2016-03-20,13,21
64,2016-03-27,4,21
65,2016-04-03,8,19
66,2016-04-10,5,22
67,2016-04-17,8,19
68,2016-04-24,9,16
69,2016-05-01,8,19
70,2016-05-08,6,21
71,2016-05-15,10,17
72,2016-05-22,9,21
73,2016-05-29,10,20
74,2016-06-05,9,18
75,2016-06-12,3,14
76,2016-06-19,5,20
77,2016-06-26,8,12
78,2016-07-03,6,17
79,2016-07-10,9,16
80,2016-07-17,7,17
81,2016-07-24,7,18
82,2016-07-31,7,21
83,2016-08-07,6,20
84,2016-08-14,8,17
85,2016-08-21,24,15
86,2016-08-28,7,25
87,2016-09-04,12,26
88,2016-09-11,6,34
89,2016-09-18,5,25
90,2016-09-25,6,25
91,2016-10-02,21,18
92,2016-10-09,42,26
93,2016-10-16,38,21
94,2016-10-23,21,23
95,2016-10-30,19,21
96,2016-11-06,17,23
97,2016-11-13,39,20
98,2016-11-20,78,15
99,2016-11-27,31,18
100,2016-12-04,32,22
101,2016-12-11,51,21
102,2016-12-18,34,15
103,2016-12-25,55,15
104,2017-01-01,43,19
105,2017-01-08,24,20
106,2017-01-15,20,17
107,2017-01-22,19,19
108,2017-01-29,22,23
109,2017-02-05,26,20
110,2017-02-12,100,18
111,2017-02-19,39,22
112,2017-02-26,34,20
113,2017-03-05,60,25
114,2017-03-12,63,22
115,2017-03-19,30,24
116,2017-03-26,24,18
117,2017-04-02,24,24
118,2017-04-09,34,17
119,2017-04-16,25,19
120,2017-04-23,21,23
121,2017-04-30,24,25
122,2017-05-07,29,20
123,2017-05-14,24,24
124,2017-05-21,41,18
125,2017-05-28,27,21
126,2017-06-04,28,17
127,2017-06-11,23,19
128,2017-06-18,24,12
129,2017-06-25,58,14
130,2017-07-02,31,15
131,2017-07-09,59,17
132,2017-07-16,64,17
133,2017-07-23,21,18
134,2017-07-30,21,14
135,2017-08-06,25,16
136,2017-08-13,35,25
137,2017-08-20,23,28
138,2017-08-27,32,25
139,2017-09-03,52,22
140,2017-09-10,24,26
141,2017-09-17,17,19
142,2017-09-24,11,21
143,2017-10-01,20,28
144,2017-10-08,23,24
145,2017-10-15,23,23
146,2017-10-22,19,23
147,2017-10-29,14,17
148,2017-11-05,22,26
149,2017-11-12,18,25
150,2017-11-19,19,19
151,2017-11-26,33,23
152,2017-12-03,21,22
153,2017-12-10,13,26
154,2017-12-17,15,21
155,2017-12-24,41,14
156,2017-12-31,56,16
157,2018-01-07,30,17
158,2018-01-14,30,20
159,2018-01-21,26,23
160,2018-01-28,92,28
161,2018-02-04,38,25
162,2018-02-11,61,22
163,2018-02-18,47,18
164,2018-02-25,19,23
165,2018-03-04,23,19
166,2018-03-11,29,23
167,2018-03-18,25,23
168,2018-03-25,23,21
169,2018-04-01,23,13
170,2018-04-08,17,18
171,2018-04-15,15,20
172,2018-04-22,14,27
173,2018-04-29,12,24
174,2018-05-06,18,28
175,2018-05-13,13,26
176,2018-05-20,16,18
177,2018-05-27,18,27
178,2018-06-03,16,16
179,2018-06-10,18,20
180,2018-06-17,18,15
181,2018-06-24,11,20
182,2018-07-01,17,16
183,2018-07-08,9,16
184,2018-07-15,30,16
185,2018-07-22,53,18
186,2018-07-29,17,20
187,2018-08-05,5,19
188,2018-08-12,13,27
189,2018-08-19,10,31
190,2018-08-26,15,24
191,2018-09-02,17,27
192,2018-09-09,12,29
193,2018-09-16,14,19
194,2018-09-23,20,24
195,2018-09-30,11,20
196,2018-10-07,15,23
197,2018-10-14,15,17
198,2018-10-21,12,22
199,2018-10-28,11,19
200,2018-11-04,14,26
201,2018-11-11,16,19
202,2018-11-18,15,13
203,2018-11-25,13,18
204,2018-12-02,17,20
205,2018-12-09,14,21
206,2018-12-16,17,21
207,2018-12-23,30,16
208,2018-12-30,71,20
209,2019-01-06,13,20
210,2019-01-13,11,23
211,2019-01-20,10,25
212,2019-01-27,10,23
213,2019-02-03,25,19
214,2019-02-10,25,23
215,2019-02-17,15,21
216,2019-02-24,19,23
217,2019-03-03,25,21
218,2019-03-10,17,21
219,2019-03-17,14,19
220,2019-03-24,14,22
221,2019-03-31,14,21
222,2019-04-07,11,26
223,2019-04-14,13,19
224,2019-04-21,15,22
225,2019-04-28,63,16
226,2019-05-05,17,20
227,2019-05-12,12,21
228,2019-05-19,8,17
229,2019-05-26,14,18
230,2019-06-02,8,20
231,2019-06-09,10,19
232,2019-06-16,11,18
233,2019-06-23,7,17
234,2019-06-30,9,22
235,2019-07-07,10,19
236,2019-07-14,10,18
237,2019-07-21,8,17
238,2019-07-28,13,21
239,2019-08-04,9,20
240,2019-08-11,9,28
241,2019-08-18,11,23
242,2019-08-25,14,31
243,2019-09-01,64,22
244,2019-09-08,58,22
245,2019-09-15,15,21
246,2019-09-22,11,28
247,2019-09-29,9,26
248,2019-10-06,9,23
249,2019-10-13,4,22
250,2019-10-20,8,25
251,2019-10-27,8,27
252,2019-11-03,7,28
253,2019-11-10,11,28
254,2019-11-17,13,21
255,2019-11-24,7,20
256,2019-12-01,8,22
257,2019-12-08,19,28
258,2019-12-15,9,18
259,2019-12-22,7,18
260,2019-12-29,9,17
