,date,Coldplay,Alphabet
0,2015-01-04,2,17
1,2015-01-11,10,20
2,2015-01-18,5,27
3,2015-01-25,8,25
4,2015-02-01,4,21
5,2015-02-08,8,20
6,2015-02-15,8,24
7,2015-02-22,7,25
8,2015-03-01,7,23
9,2015-03-08,7,16
10,2015-03-15,9,16
11,2015-03-22,4,20
12,2015-03-29,3,16
13,2015-04-05,2,23
14,2015-04-12,4,22
15,2015-04-19,3,18
16,2015-04-26,3,21
17,2015-05-03,4,15
18,2015-05-10,3,16
19,2015-05-17,2,19
20,2015-05-24,6,25
21,2015-05-31,16,18
22,2015-06-07,4,14
23,2015-06-14,5,17
24,2015-06-21,7,18
25,2015-06-28,3,26
26,2015-07-05,3,16
27,2015-07-12,4,19
28,2015-07-19,2,16
29,2015-07-26,7,18
30,2015-08-02,3,17
31,2015-08-09,6,37
32,2015-08-16,6,27
33,2015-08-23,7,36
34,2015-08-30,0,34
35,2015-09-06,11,27
36,2015-09-13,6,26
37,2015-09-20,2,29
38,2015-09-27,5,28
39,2015-10-04,4,28
40,2015-10-11,3,32
41,2015-10-18,0,33
42,2015-10-25,10,20
43,2015-11-01,8,29
44,2015-11-08,0,24
45,2015-11-15,6,22
46,2015-11-22,11,26
47,2015-11-29,19,23
48,2015-12-06,10,24
49,2015-12-13,14,25
50,2015-12-20,10,20
51,2015-12-27,4,17
52,2016-01-03,5,21
53,2016-01-10,4,23
54,2016-01-17,9,19
55,2016-01-24,17,16
56,2016-01-31,24,19
57,2016-02-07,100,19
58,2016-02-14,10,19
59,2016-02-21,10,19
60,2016-02-28,8,20
61,2016-03-06,9,20
62,2016-03-13,9,21
63,2016-03-20,7,22
64,2016-03-27,6,22
65,2016-04-03,9,19
66,2016-04-10,24,23
67,2016-04-17,13,20
68,2016-04-24,14,17
69,2016-05-01,10,20
70,2016-05-08,10,22
71,2016-05-15,11,18
72,2016-05-22,9,22
73,2016-05-29,9,21
74,2016-06-05,5,18
75,2016-06-12,10,15
76,2016-06-19,6,21
77,2016-06-26,8,13
78,2016-07-03,11,18
79,2016-07-10,9,17
80,2016-07-17,12,18
81,2016-07-24,12,19
82,2016-07-31,12,22
83,2016-08-07,8,21
84,2016-08-14,10,18
85,2016-08-21,26,16
86,2016-08-28,75,26
87,2016-09-04,14,27
88,2016-09-11,6,35
89,2016-09-18,5,26
90,2016-09-25,8,26
91,2016-10-02,7,19
92,2016-10-09,9,27
93,2016-10-16,10,22
94,2016-10-23,8,24
95,2016-10-30,6,22
96,2016-11-06,4,24
97,2016-11-13,9,21
98,2016-11-20,5,16
99,2016-11-27,5,19
100,2016-12-04,4,23
101,2016-12-11,5,22
102,2016-12-18,5,16
103,2016-12-25,4,16
104,2017-01-01,4,19
105,2017-01-08,5,21
106,2017-01-15,5,18
107,2017-01-22,4,19
108,2017-01-29,3,24
109,2017-02-05,3,21
110,2017-02-12,4,19
111,2017-02-19,9,23
112,2017-02-26,6,21
113,2017-03-05,9,27
114,2017-03-12,4,22
115,2017-03-19,5,25
116,2017-03-26,5,19
117,2017-04-02,7,25
118,2017-04-09,7,18
119,2017-04-16,9,20
120,2017-04-23,6,24
121,2017-04-30,7,26
122,2017-05-07,6,20
123,2017-05-14,3,25
124,2017-05-21,6,18
125,2017-05-28,4,21
126,2017-06-04,11,18
127,2017-06-11,7,19
128,2017-06-18,5,12
129,2017-06-25,6,15
130,2017-07-02,8,15
131,2017-07-09,7,18
132,2017-07-16,5,18
133,2017-07-23,6,19
134,2017-07-30,4,14
135,2017-08-06,9,16
136,2017-08-13,7,26
137,2017-08-20,6,29
138,2017-08-27,2,26
139,2017-09-03,7,23
140,2017-09-10,4,27
141,2017-09-17,10,20
142,2017-09-24,11,22
143,2017-10-01,6,29
144,2017-10-08,9,25
145,2017-10-15,3,25
146,2017-10-22,3,24
147,2017-10-29,6,18
148,2017-11-05,4,28
149,2017-11-12,8,26
150,2017-11-19,0,20
151,2017-11-26,3,24
152,2017-12-03,3,23
153,2017-12-10,3,27
154,2017-12-17,3,22
155,2017-12-24,4,15
156,2017-12-31,6,17
157,2018-01-07,5,18
158,2018-01-14,3,21
159,2018-01-21,3,24
160,2018-01-28,3,29
161,2018-02-04,4,26
162,2018-02-11,3,23
163,2018-02-18,6,19
164,2018-02-25,5,24
165,2018-03-04,4,19
166,2018-03-11,6,24
167,2018-03-18,5,24
168,2018-03-25,3,22
169,2018-04-01,3,14
170,2018-04-08,1,19
171,2018-04-15,3,21
172,2018-04-22,3,29
173,2018-04-29,2,25
174,2018-05-06,3,29
175,2018-05-13,2,27
176,2018-05-20,0,18
177,2018-05-27,3,28
178,2018-06-03,2,17
179,2018-06-10,3,21
180,2018-06-17,4,16
181,2018-06-24,1,21
182,2018-07-01,8,16
183,2018-07-08,2,17
184,2018-07-15,3,16
185,2018-07-22,2,18
186,2018-07-29,3,21
187,2018-08-05,5,19
188,2018-08-12,3,28
189,2018-08-19,3,32
190,2018-08-26,2,25
191,2018-09-02,4,28
192,2018-09-09,4,30
193,2018-09-16,0,20
194,2018-09-23,5,25
195,2018-09-30,3,21
196,2018-10-07,5,24
197,2018-10-14,3,18
198,2018-10-21,1,23
199,2018-10-28,0,19
200,2018-11-04,2,27
201,2018-11-11,4,20
202,2018-11-18,6,13
203,2018-11-25,4,18
204,2018-12-02,3,21
205,2018-12-09,6,21
206,2018-12-16,1,22
207,2018-12-23,2,17
208,2018-12-30,3,21
209,2019-01-06,5,21
210,2019-01-13,1,24
211,2019-01-20,3,26
212,2019-01-27,3,24
213,2019-02-03,0,20
214,2019-02-10,0,24
215,2019-02-17,3,22
216,2019-02-24,3,25
217,2019-03-03,4,22
218,2019-03-10,0,21
219,2019-03-17,3,20
220,2019-03-24,3,23
221,2019-03-31,3,22
222,2019-04-07,3,27
223,2019-04-14,4,20
224,2019-04-21,3,23
225,2019-04-28,2,17
226,2019-05-05,2,21
227,2019-05-12,3,21
228,2019-05-19,0,18
229,2019-05-26,2,19
230,2019-06-02,6,21
231,2019-06-09,4,20
232,2019-06-16,3,19
233,2019-06-23,5,18
234,2019-06-30,3,23
235,2019-07-07,2,20
236,2019-07-14,4,19
237,2019-07-21,0,18
238,2019-07-28,2,22
239,2019-08-04,4,21
240,2019-08-11,3,29
241,2019-08-18,0,24
242,2019-08-25,2,33
243,2019-09-01,1,23
244,2019-09-08,2,23
245,2019-09-15,2,22
246,2019-09-22,0,29
247,2019-09-29,1,27
248,2019-10-06,4,24
249,2019-10-13,3,23
250,2019-10-20,6,26
251,2019-10-27,4,28
252,2019-11-03,9,29
253,2019-11-10,3,29
