,date,Ed Sheeran,Alphabet
0,2015-01-04,43,21
1,2015-01-11,45,26
2,2015-01-18,37,33
3,2015-01-25,43,31
4,2015-02-01,43,27
5,2015-02-08,93,25
6,2015-02-15,47,30
7,2015-02-22,44,34
8,2015-03-01,34,29
9,2015-03-08,32,20
10,2015-03-15,27,20
11,2015-03-22,32,25
12,2015-03-29,24,21
13,2015-04-05,15,29
14,2015-04-12,25,27
15,2015-04-19,17,22
16,2015-04-26,17,26
17,2015-05-03,17,18
18,2015-05-10,24,20
19,2015-05-17,43,23
20,2015-05-24,27,30
21,2015-05-31,29,23
22,2015-06-07,23,18
23,2015-06-14,29,21
24,2015-06-21,34,23
25,2015-06-28,26,33
26,2015-07-05,29,20
27,2015-07-12,17,25
28,2015-07-19,26,19
29,2015-07-26,15,22
30,2015-08-02,17,21
31,2015-08-09,27,45
32,2015-08-16,42,33
33,2015-08-23,25,45
34,2015-08-30,26,45
35,2015-09-06,20,31
36,2015-09-13,29,31
37,2015-09-20,16,36
38,2015-09-27,26,33
39,2015-10-04,12,35
40,2015-10-11,19,41
41,2015-10-18,21,40
42,2015-10-25,13,25
43,2015-11-01,7,36
44,2015-11-08,20,29
45,2015-11-15,13,28
46,2015-11-22,17,34
47,2015-11-29,13,30
48,2015-12-06,21,30
49,2015-12-13,13,30
50,2015-12-20,11,25
51,2015-12-27,7,22
52,2016-01-03,11,28
53,2016-01-10,8,29
54,2016-01-17,11,23
55,2016-01-24,16,20
56,2016-01-31,8,23
57,2016-02-07,12,24
58,2016-02-14,21,24
59,2016-02-21,3,24
60,2016-02-28,7,25
61,2016-03-06,6,26
62,2016-03-13,8,27
63,2016-03-20,5,27
64,2016-03-27,11,28
65,2016-04-03,6,24
66,2016-04-10,2,28
67,2016-04-17,6,24
68,2016-04-24,10,22
69,2016-05-01,6,26
70,2016-05-08,6,28
71,2016-05-15,7,22
72,2016-05-22,9,27
73,2016-05-29,9,25
74,2016-06-05,9,22
75,2016-06-12,14,19
76,2016-06-19,8,26
77,2016-06-26,11,15
78,2016-07-03,9,22
79,2016-07-10,9,22
80,2016-07-17,3,23
81,2016-07-24,5,23
