,date,Guns N' Roses,Alphabet
0,2015-01-04,5,13
1,2015-01-11,3,15
2,2015-01-18,0,20
3,2015-01-25,0,19
4,2015-02-01,5,16
5,2015-02-08,5,15
6,2015-02-15,0,18
7,2015-02-22,6,19
8,2015-03-01,4,17
9,2015-03-08,2,12
10,2015-03-15,2,12
11,2015-03-22,2,15
12,2015-03-29,2,12
13,2015-04-05,0,17
14,2015-04-12,2,17
15,2015-04-19,0,13
16,2015-04-26,2,16
17,2015-05-03,3,11
18,2015-05-10,0,12
19,2015-05-17,2,15
20,2015-05-24,1,19
21,2015-05-31,4,14
22,2015-06-07,0,11
23,2015-06-14,0,13
24,2015-06-21,5,14
25,2015-06-28,2,20
26,2015-07-05,0,12
27,2015-07-12,0,15
28,2015-07-19,0,12
29,2015-07-26,4,14
30,2015-08-02,5,13
31,2015-08-09,4,28
32,2015-08-16,3,20
33,2015-08-23,4,27
34,2015-08-30,4,26
35,2015-09-06,3,20
36,2015-09-13,5,19
37,2015-09-20,1,22
38,2015-09-27,2,21
39,2015-10-04,1,21
40,2015-10-11,3,24
41,2015-10-18,4,25
42,2015-10-25,3,15
43,2015-11-01,4,22
44,2015-11-08,5,18
45,2015-11-15,7,17
46,2015-11-22,4,20
47,2015-11-29,3,17
48,2015-12-06,5,18
49,2015-12-13,2,18
50,2015-12-20,2,15
51,2015-12-27,14,13
52,2016-01-03,13,16
53,2016-01-10,8,17
54,2016-01-17,34,14
55,2016-01-24,14,12
56,2016-01-31,8,14
57,2016-02-07,8,15
58,2016-02-14,8,15
59,2016-02-21,6,14
60,2016-02-28,8,15
61,2016-03-06,8,15
62,2016-03-13,8,16
63,2016-03-20,15,17
64,2016-03-27,26,17
65,2016-04-03,100,15
66,2016-04-10,56,17
67,2016-04-17,17,15
68,2016-04-24,11,13
69,2016-05-01,6,15
70,2016-05-08,3,17
71,2016-05-15,6,13
72,2016-05-22,8,17
73,2016-05-29,5,16
74,2016-06-05,4,14
75,2016-06-12,8,11
76,2016-06-19,8,15
77,2016-06-26,8,10
78,2016-07-03,9,13
79,2016-07-10,8,13
80,2016-07-17,7,13
81,2016-07-24,6,14
82,2016-07-31,9,16
83,2016-08-07,8,16
84,2016-08-14,13,13
85,2016-08-21,6,12
86,2016-08-28,3,19
87,2016-09-04,4,20
88,2016-09-11,5,26
89,2016-09-18,3,19
90,2016-09-25,5,20
91,2016-10-02,3,14
92,2016-10-09,4,20
93,2016-10-16,2,16
94,2016-10-23,4,18
95,2016-10-30,5,16
96,2016-11-06,3,18
97,2016-11-13,3,16
98,2016-11-20,4,12
99,2016-11-27,4,14
100,2016-12-04,5,17
101,2016-12-11,2,16
102,2016-12-18,4,12
103,2016-12-25,3,12
104,2017-01-01,7,15
105,2017-01-08,5,16
106,2017-01-15,3,14
107,2017-01-22,4,15
108,2017-01-29,1,18
109,2017-02-05,2,16
110,2017-02-12,5,14
111,2017-02-19,4,17
112,2017-02-26,4,15
113,2017-03-05,3,20
114,2017-03-12,3,17
115,2017-03-19,2,19
116,2017-03-26,1,14
117,2017-04-02,3,19
118,2017-04-09,1,14
119,2017-04-16,3,15
120,2017-04-23,2,18
121,2017-04-30,4,20
122,2017-05-07,5,15
123,2017-05-14,4,19
124,2017-05-21,6,14
125,2017-05-28,13,16
126,2017-06-04,11,13
127,2017-06-11,5,15
128,2017-06-18,6,9
129,2017-06-25,6,11
130,2017-07-02,7,12
131,2017-07-09,6,13
132,2017-07-16,6,13
133,2017-07-23,7,14
134,2017-07-30,9,11
135,2017-08-06,6,12
136,2017-08-13,2,19
137,2017-08-20,4,22
138,2017-08-27,6,19
139,2017-09-03,12,17
140,2017-09-10,3,21
141,2017-09-17,3,15
142,2017-09-24,4,17
143,2017-10-01,5,22
144,2017-10-08,6,19
145,2017-10-15,7,18
146,2017-10-22,6,18
147,2017-10-29,8,13
148,2017-11-05,8,21
149,2017-11-12,36,19
150,2017-11-19,8,15
151,2017-11-26,9,18
152,2017-12-03,4,17
153,2017-12-10,6,20
154,2017-12-17,2,17
155,2017-12-24,4,11
156,2017-12-31,4,12
157,2018-01-07,3,14
158,2018-01-14,3,16
159,2018-01-21,4,18
