,date,Metallica,Alphabet
0,2015-01-04,8,22
1,2015-01-11,12,24
2,2015-01-18,11,33
3,2015-01-25,6,31
4,2015-02-01,13,26
5,2015-02-08,14,25
6,2015-02-15,8,30
7,2015-02-22,12,31
8,2015-03-01,7,29
9,2015-03-08,8,20
10,2015-03-15,10,19
11,2015-03-22,14,25
12,2015-03-29,10,20
13,2015-04-05,13,28
14,2015-04-12,11,27
15,2015-04-19,11,22
16,2015-04-26,14,26
17,2015-05-03,33,18
18,2015-05-10,32,20
19,2015-05-17,14,24
20,2015-05-24,11,30
21,2015-05-31,10,23
22,2015-06-07,11,17
23,2015-06-14,17,21
24,2015-06-21,8,22
25,2015-06-28,9,32
26,2015-07-05,9,20
27,2015-07-12,13,24
28,2015-07-19,11,20
29,2015-07-26,4,23
30,2015-08-02,7,21
31,2015-08-09,6,46
32,2015-08-16,12,33
33,2015-08-23,14,45
34,2015-08-30,6,42
35,2015-09-06,8,33
36,2015-09-13,11,32
37,2015-09-20,6,36
38,2015-09-27,0,35
39,2015-10-04,8,34
40,2015-10-11,12,40
41,2015-10-18,4,41
42,2015-10-25,9,25
43,2015-11-01,14,35
44,2015-11-08,11,29
45,2015-11-15,11,27
46,2015-11-22,13,33
47,2015-11-29,9,29
48,2015-12-06,4,30
49,2015-12-13,10,30
50,2015-12-20,3,24
51,2015-12-27,10,21
52,2016-01-03,8,26
53,2016-01-10,13,28
54,2016-01-17,19,23
55,2016-01-24,14,20
56,2016-01-31,16,23
57,2016-02-07,21,24
58,2016-02-14,11,24
59,2016-02-21,9,24
60,2016-02-28,8,24
61,2016-03-06,10,25
62,2016-03-13,10,26
63,2016-03-20,15,27
64,2016-03-27,10,28
65,2016-04-03,9,24
66,2016-04-10,13,28
67,2016-04-17,12,24
68,2016-04-24,12,21
69,2016-05-01,20,25
70,2016-05-08,14,27
71,2016-05-15,4,22
72,2016-05-22,9,27
73,2016-05-29,10,26
74,2016-06-05,10,23
75,2016-06-12,12,18
76,2016-06-19,11,25
77,2016-06-26,8,16
78,2016-07-03,6,22
79,2016-07-10,9,21
80,2016-07-17,16,22
81,2016-07-24,7,23
82,2016-07-31,14,27
83,2016-08-07,8,26
84,2016-08-14,20,22
85,2016-08-21,28,19
86,2016-08-28,13,32
87,2016-09-04,13,33
88,2016-09-11,7,43
89,2016-09-18,9,32
90,2016-09-25,12,32
91,2016-10-02,6,24
92,2016-10-09,12,33
93,2016-10-16,11,27
94,2016-10-23,11,30
95,2016-10-30,15,27
96,2016-11-06,14,29
97,2016-11-13,40,26
98,2016-11-20,29,19
99,2016-11-27,13,23
100,2016-12-04,19,28
101,2016-12-11,13,27
102,2016-12-18,14,19
103,2016-12-25,0,20
104,2017-01-01,14,24
105,2017-01-08,10,26
106,2017-01-15,12,22
107,2017-01-22,12,24
108,2017-01-29,10,30
109,2017-02-05,10,26
110,2017-02-12,66,23
111,2017-02-19,22,28
112,2017-02-26,20,25
113,2017-03-05,16,33
114,2017-03-12,16,28
115,2017-03-19,15,31
116,2017-03-26,18,24
117,2017-04-02,9,31
118,2017-04-09,17,23
119,2017-04-16,21,25
120,2017-04-23,14,30
121,2017-04-30,14,33
122,2017-05-07,13,25
123,2017-05-14,24,30
124,2017-05-21,16,23
125,2017-05-28,12,26
126,2017-06-04,17,22
127,2017-06-11,10,24
128,2017-06-18,6,15
129,2017-06-25,9,18
130,2017-07-02,14,19
131,2017-07-09,12,22
132,2017-07-16,15,22
133,2017-07-23,16,24
134,2017-07-30,25,18
135,2017-08-06,18,20
136,2017-08-13,7,32
137,2017-08-20,15,36
138,2017-08-27,8,32
139,2017-09-03,9,28
140,2017-09-10,7,34
141,2017-09-17,7,24
142,2017-09-24,13,27
