,date,The Rolling Stones,Alphabet
0,2015-01-04,6,14
1,2015-01-11,5,15
2,2015-01-18,3,21
3,2015-01-25,4,19
4,2015-02-01,5,16
5,2015-02-08,3,16
6,2015-02-15,3,19
7,2015-02-22,3,20
8,2015-03-01,2,18
9,2015-03-08,8,13
10,2015-03-15,5,12
11,2015-03-22,5,16
12,2015-03-29,12,12
13,2015-04-05,9,18
14,2015-04-12,6,17
15,2015-04-19,7,14
16,2015-04-26,5,17
17,2015-05-03,5,12
18,2015-05-10,6,13
19,2015-05-17,7,15
20,2015-05-24,7,19
21,2015-05-31,6,14
22,2015-06-07,4,11
23,2015-06-14,8,13
24,2015-06-21,5,14
25,2015-06-28,10,20
26,2015-07-05,4,13
27,2015-07-12,5,15
28,2015-07-19,4,12
29,2015-07-26,0,14
30,2015-08-02,7,13
31,2015-08-09,3,29
32,2015-08-16,3,21
33,2015-08-23,5,28
34,2015-08-30,4,27
35,2015-09-06,5,21
36,2015-09-13,3,20
37,2015-09-20,3,23
38,2015-09-27,2,22
39,2015-10-04,0,22
40,2015-10-11,4,25
41,2015-10-18,4,26
42,2015-10-25,7,16
43,2015-11-01,5,22
44,2015-11-08,5,18
45,2015-11-15,1,17
46,2015-11-22,0,21
47,2015-11-29,5,18
48,2015-12-06,6,19
49,2015-12-13,3,19
50,2015-12-20,4,15
51,2015-12-27,4,13
52,2016-01-03,2,17
53,2016-01-10,8,18
54,2016-01-17,4,15
55,2016-01-24,5,13
56,2016-01-31,8,15
57,2016-02-07,3,15
58,2016-02-14,5,15
59,2016-02-21,2,15
60,2016-02-28,4,15
61,2016-03-06,4,16
62,2016-03-13,5,17
63,2016-03-20,3,17
64,2016-03-27,4,17
65,2016-04-03,4,15
66,2016-04-10,3,18
67,2016-04-17,6,15
68,2016-04-24,4,13
69,2016-05-01,8,16
70,2016-05-08,7,17
71,2016-05-15,3,14
72,2016-05-22,4,17
73,2016-05-29,4,16
74,2016-06-05,12,14
75,2016-06-12,28,11
76,2016-06-19,8,16
77,2016-06-26,5,10
78,2016-07-03,7,14
79,2016-07-10,7,13
80,2016-07-17,3,14
81,2016-07-24,3,15
82,2016-07-31,7,17
83,2016-08-07,5,17
84,2016-08-14,1,14
85,2016-08-21,4,12
86,2016-08-28,7,20
87,2016-09-04,5,21
88,2016-09-11,16,27
89,2016-09-18,8,20
90,2016-09-25,8,20
91,2016-10-02,12,15
92,2016-10-09,11,21
93,2016-10-16,100,17
94,2016-10-23,24,19
95,2016-10-30,6,17
96,2016-11-06,7,18
97,2016-11-13,10,17
98,2016-11-20,4,12
99,2016-11-27,6,14
100,2016-12-04,9,18
101,2016-12-11,5,17
102,2016-12-18,2,12
103,2016-12-25,3,13
104,2017-01-01,4,15
105,2017-01-08,5,16
106,2017-01-15,8,14
107,2017-01-22,4,15
108,2017-01-29,4,19
109,2017-02-05,6,16
110,2017-02-12,3,14
111,2017-02-19,5,18
112,2017-02-26,5,16
113,2017-03-05,3,21
114,2017-03-12,4,18
115,2017-03-19,0,19
116,2017-03-26,7,15
117,2017-04-02,3,20
118,2017-04-09,6,14
119,2017-04-16,6,16
120,2017-04-23,5,19
121,2017-04-30,5,21
122,2017-05-07,4,16
123,2017-05-14,4,19
124,2017-05-21,5,14
125,2017-05-28,6,17
126,2017-06-04,9,14
127,2017-06-11,4,15
128,2017-06-18,4,10
129,2017-06-25,5,12
130,2017-07-02,9,12
131,2017-07-09,6,14
132,2017-07-16,7,14
133,2017-07-23,3,15
134,2017-07-30,7,11
135,2017-08-06,2,13
136,2017-08-13,1,20
137,2017-08-20,5,22
138,2017-08-27,3,20
139,2017-09-03,5,18
140,2017-09-10,6,21
141,2017-09-17,6,15
142,2017-09-24,7,17
143,2017-10-01,4,23
144,2017-10-08,6,19
145,2017-10-15,6,19
146,2017-10-22,8,19
147,2017-10-29,7,14
148,2017-11-05,7,21
149,2017-11-12,6,20
150,2017-11-19,6,15
151,2017-11-26,6,19
152,2017-12-03,7,18
153,2017-12-10,3,21
154,2017-12-17,8,17
155,2017-12-24,2,12
156,2017-12-31,5,13
157,2018-01-07,6,14
158,2018-01-14,7,16
159,2018-01-21,6,19
160,2018-01-28,6,23
161,2018-02-04,4,20
162,2018-02-11,5,18
163,2018-02-18,4,15
164,2018-02-25,4,18
165,2018-03-04,5,15
166,2018-03-11,2,19
167,2018-03-18,4,18
168,2018-03-25,3,17
169,2018-04-01,4,11
170,2018-04-08,5,15
171,2018-04-15,4,16
172,2018-04-22,4,22
173,2018-04-29,4,19
174,2018-05-06,5,23
175,2018-05-13,3,21
176,2018-05-20,6,14
177,2018-05-27,4,22
178,2018-06-03,3,13
179,2018-06-10,3,16
180,2018-06-17,4,12
181,2018-06-24,6,16
182,2018-07-01,5,13
183,2018-07-08,6,13
184,2018-07-15,2,13
185,2018-07-22,1,14
186,2018-07-29,2,16
187,2018-08-05,4,15
188,2018-08-12,3,22
189,2018-08-19,3,25
190,2018-08-26,2,20
191,2018-09-02,8,22
192,2018-09-09,5,24
193,2018-09-16,1,16
194,2018-09-23,4,20
195,2018-09-30,4,16
196,2018-10-07,5,18
197,2018-10-14,6,14
198,2018-10-21,4,18
199,2018-10-28,0,15
200,2018-11-04,4,21
201,2018-11-11,3,15
202,2018-11-18,8,10
203,2018-11-25,10,14
204,2018-12-02,7,16
205,2018-12-09,5,17
206,2018-12-16,6,17
207,2018-12-23,4,13
208,2018-12-30,2,16
209,2019-01-06,6,16
210,2019-01-13,5,19
211,2019-01-20,5,20
212,2019-01-27,4,19
213,2019-02-03,4,15
214,2019-02-10,4,19
215,2019-02-17,2,17
216,2019-02-24,4,19
217,2019-03-03,9,17
218,2019-03-10,5,17
219,2019-03-17,7,16
220,2019-03-24,10,18
221,2019-03-31,9,17
222,2019-04-07,5,21
223,2019-04-14,6,15
224,2019-04-21,5,18
225,2019-04-28,3,13
226,2019-05-05,6,16
227,2019-05-12,8,17
228,2019-05-19,6,14
229,2019-05-26,6,15
230,2019-06-02,4,16
231,2019-06-09,5,15
232,2019-06-16,6,14
233,2019-06-23,6,14
234,2019-06-30,8,18
235,2019-07-07,5,16
236,2019-07-14,6,15
237,2019-07-21,8,14
238,2019-07-28,4,17
239,2019-08-04,4,16
240,2019-08-11,8,22
241,2019-08-18,14,19
242,2019-08-25,9,25
243,2019-09-01,5,18
244,2019-09-08,4,18
245,2019-09-15,3,17
246,2019-09-22,4,23
247,2019-09-29,3,21
248,2019-10-06,6,19
249,2019-10-13,4,18
250,2019-10-20,7,20
251,2019-10-27,4,22
252,2019-11-03,2,23
253,2019-11-10,6,23
254,2019-11-17,5,17
255,2019-11-24,5,16
256,2019-12-01,3,18
257,2019-12-08,5,23
258,2019-12-15,3,15
259,2019-12-22,6,15
260,2019-12-29,3,14
