,date,U2,Alphabet
0,2015-01-04,9,23
1,2015-01-11,9,25
2,2015-01-18,8,34
3,2015-01-25,5,32
4,2015-02-01,5,27
5,2015-02-08,5,26
6,2015-02-15,3,31
7,2015-02-22,14,33
8,2015-03-01,9,30
9,2015-03-08,9,21
10,2015-03-15,17,20
11,2015-03-22,6,26
12,2015-03-29,14,21
13,2015-04-05,6,30
14,2015-04-12,7,29
15,2015-04-19,8,23
16,2015-04-26,13,27
17,2015-05-03,16,19
18,2015-05-10,21,21
19,2015-05-17,26,25
20,2015-05-24,17,32
21,2015-05-31,13,24
22,2015-06-07,9,18
23,2015-06-14,8,22
24,2015-06-21,9,23
25,2015-06-28,6,34
26,2015-07-05,4,21
27,2015-07-12,5,25
28,2015-07-19,19,21
29,2015-07-26,9,24
30,2015-08-02,10,22
31,2015-08-09,4,48
32,2015-08-16,7,35
33,2015-08-23,4,47
34,2015-08-30,5,44
35,2015-09-06,8,34
36,2015-09-13,5,33
37,2015-09-20,0,38
38,2015-09-27,0,36
39,2015-10-04,3,36
40,2015-10-11,10,42
41,2015-10-18,3,43
42,2015-10-25,9,26
43,2015-11-01,4,37
44,2015-11-08,4,31
45,2015-11-15,5,28
46,2015-11-22,5,34
47,2015-11-29,7,30
48,2015-12-06,15,31
49,2015-12-13,0,32
50,2015-12-20,8,25
51,2015-12-27,6,22
52,2016-01-03,5,28
53,2016-01-10,6,29
54,2016-01-17,5,24
55,2016-01-24,8,21
56,2016-01-31,8,24
57,2016-02-07,0,25
58,2016-02-14,7,25
59,2016-02-21,4,25
60,2016-02-28,5,26
61,2016-03-06,7,26
62,2016-03-13,6,27
63,2016-03-20,3,29
64,2016-03-27,2,29
65,2016-04-03,11,25
66,2016-04-10,5,29
67,2016-04-17,3,25
68,2016-04-24,3,22
69,2016-05-01,5,26
70,2016-05-08,8,29
71,2016-05-15,2,23
72,2016-05-22,4,28
73,2016-05-29,0,27
74,2016-06-05,0,24
75,2016-06-12,5,19
76,2016-06-19,0,27
77,2016-06-26,6,17
78,2016-07-03,9,23
79,2016-07-10,8,22
80,2016-07-17,3,23
81,2016-07-24,6,24
82,2016-07-31,3,28
83,2016-08-07,5,27
84,2016-08-14,6,23
85,2016-08-21,7,20
86,2016-08-28,8,33
87,2016-09-04,6,34
88,2016-09-11,7,45
89,2016-09-18,16,33
90,2016-09-25,10,33
91,2016-10-02,8,25
92,2016-10-09,6,34
93,2016-10-16,2,28
94,2016-10-23,3,31
95,2016-10-30,5,28
96,2016-11-06,8,30
97,2016-11-13,4,27
98,2016-11-20,5,20
99,2016-11-27,2,24
100,2016-12-04,3,30
101,2016-12-11,3,28
102,2016-12-18,8,20
103,2016-12-25,5,21
104,2017-01-01,8,25
105,2017-01-08,25,27
106,2017-01-15,20,23
107,2017-01-22,16,25
108,2017-01-29,11,31
109,2017-02-05,6,27
110,2017-02-12,8,24
111,2017-02-19,10,29
112,2017-02-26,5,27
113,2017-03-05,10,34
114,2017-03-12,14,29
115,2017-03-19,6,32
116,2017-03-26,8,25
117,2017-04-02,0,33
118,2017-04-09,11,24
119,2017-04-16,9,26
120,2017-04-23,8,31
121,2017-04-30,8,34
122,2017-05-07,13,26
123,2017-05-14,21,32
124,2017-05-21,18,24
125,2017-05-28,7,28
126,2017-06-04,10,23
127,2017-06-11,10,25
128,2017-06-18,10,16
129,2017-06-25,6,19
130,2017-07-02,8,20
131,2017-07-09,8,23
132,2017-07-16,15,23
133,2017-07-23,11,25
134,2017-07-30,6,19
135,2017-08-06,6,21
136,2017-08-13,7,33
137,2017-08-20,6,37
138,2017-08-27,8,33
139,2017-09-03,8,29
140,2017-09-10,8,35
141,2017-09-17,31,25
142,2017-09-24,12,29
143,2017-10-01,5,37
144,2017-10-08,0,32
145,2017-10-15,8,32
146,2017-10-22,3,31
147,2017-10-29,11,23
148,2017-11-05,10,36
149,2017-11-12,13,33
150,2017-11-19,13,25
151,2017-11-26,11,31
152,2017-12-03,24,29
153,2017-12-10,3,35
154,2017-12-17,12,28
155,2017-12-24,9,19
156,2017-12-31,7,21
157,2018-01-07,14,23
158,2018-01-14,11,27
159,2018-01-21,7,31
160,2018-01-28,19,38
161,2018-02-04,8,33
162,2018-02-11,11,30
163,2018-02-18,8,24
164,2018-02-25,6,30
165,2018-03-04,12,25
166,2018-03-11,4,31
167,2018-03-18,10,30
168,2018-03-25,3,28
169,2018-04-01,11,18
170,2018-04-08,6,24
171,2018-04-15,15,27
172,2018-04-22,5,37
173,2018-04-29,18,32
174,2018-05-06,100,38
175,2018-05-13,47,35
176,2018-05-20,0,24
177,2018-05-27,8,37
178,2018-06-03,5,22
179,2018-06-10,13,26
180,2018-06-17,12,20
181,2018-06-24,9,27
182,2018-07-01,4,21
183,2018-07-08,2,22
184,2018-07-15,6,21
185,2018-07-22,1,24
186,2018-07-29,8,27
187,2018-08-05,5,25
188,2018-08-12,6,36
189,2018-08-19,2,42
190,2018-08-26,3,33
191,2018-09-02,5,36
192,2018-09-09,12,39
193,2018-09-16,7,26
194,2018-09-23,11,33
195,2018-09-30,4,27
196,2018-10-07,5,30
197,2018-10-14,6,23
198,2018-10-21,3,29
199,2018-10-28,3,25
200,2018-11-04,4,35
201,2018-11-11,6,25
202,2018-11-18,3,17
203,2018-11-25,6,24
204,2018-12-02,4,26
