,date,Bruno Mars,Alphabet
0,2015-01-04,21,23
1,2015-01-11,26,24
2,2015-01-18,26,22
3,2015-01-25,25,23
4,2015-02-01,26,24
5,2015-02-08,22,24
6,2015-02-15,21,24
7,2015-02-22,19,24
8,2015-03-01,18,25
9,2015-03-08,18,24
10,2015-03-15,15,23
11,2015-03-22,17,23
12,2015-03-29,17,20
13,2015-04-05,13,19
14,2015-04-12,14,22
15,2015-04-19,13,22
16,2015-04-26,13,21
17,2015-05-03,11,20
18,2015-05-10,13,19
19,2015-05-17,12,20
20,2015-05-24,11,21
21,2015-05-31,13,21
22,2015-06-07,10,20
23,2015-06-14,10,18
24,2015-06-21,11,21
25,2015-06-28,10,18
26,2015-07-05,9,17
27,2015-07-12,9,17
28,2015-07-19,13,19
29,2015-07-26,9,20
30,2015-08-02,11,18
31,2015-08-09,7,56
32,2015-08-16,8,23
33,2015-08-23,7,19
34,2015-08-30,11,26
35,2015-09-06,11,27
36,2015-09-13,8,29
37,2015-09-20,7,27
38,2015-09-27,7,29
39,2015-10-04,8,33
40,2015-10-11,7,24
41,2015-10-18,7,29
42,2015-10-25,7,28
43,2015-11-01,6,25
44,2015-11-08,7,23
45,2015-11-15,7,25
46,2015-11-22,9,24
47,2015-11-29,6,25
48,2015-12-06,7,22
49,2015-12-13,6,25
50,2015-12-20,7,21
51,2015-12-27,7,19
52,2016-01-03,7,19
53,2016-01-10,7,22
54,2016-01-17,7,22
55,2016-01-24,7,22
56,2016-01-31,10,33
57,2016-02-07,56,23
58,2016-02-14,23,25
59,2016-02-21,12,25
60,2016-02-28,6,25
61,2016-03-06,7,23
62,2016-03-13,10,23
63,2016-03-20,7,20
64,2016-03-27,7,21
65,2016-04-03,7,22
66,2016-04-10,5,23
67,2016-04-17,6,22
68,2016-04-24,7,21
69,2016-05-01,7,22
70,2016-05-08,6,21
71,2016-05-15,9,23
72,2016-05-22,7,21
73,2016-05-29,7,20
74,2016-06-05,7,23
75,2016-06-12,6,21
76,2016-06-19,6,21
77,2016-06-26,6,20
78,2016-07-03,7,19
79,2016-07-10,7,19
80,2016-07-17,6,17
81,2016-07-24,7,21
82,2016-07-31,6,23
83,2016-08-07,6,16
84,2016-08-14,6,17
85,2016-08-21,6,20
86,2016-08-28,6,22
87,2016-09-04,5,25
88,2016-09-11,6,26
89,2016-09-18,7,29
90,2016-09-25,7,27
91,2016-10-02,18,23
92,2016-10-09,16,21
93,2016-10-16,23,23
94,2016-10-23,14,25
95,2016-10-30,16,24
96,2016-11-06,13,18
97,2016-11-13,27,21
98,2016-11-20,46,21
99,2016-11-27,19,22
100,2016-12-04,22,25
101,2016-12-11,41,22
102,2016-12-18,24,21
103,2016-12-25,19,18
104,2017-01-01,18,20
105,2017-01-08,15,19
106,2017-01-15,16,24
107,2017-01-22,13,25
108,2017-01-29,14,22
109,2017-02-05,19,22
110,2017-02-12,83,24
111,2017-02-19,28,21
112,2017-02-26,24,22
113,2017-03-05,28,22
114,2017-03-12,24,21
115,2017-03-19,23,23
116,2017-03-26,23,23
117,2017-04-02,20,22
118,2017-04-09,19,20
119,2017-04-16,20,20
120,2017-04-23,21,22
121,2017-04-30,21,22
122,2017-05-07,21,23
123,2017-05-14,21,22
124,2017-05-21,28,24
125,2017-05-28,22,22
126,2017-06-04,18,23
127,2017-06-11,22,21
128,2017-06-18,18,20
129,2017-06-25,38,20
130,2017-07-02,22,20
131,2017-07-09,19,19
132,2017-07-16,19,18
133,2017-07-23,17,21
134,2017-07-30,17,18
135,2017-08-06,21,17
136,2017-08-13,24,18
137,2017-08-20,20,18
138,2017-08-27,17,20
139,2017-09-03,18,24
140,2017-09-10,18,30
141,2017-09-17,28,25
142,2017-09-24,38,25
143,2017-10-01,35,26
144,2017-10-08,17,25
145,2017-10-15,17,27
146,2017-10-22,12,26
147,2017-10-29,10,24
148,2017-11-05,9,21
149,2017-11-12,10,24
150,2017-11-19,12,21
151,2017-11-26,26,25
152,2017-12-03,16,24
153,2017-12-10,11,24
154,2017-12-17,10,24
155,2017-12-24,10,17
156,2017-12-31,34,23
157,2018-01-07,23,22
158,2018-01-14,19,23
159,2018-01-21,27,24
160,2018-01-28,100,29
161,2018-02-04,30,28
162,2018-02-11,27,25
163,2018-02-18,18,21
164,2018-02-25,16,24
165,2018-03-04,19,24
166,2018-03-11,25,22
167,2018-03-18,16,24
168,2018-03-25,17,23
169,2018-04-01,13,23
170,2018-04-08,13,24
171,2018-04-15,14,21
172,2018-04-22,12,25
173,2018-04-29,12,22
174,2018-05-06,12,23
175,2018-05-13,9,20
176,2018-05-20,11,21
177,2018-05-27,9,21
178,2018-06-03,10,23
179,2018-06-10,10,23
180,2018-06-17,10,19
181,2018-06-24,9,19
182,2018-07-01,10,21
183,2018-07-08,10,20
184,2018-07-15,10,18
185,2018-07-22,13,24
186,2018-07-29,9,20
187,2018-08-05,9,22
188,2018-08-12,13,19
189,2018-08-19,10,19
190,2018-08-26,10,19
191,2018-09-02,11,24
192,2018-09-09,12,29
193,2018-09-16,12,27
194,2018-09-23,14,26
195,2018-09-30,30,25
196,2018-10-07,12,25
197,2018-10-14,9,24
198,2018-10-21,7,25
199,2018-10-28,9,24
200,2018-11-04,8,23
201,2018-11-11,8,22
202,2018-11-18,8,20
203,2018-11-25,7,24
204,2018-12-02,6,23
205,2018-12-09,5,23
206,2018-12-16,6,21
207,2018-12-23,7,18
208,2018-12-30,7,20
209,2019-01-06,7,21
210,2019-01-13,7,23
211,2019-01-20,6,23
212,2019-01-27,7,23
213,2019-02-03,10,23
214,2019-02-10,13,24
215,2019-02-17,10,21
216,2019-02-24,13,20
217,2019-03-03,12,25
218,2019-03-10,10,22
219,2019-03-17,10,21
220,2019-03-24,7,23
221,2019-03-31,8,20
222,2019-04-07,7,20
223,2019-04-14,7,20
224,2019-04-21,7,21
225,2019-04-28,5,22
226,2019-05-05,6,20
227,2019-05-12,6,21
228,2019-05-19,7,21
229,2019-05-26,6,19
230,2019-06-02,7,23
231,2019-06-09,5,18
232,2019-06-16,6,18
233,2019-06-23,7,18
234,2019-06-30,6,16
235,2019-07-07,6,19
236,2019-07-14,5,20
237,2019-07-21,6,20
238,2019-07-28,5,20
239,2019-08-04,6,19
240,2019-08-11,6,19
241,2019-08-18,6,18
242,2019-08-25,5,18
243,2019-09-01,5,22
244,2019-09-08,5,28
245,2019-09-15,5,25
246,2019-09-22,5,25
247,2019-09-29,5,26
248,2019-10-06,5,23
249,2019-10-13,5,23
250,2019-10-20,5,23
251,2019-10-27,4,26
252,2019-11-03,4,27
253,2019-11-10,5,20
254,2019-11-17,5,23
255,2019-11-24,5,21
256,2019-12-01,4,23
257,2019-12-08,5,22
258,2019-12-15,5,20
259,2019-12-22,6,19
260,2019-12-29,6,18
