,date,Coldplay,Alphabet
0,2015-01-04,7,22
1,2015-01-11,5,23
2,2015-01-18,6,21
3,2015-01-25,7,22
4,2015-02-01,6,22
5,2015-02-08,7,23
6,2015-02-15,6,23
7,2015-02-22,6,23
8,2015-03-01,6,23
9,2015-03-08,5,23
10,2015-03-15,5,22
11,2015-03-22,6,22
12,2015-03-29,6,19
13,2015-04-05,6,18
14,2015-04-12,5,21
15,2015-04-19,5,21
16,2015-04-26,6,20
17,2015-05-03,5,19
18,2015-05-10,6,18
19,2015-05-17,6,19
20,2015-05-24,7,20
21,2015-05-31,8,20
22,2015-06-07,6,19
23,2015-06-14,8,17
24,2015-06-21,7,20
25,2015-06-28,5,17
26,2015-07-05,5,16
27,2015-07-12,7,17
28,2015-07-19,7,18
29,2015-07-26,6,19
30,2015-08-02,6,17
31,2015-08-09,7,53
32,2015-08-16,6,22
33,2015-08-23,6,19
34,2015-08-30,5,25
35,2015-09-06,5,26
36,2015-09-13,6,27
37,2015-09-20,9,26
38,2015-09-27,8,28
39,2015-10-04,6,32
40,2015-10-11,5,23
41,2015-10-18,5,28
42,2015-10-25,5,27
43,2015-11-01,10,24
44,2015-11-08,9,22
45,2015-11-15,10,24
46,2015-11-22,16,23
47,2015-11-29,24,24
48,2015-12-06,18,21
49,2015-12-13,13,24
50,2015-12-20,11,20
51,2015-12-27,9,18
52,2016-01-03,9,18
53,2016-01-10,9,21
54,2016-01-17,9,21
55,2016-01-24,23,21
56,2016-01-31,42,31
57,2016-02-07,100,22
58,2016-02-14,17,23
59,2016-02-21,13,24
60,2016-02-28,9,24
61,2016-03-06,10,22
62,2016-03-13,13,22
63,2016-03-20,9,19
64,2016-03-27,9,20
65,2016-04-03,11,21
66,2016-04-10,12,22
67,2016-04-17,9,21
68,2016-04-24,11,20
69,2016-05-01,9,21
70,2016-05-08,9,20
71,2016-05-15,10,21
72,2016-05-22,9,20
73,2016-05-29,10,19
74,2016-06-05,9,22
75,2016-06-12,9,20
76,2016-06-19,11,20
77,2016-06-26,11,19
78,2016-07-03,14,18
79,2016-07-10,30,18
80,2016-07-17,42,16
81,2016-07-24,19,20
82,2016-07-31,24,22
83,2016-08-07,13,16
84,2016-08-14,9,16
85,2016-08-21,9,19
86,2016-08-28,11,21
87,2016-09-04,10,24
88,2016-09-11,7,25
89,2016-09-18,8,28
90,2016-09-25,8,26
91,2016-10-02,10,22
92,2016-10-09,12,20
93,2016-10-16,8,22
94,2016-10-23,8,24
95,2016-10-30,7,23
96,2016-11-06,6,17
97,2016-11-13,7,20
98,2016-11-20,9,20
99,2016-11-27,6,21
100,2016-12-04,6,24
101,2016-12-11,6,21
102,2016-12-18,6,20
103,2016-12-25,6,18
104,2017-01-01,5,19
105,2017-01-08,5,18
106,2017-01-15,7,23
107,2017-01-22,6,24
108,2017-01-29,6,21
109,2017-02-05,6,21
110,2017-02-12,6,22
111,2017-02-19,11,20
112,2017-02-26,10,21
113,2017-03-05,9,21
114,2017-03-12,9,20
115,2017-03-19,9,22
116,2017-03-26,9,22
117,2017-04-02,10,21
118,2017-04-09,7,19
119,2017-04-16,8,19
120,2017-04-23,8,21
121,2017-04-30,7,21
122,2017-05-07,8,22
123,2017-05-14,9,21
124,2017-05-21,7,23
125,2017-05-28,7,21
126,2017-06-04,15,22
127,2017-06-11,10,20
128,2017-06-18,9,19
129,2017-06-25,9,19
130,2017-07-02,9,19
131,2017-07-09,11,18
132,2017-07-16,12,17
133,2017-07-23,14,20
134,2017-07-30,38,17
135,2017-08-06,11,16
136,2017-08-13,10,17
137,2017-08-20,9,17
138,2017-08-27,6,19
139,2017-09-03,6,23
140,2017-09-10,6,29
141,2017-09-17,5,24
142,2017-09-24,5,24
143,2017-10-01,7,25
144,2017-10-08,6,24
145,2017-10-15,5,26
146,2017-10-22,5,25
147,2017-10-29,4,22
148,2017-11-05,4,20
149,2017-11-12,5,23
150,2017-11-19,4,20
151,2017-11-26,4,24
152,2017-12-03,5,23
153,2017-12-10,5,22
154,2017-12-17,3,23
155,2017-12-24,5,16
156,2017-12-31,4,22
157,2018-01-07,5,21
158,2018-01-14,5,22
159,2018-01-21,4,22
160,2018-01-28,5,28
161,2018-02-04,5,27
162,2018-02-11,8,24
163,2018-02-18,5,20
164,2018-02-25,4,23
165,2018-03-04,5,23
166,2018-03-11,4,21
167,2018-03-18,4,23
168,2018-03-25,4,22
169,2018-04-01,4,22
170,2018-04-08,4,22
171,2018-04-15,5,20
172,2018-04-22,4,24
173,2018-04-29,3,21
174,2018-05-06,4,22
175,2018-05-13,5,19
176,2018-05-20,5,20
177,2018-05-27,5,20
178,2018-06-03,4,22
179,2018-06-10,4,22
180,2018-06-17,4,18
