,date,Ed Sheeran,Alphabet
0,2015-01-04,33,24
1,2015-01-11,35,25
2,2015-01-18,37,23
3,2015-01-25,43,23
4,2015-02-01,35,24
5,2015-02-08,86,25
6,2015-02-15,63,25
7,2015-02-22,55,25
8,2015-03-01,42,26
9,2015-03-08,35,25
10,2015-03-15,29,24
11,2015-03-22,31,24
12,2015-03-29,26,20
13,2015-04-05,27,20
14,2015-04-12,25,23
15,2015-04-19,23,23
16,2015-04-26,21,22
17,2015-05-03,26,21
18,2015-05-10,34,20
19,2015-05-17,37,21
20,2015-05-24,51,22
21,2015-05-31,46,22
22,2015-06-07,33,21
23,2015-06-14,31,19
24,2015-06-21,27,21
25,2015-06-28,26,18
26,2015-07-05,27,17
27,2015-07-12,22,18
28,2015-07-19,25,20
29,2015-07-26,21,21
30,2015-08-02,23,18
31,2015-08-09,27,58
32,2015-08-16,28,24
33,2015-08-23,23,20
34,2015-08-30,24,27
35,2015-09-06,20,28
36,2015-09-13,21,30
37,2015-09-20,30,28
38,2015-09-27,29,30
39,2015-10-04,17,35
40,2015-10-11,20,25
41,2015-10-18,17,30
42,2015-10-25,16,30
43,2015-11-01,15,26
44,2015-11-08,17,24
45,2015-11-15,16,26
46,2015-11-22,15,25
47,2015-11-29,12,26
48,2015-12-06,13,23
49,2015-12-13,15,26
50,2015-12-20,14,21
51,2015-12-27,15,20
52,2016-01-03,11,20
53,2016-01-10,10,23
54,2016-01-17,11,23
55,2016-01-24,10,23
56,2016-01-31,10,34
57,2016-02-07,9,24
58,2016-02-14,24,25
59,2016-02-21,11,26
60,2016-02-28,10,26
61,2016-03-06,9,24
62,2016-03-13,8,24
63,2016-03-20,9,21
64,2016-03-27,9,22
65,2016-04-03,8,23
66,2016-04-10,7,24
67,2016-04-17,7,23
68,2016-04-24,8,22
69,2016-05-01,6,23
70,2016-05-08,8,22
71,2016-05-15,7,23
72,2016-05-22,7,22
73,2016-05-29,6,20
74,2016-06-05,11,23
75,2016-06-12,8,21
76,2016-06-19,6,22
77,2016-06-26,8,21
78,2016-07-03,7,19
79,2016-07-10,6,20
80,2016-07-17,6,17
81,2016-07-24,7,22
82,2016-07-31,6,23
83,2016-08-07,7,17
84,2016-08-14,5,17
85,2016-08-21,7,21
86,2016-08-28,6,23
87,2016-09-04,6,26
88,2016-09-11,5,27
89,2016-09-18,7,30
90,2016-09-25,6,28
91,2016-10-02,6,24
92,2016-10-09,4,22
93,2016-10-16,5,24
94,2016-10-23,4,26
