,date,Guns N' Roses,Alphabet
0,2015-01-04,6,42
1,2015-01-11,7,44
2,2015-01-18,6,40
3,2015-01-25,5,41
4,2015-02-01,5,42
5,2015-02-08,7,44
6,2015-02-15,6,42
7,2015-02-22,7,43
8,2015-03-01,6,44
9,2015-03-08,6,43
10,2015-03-15,6,42
11,2015-03-22,5,42
12,2015-03-29,7,35
13,2015-04-05,6,34
14,2015-04-12,7,40
15,2015-04-19,6,40
16,2015-04-26,5,38
17,2015-05-03,7,36
18,2015-05-10,8,35
19,2015-05-17,6,36
20,2015-05-24,7,38
21,2015-05-31,7,37
22,2015-06-07,5,36
23,2015-06-14,7,32
24,2015-06-21,7,37
25,2015-06-28,6,32
26,2015-07-05,6,30
27,2015-07-12,5,31
28,2015-07-19,6,34
29,2015-07-26,6,36
30,2015-08-02,6,32
31,2015-08-09,6,100
32,2015-08-16,6,42
33,2015-08-23,8,35
34,2015-08-30,6,46
35,2015-09-06,9,48
36,2015-09-13,7,52
37,2015-09-20,9,49
38,2015-09-27,8,52
39,2015-10-04,7,60
40,2015-10-11,5,43
41,2015-10-18,8,52
42,2015-10-25,8,51
43,2015-11-01,6,45
44,2015-11-08,14,42
45,2015-11-15,13,46
46,2015-11-22,8,43
47,2015-11-29,11,46
48,2015-12-06,10,40
49,2015-12-13,5,45
50,2015-12-20,7,37
51,2015-12-27,33,34
52,2016-01-03,35,35
53,2016-01-10,16,40
54,2016-01-17,23,40
55,2016-01-24,16,40
56,2016-01-31,17,58
57,2016-02-07,13,41
58,2016-02-14,13,44
59,2016-02-21,9,44
60,2016-02-28,10,45
61,2016-03-06,11,41
62,2016-03-13,11,42
63,2016-03-20,18,37
64,2016-03-27,46,39
65,2016-04-03,77,40
66,2016-04-10,40,41
67,2016-04-17,35,40
68,2016-04-24,27,39
69,2016-05-01,18,40
70,2016-05-08,15,37
71,2016-05-15,14,40
72,2016-05-22,14,38
73,2016-05-29,15,35
74,2016-06-05,13,41
75,2016-06-12,13,37
76,2016-06-19,22,37
77,2016-06-26,25,37
