,date,Metallica,Alphabet
0,2015-01-04,8,36
1,2015-01-11,11,37
2,2015-01-18,8,34
3,2015-01-25,8,35
4,2015-02-01,9,36
5,2015-02-08,11,37
6,2015-02-15,8,36
7,2015-02-22,9,37
8,2015-03-01,9,38
9,2015-03-08,10,36
10,2015-03-15,10,35
11,2015-03-22,11,36
12,2015-03-29,10,30
13,2015-04-05,9,29
14,2015-04-12,9,34
15,2015-04-19,11,34
16,2015-04-26,9,32
17,2015-05-03,8,31
18,2015-05-10,11,30
19,2015-05-17,9,31
20,2015-05-24,9,32
21,2015-05-31,11,32
22,2015-06-07,8,30
23,2015-06-14,11,27
24,2015-06-21,9,31
25,2015-06-28,8,27
26,2015-07-05,8,25
27,2015-07-12,8,26
28,2015-07-19,10,29
29,2015-07-26,9,30
30,2015-08-02,11,27
31,2015-08-09,8,85
32,2015-08-16,10,35
33,2015-08-23,8,30
34,2015-08-30,10,39
35,2015-09-06,11,41
36,2015-09-13,9,44
37,2015-09-20,10,41
38,2015-09-27,7,45
39,2015-10-04,9,51
40,2015-10-11,9,36
41,2015-10-18,8,44
42,2015-10-25,8,44
43,2015-11-01,9,39
44,2015-11-08,10,36
45,2015-11-15,10,39
46,2015-11-22,9,37
47,2015-11-29,7,39
48,2015-12-06,8,34
49,2015-12-13,10,38
50,2015-12-20,11,31
51,2015-12-27,13,29
52,2016-01-03,9,30
53,2016-01-10,10,34
54,2016-01-17,10,34
55,2016-01-24,9,34
56,2016-01-31,11,50
57,2016-02-07,18,35
58,2016-02-14,11,38
59,2016-02-21,11,38
60,2016-02-28,10,38
61,2016-03-06,10,35
62,2016-03-13,10,35
63,2016-03-20,11,31
64,2016-03-27,11,33
65,2016-04-03,11,34
66,2016-04-10,12,35
67,2016-04-17,11,34
68,2016-04-24,11,33
69,2016-05-01,11,34
70,2016-05-08,9,32
71,2016-05-15,9,34
72,2016-05-22,11,32
73,2016-05-29,10,30
74,2016-06-05,13,35
75,2016-06-12,9,32
76,2016-06-19,10,32
77,2016-06-26,11,31
78,2016-07-03,10,29
79,2016-07-10,10,29
80,2016-07-17,10,25
81,2016-07-24,13,33
82,2016-07-31,13,35
83,2016-08-07,11,25
84,2016-08-14,23,26
85,2016-08-21,22,30
86,2016-08-28,13,34
87,2016-09-04,16,38
88,2016-09-11,13,40
89,2016-09-18,25,45
90,2016-09-25,36,42
91,2016-10-02,15,36
92,2016-10-09,13,32
93,2016-10-16,14,35
94,2016-10-23,13,39
95,2016-10-30,15,37
96,2016-11-06,13,28
97,2016-11-13,37,32
98,2016-11-20,28,31
99,2016-11-27,18,34
100,2016-12-04,15,39
101,2016-12-11,18,34
102,2016-12-18,16,32
103,2016-12-25,14,28
104,2017-01-01,12,30
105,2017-01-08,13,29
106,2017-01-15,14,37
107,2017-01-22,11,38
108,2017-01-29,12,33
109,2017-02-05,15,33
110,2017-02-12,100,36
111,2017-02-19,27,31
112,2017-02-26,20,34
113,2017-03-05,17,34
114,2017-03-12,15,32
115,2017-03-19,14,35
116,2017-03-26,15,36
117,2017-04-02,15,34
118,2017-04-09,15,31
119,2017-04-16,16,30
120,2017-04-23,16,34
121,2017-04-30,18,34
122,2017-05-07,34,35
123,2017-05-14,60,33
124,2017-05-21,20,36
125,2017-05-28,13,33
126,2017-06-04,13,35
127,2017-06-11,12,32
128,2017-06-18,14,31
129,2017-06-25,11,31
130,2017-07-02,13,30
131,2017-07-09,14,29
132,2017-07-16,14,28
133,2017-07-23,9,31
134,2017-07-30,12,27
135,2017-08-06,14,26
136,2017-08-13,13,27
137,2017-08-20,9,28
138,2017-08-27,10,31
139,2017-09-03,10,36
140,2017-09-10,9,46
141,2017-09-17,10,39
142,2017-09-24,10,38
143,2017-10-01,9,40
144,2017-10-08,7,39
145,2017-10-15,12,42
146,2017-10-22,10,40
147,2017-10-29,11,36
148,2017-11-05,8,33
149,2017-11-12,9,37
150,2017-11-19,9,33
151,2017-11-26,7,38
152,2017-12-03,10,37
153,2017-12-10,9,36
154,2017-12-17,9,37
155,2017-12-24,10,26
156,2017-12-31,9,36
157,2018-01-07,8,33
158,2018-01-14,8,35
159,2018-01-21,9,36
160,2018-01-28,11,45
161,2018-02-04,9,43
162,2018-02-11,9,39
163,2018-02-18,12,33
164,2018-02-25,56,37
165,2018-03-04,17,37
166,2018-03-11,14,33
167,2018-03-18,11,36
168,2018-03-25,10,35
169,2018-04-01,10,35
170,2018-04-08,12,36
171,2018-04-15,10,32
172,2018-04-22,10,38
173,2018-04-29,9,33
174,2018-05-06,11,35
175,2018-05-13,9,30
176,2018-05-20,9,31
177,2018-05-27,10,32
178,2018-06-03,12,35
179,2018-06-10,10,35
180,2018-06-17,8,29
181,2018-06-24,10,29
182,2018-07-01,10,32
183,2018-07-08,10,31
184,2018-07-15,11,27
185,2018-07-22,10,37
186,2018-07-29,10,31
187,2018-08-05,11,34
188,2018-08-12,12,28
189,2018-08-19,11,29
190,2018-08-26,12,30
191,2018-09-02,15,37
192,2018-09-09,14,44
193,2018-09-16,13,41
194,2018-09-23,11,39
195,2018-09-30,11,38
196,2018-10-07,13,38
197,2018-10-14,16,36
198,2018-10-21,32,38
199,2018-10-28,34,37
200,2018-11-04,13,34
201,2018-11-11,12,33
202,2018-11-18,11,30
203,2018-11-25,10,36
204,2018-12-02,11,35
205,2018-12-09,9,34
206,2018-12-16,10,32
207,2018-12-23,10,27
208,2018-12-30,8,30
209,2019-01-06,10,33
210,2019-01-13,10,35
211,2019-01-20,10,35
212,2019-01-27,11,36
213,2019-02-03,10,35
214,2019-02-10,8,36
215,2019-02-17,8,32
216,2019-02-24,8,31
217,2019-03-03,9,38
218,2019-03-10,8,33
219,2019-03-17,12,32
220,2019-03-24,9,34
221,2019-03-31,10,30
222,2019-04-07,9,30
223,2019-04-14,8,30
224,2019-04-21,10,31
225,2019-04-28,9,34
226,2019-05-05,9,30
227,2019-05-12,6,32
228,2019-05-19,10,33
229,2019-05-26,8,28
230,2019-06-02,12,35
231,2019-06-09,11,27
232,2019-06-16,8,28
233,2019-06-23,8,28
234,2019-06-30,9,25
235,2019-07-07,9,29
236,2019-07-14,9,30
237,2019-07-21,11,30
238,2019-07-28,10,30
239,2019-08-04,11,29
240,2019-08-11,9,30
241,2019-08-18,10,27
242,2019-08-25,11,28
243,2019-09-01,10,34
244,2019-09-08,11,43
245,2019-09-15,8,38
246,2019-09-22,12,39
247,2019-09-29,13,39
248,2019-10-06,13,35
249,2019-10-13,10,36
250,2019-10-20,9,35
251,2019-10-27,9,40
252,2019-11-03,9,41
253,2019-11-10,9,30
254,2019-11-17,9,35
255,2019-11-24,9,33
256,2019-12-01,9,36
257,2019-12-08,8,33
258,2019-12-15,8,31
259,2019-12-22,11,30
260,2019-12-29,8,28
