,date,The Rolling Stones,Alphabet
0,2015-01-04,10,42
1,2015-01-11,14,44
2,2015-01-18,12,40
3,2015-01-25,10,41
4,2015-02-01,11,42
5,2015-02-08,13,44
6,2015-02-15,13,42
7,2015-02-22,10,43
8,2015-03-01,12,44
9,2015-03-08,17,43
10,2015-03-15,31,42
11,2015-03-22,21,42
12,2015-03-29,54,35
13,2015-04-05,45,34
14,2015-04-12,31,40
15,2015-04-19,17,40
16,2015-04-26,18,38
17,2015-05-03,17,36
18,2015-05-10,15,35
19,2015-05-17,20,36
20,2015-05-24,25,38
21,2015-05-31,30,37
22,2015-06-07,40,36
23,2015-06-14,23,32
24,2015-06-21,24,37
25,2015-06-28,25,32
26,2015-07-05,62,30
27,2015-07-12,51,31
28,2015-07-19,17,34
29,2015-07-26,15,36
30,2015-08-02,16,32
31,2015-08-09,14,100
32,2015-08-16,13,42
33,2015-08-23,13,35
34,2015-08-30,11,46
35,2015-09-06,14,48
36,2015-09-13,11,52
37,2015-09-20,14,49
38,2015-09-27,11,52
39,2015-10-04,12,60
40,2015-10-11,12,43
41,2015-10-18,13,52
42,2015-10-25,13,51
43,2015-11-01,13,45
44,2015-11-08,13,42
45,2015-11-15,13,46
46,2015-11-22,13,43
47,2015-11-29,11,46
48,2015-12-06,11,40
49,2015-12-13,10,45
50,2015-12-20,14,37
51,2015-12-27,17,34
52,2016-01-03,12,35
53,2016-01-10,15,40
54,2016-01-17,11,40
55,2016-01-24,12,40
56,2016-01-31,14,58
57,2016-02-07,15,41
58,2016-02-14,16,44
59,2016-02-21,15,44
60,2016-02-28,15,45
61,2016-03-06,15,41
62,2016-03-13,15,42
63,2016-03-20,19,37
64,2016-03-27,17,39
65,2016-04-03,14,40
66,2016-04-10,15,41
67,2016-04-17,16,40
68,2016-04-24,15,39
69,2016-05-01,19,40
70,2016-05-08,17,37
71,2016-05-15,12,40
72,2016-05-22,15,38
73,2016-05-29,12,35
74,2016-06-05,13,41
75,2016-06-12,14,37
76,2016-06-19,14,37
77,2016-06-26,12,37
78,2016-07-03,14,34
79,2016-07-10,15,35
80,2016-07-17,13,30
81,2016-07-24,13,38
82,2016-07-31,12,41
83,2016-08-07,12,29
84,2016-08-14,13,30
85,2016-08-21,13,36
86,2016-08-28,12,40
87,2016-09-04,15,45
88,2016-09-11,12,47
89,2016-09-18,17,53
90,2016-09-25,15,49
91,2016-10-02,19,42
92,2016-10-09,17,37
93,2016-10-16,17,41
94,2016-10-23,16,45
95,2016-10-30,15,43
96,2016-11-06,16,32
97,2016-11-13,27,38
98,2016-11-20,22,37
99,2016-11-27,27,40
100,2016-12-04,30,45
101,2016-12-11,18,40
102,2016-12-18,18,38
103,2016-12-25,16,33
104,2017-01-01,14,35
105,2017-01-08,13,34
106,2017-01-15,20,43
107,2017-01-22,15,45
108,2017-01-29,15,39
109,2017-02-05,13,39
110,2017-02-12,16,42
111,2017-02-19,17,37
112,2017-02-26,14,40
113,2017-03-05,14,40
114,2017-03-12,14,38
115,2017-03-19,11,41
116,2017-03-26,12,42
117,2017-04-02,12,40
118,2017-04-09,13,37
119,2017-04-16,14,36
120,2017-04-23,14,39
121,2017-04-30,13,40
122,2017-05-07,16,41
123,2017-05-14,15,39
124,2017-05-21,13,43
125,2017-05-28,14,39
126,2017-06-04,13,41
127,2017-06-11,14,38
128,2017-06-18,13,37
129,2017-06-25,12,36
130,2017-07-02,11,35
131,2017-07-09,15,33
132,2017-07-16,13,33
133,2017-07-23,15,37
134,2017-07-30,13,32
135,2017-08-06,14,31
136,2017-08-13,9,32
137,2017-08-20,11,33
138,2017-08-27,14,36
139,2017-09-03,12,43
140,2017-09-10,12,54
141,2017-09-17,15,46
142,2017-09-24,12,45
143,2017-10-01,13,46
144,2017-10-08,12,46
145,2017-10-15,14,49
146,2017-10-22,11,47
147,2017-10-29,9,42
148,2017-11-05,11,38
149,2017-11-12,11,44
150,2017-11-19,11,39
151,2017-11-26,10,44
152,2017-12-03,10,43
153,2017-12-10,11,42
154,2017-12-17,13,43
155,2017-12-24,10,31
156,2017-12-31,11,42
157,2018-01-07,10,39
158,2018-01-14,12,41
159,2018-01-21,12,42
160,2018-01-28,11,53
161,2018-02-04,11,50
162,2018-02-11,10,46
163,2018-02-18,13,39
164,2018-02-25,15,43
165,2018-03-04,16,43
166,2018-03-11,13,39
167,2018-03-18,12,43
168,2018-03-25,14,41
169,2018-04-01,13,42
170,2018-04-08,12,42
171,2018-04-15,13,37
172,2018-04-22,12,45
173,2018-04-29,14,39
174,2018-05-06,13,42
175,2018-05-13,15,35
176,2018-05-20,17,37
177,2018-05-27,14,38
178,2018-06-03,13,41
179,2018-06-10,12,41
180,2018-06-17,11,34
181,2018-06-24,15,34
182,2018-07-01,18,37
183,2018-07-08,14,37
184,2018-07-15,12,32
185,2018-07-22,13,44
186,2018-07-29,12,36
187,2018-08-05,14,40
188,2018-08-12,12,33
189,2018-08-19,12,34
190,2018-08-26,10,35
191,2018-09-02,14,43
192,2018-09-09,12,52
193,2018-09-16,12,48
194,2018-09-23,11,46
195,2018-09-30,12,45
196,2018-10-07,11,44
197,2018-10-14,12,43
198,2018-10-21,11,45
199,2018-10-28,11,44
200,2018-11-04,13,40
201,2018-11-11,13,39
202,2018-11-18,40,35
203,2018-11-25,66,43
204,2018-12-02,25,41
205,2018-12-09,17,40
206,2018-12-16,16,38
207,2018-12-23,18,32
208,2018-12-30,17,35
209,2019-01-06,16,38
210,2019-01-13,18,41
211,2019-01-20,14,41
212,2019-01-27,14,42
213,2019-02-03,14,41
214,2019-02-10,15,43
215,2019-02-17,13,38
216,2019-02-24,14,37
217,2019-03-03,16,45
218,2019-03-10,13,39
219,2019-03-17,13,38
220,2019-03-24,25,40
221,2019-03-31,25,35
222,2019-04-07,15,36
223,2019-04-14,18,36
224,2019-04-21,15,37
225,2019-04-28,14,40
226,2019-05-05,18,36
227,2019-05-12,26,37
228,2019-05-19,20,38
229,2019-05-26,16,33
230,2019-06-02,15,41
231,2019-06-09,16,32
232,2019-06-16,21,33
233,2019-06-23,28,33
234,2019-06-30,26,29
235,2019-07-07,33,34
236,2019-07-14,21,35
237,2019-07-21,34,35
238,2019-07-28,84,35
