,date,Bruno Mars,Alphabet
0,2015-01-04,18,23
1,2015-01-11,27,21
2,2015-01-18,26,23
3,2015-01-25,23,23
4,2015-02-01,22,25
5,2015-02-08,21,25
6,2015-02-15,18,21
7,2015-02-22,18,23
8,2015-03-01,19,23
9,2015-03-08,14,23
10,2015-03-15,13,21
11,2015-03-22,20,19
12,2015-03-29,14,21
13,2015-04-05,11,19
14,2015-04-12,11,22
15,2015-04-19,11,23
16,2015-04-26,8,21
17,2015-05-03,12,20
18,2015-05-10,9,19
19,2015-05-17,11,20
20,2015-05-24,9,17
21,2015-05-31,11,19
22,2015-06-07,10,17
23,2015-06-14,10,15
24,2015-06-21,12,15
25,2015-06-28,8,20
26,2015-07-05,9,16
27,2015-07-12,7,14
28,2015-07-19,11,15
29,2015-07-26,8,17
30,2015-08-02,7,15
31,2015-08-09,7,43
32,2015-08-16,8,31
33,2015-08-23,7,32
34,2015-08-30,7,34
35,2015-09-06,8,26
36,2015-09-13,5,27
37,2015-09-20,6,27
38,2015-09-27,5,26
39,2015-10-04,7,31
40,2015-10-11,5,28
41,2015-10-18,7,27
42,2015-10-25,7,23
43,2015-11-01,5,26
44,2015-11-08,6,28
45,2015-11-15,7,28
46,2015-11-22,8,22
47,2015-11-29,6,25
48,2015-12-06,5,28
49,2015-12-13,5,24
50,2015-12-20,4,18
51,2015-12-27,8,15
52,2016-01-03,5,18
53,2016-01-10,6,22
54,2016-01-17,6,20
55,2016-01-24,6,22
56,2016-01-31,8,26
57,2016-02-07,63,22
58,2016-02-14,18,23
59,2016-02-21,8,21
60,2016-02-28,4,21
61,2016-03-06,5,22
62,2016-03-13,6,19
63,2016-03-20,6,20
64,2016-03-27,5,20
65,2016-04-03,6,20
66,2016-04-10,5,21
67,2016-04-17,6,18
68,2016-04-24,7,21
69,2016-05-01,4,19
70,2016-05-08,6,18
71,2016-05-15,7,19
72,2016-05-22,7,21
73,2016-05-29,5,15
74,2016-06-05,4,16
75,2016-06-12,5,15
76,2016-06-19,3,14
77,2016-06-26,4,13
78,2016-07-03,4,15
79,2016-07-10,4,16
80,2016-07-17,6,15
81,2016-07-24,5,17
82,2016-07-31,4,19
83,2016-08-07,5,18
84,2016-08-14,5,20
85,2016-08-21,5,28
86,2016-08-28,6,29
87,2016-09-04,4,28
88,2016-09-11,5,25
89,2016-09-18,4,23
90,2016-09-25,4,20
91,2016-10-02,13,20
92,2016-10-09,16,20
93,2016-10-16,21,22
94,2016-10-23,12,23
95,2016-10-30,14,21
96,2016-11-06,11,20
97,2016-11-13,32,22
98,2016-11-20,49,21
99,2016-11-27,21,19
100,2016-12-04,21,23
101,2016-12-11,44,20
102,2016-12-18,30,21
103,2016-12-25,22,15
104,2017-01-01,18,21
105,2017-01-08,19,19
106,2017-01-15,17,19
107,2017-01-22,16,21
108,2017-01-29,19,23
109,2017-02-05,20,21
110,2017-02-12,100,24
111,2017-02-19,34,19
112,2017-02-26,33,22
113,2017-03-05,40,21
114,2017-03-12,32,21
115,2017-03-19,31,19
116,2017-03-26,25,19
117,2017-04-02,22,20
118,2017-04-09,23,17
119,2017-04-16,23,19
120,2017-04-23,26,20
121,2017-04-30,26,19
122,2017-05-07,31,21
123,2017-05-14,28,20
124,2017-05-21,36,19
125,2017-05-28,28,19
126,2017-06-04,24,16
127,2017-06-11,27,16
128,2017-06-18,23,18
129,2017-06-25,43,16
130,2017-07-02,28,15
131,2017-07-09,23,14
132,2017-07-16,23,15
133,2017-07-23,21,16
134,2017-07-30,28,17
135,2017-08-06,33,14
136,2017-08-13,58,20
137,2017-08-20,24,29
138,2017-08-27,19,25
139,2017-09-03,18,22
140,2017-09-10,14,25
141,2017-09-17,41,24
142,2017-09-24,15,21
143,2017-10-01,12,20
144,2017-10-08,13,25
145,2017-10-15,12,24
146,2017-10-22,11,25
147,2017-10-29,9,21
148,2017-11-05,12,21
149,2017-11-12,10,23
150,2017-11-19,10,19
151,2017-11-26,27,22
152,2017-12-03,16,21
153,2017-12-10,12,21
154,2017-12-17,9,19
155,2017-12-24,12,15
156,2017-12-31,23,17
157,2018-01-07,20,20
158,2018-01-14,18,19
159,2018-01-21,29,23
160,2018-01-28,68,23
161,2018-02-04,28,24
162,2018-02-11,22,22
163,2018-02-18,15,22
164,2018-02-25,13,23
165,2018-03-04,15,22
166,2018-03-11,18,24
167,2018-03-18,14,23
168,2018-03-25,17,17
169,2018-04-01,14,19
170,2018-04-08,14,19
171,2018-04-15,15,22
172,2018-04-22,12,20
173,2018-04-29,10,21
174,2018-05-06,8,19
175,2018-05-13,12,18
176,2018-05-20,12,18
177,2018-05-27,11,17
178,2018-06-03,10,15
179,2018-06-10,11,17
180,2018-06-17,9,18
181,2018-06-24,9,18
182,2018-07-01,11,15
183,2018-07-08,11,15
184,2018-07-15,10,15
185,2018-07-22,13,14
186,2018-07-29,11,15
187,2018-08-05,9,16
188,2018-08-12,12,19
189,2018-08-19,9,23
190,2018-08-26,8,30
191,2018-09-02,10,20
