,date,Ed Sheeran,Alphabet
0,2015-01-04,36,26
1,2015-01-11,44,23
2,2015-01-18,35,26
3,2015-01-25,39,25
4,2015-02-01,37,29
5,2015-02-08,79,28
6,2015-02-15,48,24
7,2015-02-22,43,26
8,2015-03-01,36,23
9,2015-03-08,27,25
10,2015-03-15,22,23
11,2015-03-22,28,22
12,2015-03-29,27,22
13,2015-04-05,38,22
14,2015-04-12,34,25
15,2015-04-19,24,26
16,2015-04-26,16,25
17,2015-05-03,19,23
18,2015-05-10,19,23
19,2015-05-17,33,23
20,2015-05-24,24,20
21,2015-05-31,31,21
22,2015-06-07,28,19
23,2015-06-14,31,17
24,2015-06-21,24,17
25,2015-06-28,29,23
26,2015-07-05,27,17
27,2015-07-12,21,16
28,2015-07-19,22,18
29,2015-07-26,24,20
30,2015-08-02,26,16
31,2015-08-09,25,48
32,2015-08-16,29,34
33,2015-08-23,28,37
34,2015-08-30,28,39
35,2015-09-06,27,30
36,2015-09-13,68,32
37,2015-09-20,30,31
38,2015-09-27,22,29
39,2015-10-04,19,36
40,2015-10-11,18,32
41,2015-10-18,18,30
42,2015-10-25,14,27
43,2015-11-01,13,30
44,2015-11-08,16,34
45,2015-11-15,12,32
46,2015-11-22,14,26
47,2015-11-29,9,28
48,2015-12-06,12,31
49,2015-12-13,12,27
50,2015-12-20,12,21
51,2015-12-27,15,18
52,2016-01-03,11,21
53,2016-01-10,9,23
54,2016-01-17,11,22
55,2016-01-24,10,26
56,2016-01-31,9,29
57,2016-02-07,9,24
58,2016-02-14,24,25
59,2016-02-21,8,23
60,2016-02-28,10,24
61,2016-03-06,7,24
62,2016-03-13,7,22
63,2016-03-20,8,22
64,2016-03-27,9,23
65,2016-04-03,8,23
66,2016-04-10,6,24
67,2016-04-17,8,19
68,2016-04-24,6,25
69,2016-05-01,7,21
70,2016-05-08,8,20
71,2016-05-15,5,21
72,2016-05-22,6,23
73,2016-05-29,7,17
74,2016-06-05,10,18
75,2016-06-12,8,17
76,2016-06-19,7,16
77,2016-06-26,6,15
78,2016-07-03,6,16
79,2016-07-10,7,18
80,2016-07-17,7,17
81,2016-07-24,7,19
82,2016-07-31,6,21
83,2016-08-07,6,20
84,2016-08-14,5,23
85,2016-08-21,7,32
86,2016-08-28,4,33
87,2016-09-04,6,32
88,2016-09-11,6,28
89,2016-09-18,6,26
90,2016-09-25,6,23
91,2016-10-02,6,23
92,2016-10-09,5,23
93,2016-10-16,7,25
94,2016-10-23,5,26
95,2016-10-30,3,24
96,2016-11-06,5,23
97,2016-11-13,7,25
98,2016-11-20,5,23
99,2016-11-27,7,22
100,2016-12-04,5,26
101,2016-12-11,5,23
102,2016-12-18,5,24
103,2016-12-25,6,17
104,2017-01-01,30,23
105,2017-01-08,22,22
106,2017-01-15,19,21
107,2017-01-22,21,24
108,2017-01-29,23,26
109,2017-02-05,19,24
110,2017-02-12,54,27
111,2017-02-19,27,22
112,2017-02-26,47,25
113,2017-03-05,100,24
114,2017-03-12,87,24
115,2017-03-19,61,22
116,2017-03-26,36,22
117,2017-04-02,31,22
118,2017-04-09,28,19
119,2017-04-16,27,22
120,2017-04-23,24,23
121,2017-04-30,26,21
122,2017-05-07,22,24
123,2017-05-14,18,23
124,2017-05-21,24,22
125,2017-05-28,21,22
126,2017-06-04,29,19
127,2017-06-11,23,19
128,2017-06-18,21,20
129,2017-06-25,24,18
130,2017-07-02,26,17
131,2017-07-09,22,16
132,2017-07-16,56,17
133,2017-07-23,22,18
134,2017-07-30,21,19
135,2017-08-06,20,16
136,2017-08-13,22,22
137,2017-08-20,17,33
138,2017-08-27,30,29
139,2017-09-03,41,26
140,2017-09-10,31,28
141,2017-09-17,28,28
142,2017-09-24,32,23
143,2017-10-01,58,23
144,2017-10-08,24,29
145,2017-10-15,36,27
146,2017-10-22,24,28
147,2017-10-29,20,24
148,2017-11-05,24,24
149,2017-11-12,22,27
150,2017-11-19,13,22
151,2017-11-26,24,25
152,2017-12-03,38,24
153,2017-12-10,42,24
154,2017-12-17,45,22
155,2017-12-24,37,17
156,2017-12-31,34,19
157,2018-01-07,37,23
158,2018-01-14,40,22
159,2018-01-21,50,26
160,2018-01-28,43,26
161,2018-02-04,31,27
162,2018-02-11,40,25
163,2018-02-18,26,24
164,2018-02-25,29,26
165,2018-03-04,29,25
166,2018-03-11,24,27
167,2018-03-18,23,26
168,2018-03-25,21,20
169,2018-04-01,18,21
170,2018-04-08,16,21
171,2018-04-15,18,25
172,2018-04-22,19,23
173,2018-04-29,18,24
174,2018-05-06,18,22
175,2018-05-13,20,21
176,2018-05-20,20,21
177,2018-05-27,16,19
178,2018-06-03,14,17
179,2018-06-10,14,19
180,2018-06-17,14,21
181,2018-06-24,23,21
182,2018-07-01,18,18
183,2018-07-08,16,17
184,2018-07-15,19,17
185,2018-07-22,15,15
186,2018-07-29,14,17
187,2018-08-05,11,18
188,2018-08-12,14,21
189,2018-08-19,14,27
190,2018-08-26,19,34
191,2018-09-02,21,23
192,2018-09-09,18,29
193,2018-09-16,15,25
194,2018-09-23,18,25
195,2018-09-30,18,27
196,2018-10-07,14,23
197,2018-10-14,12,28
198,2018-10-21,10,28
199,2018-10-28,11,24
200,2018-11-04,10,26
201,2018-11-11,9,24
202,2018-11-18,10,22
203,2018-11-25,11,24
204,2018-12-02,11,23
205,2018-12-09,12,25
206,2018-12-16,10,24
207,2018-12-23,12,17
208,2018-12-30,11,22
209,2019-01-06,10,23
210,2019-01-13,9,23
211,2019-01-20,9,25
212,2019-01-27,10,26
213,2019-02-03,9,26
214,2019-02-10,11,23
215,2019-02-17,11,24
216,2019-02-24,9,26
217,2019-03-03,11,27
218,2019-03-10,10,20
219,2019-03-17,8,23
220,2019-03-24,8,20
221,2019-03-31,9,24
222,2019-04-07,10,23
223,2019-04-14,12,22
224,2019-04-21,6,21
225,2019-04-28,10,22
226,2019-05-05,16,22
227,2019-05-12,15,21
228,2019-05-19,13,23
229,2019-05-26,14,19
230,2019-06-02,13,25
231,2019-06-09,12,17
232,2019-06-16,14,22
233,2019-06-23,16,16
234,2019-06-30,18,16
235,2019-07-07,35,17
236,2019-07-14,32,20
237,2019-07-21,20,16
238,2019-07-28,17,19
239,2019-08-04,16,17
240,2019-08-11,11,21
241,2019-08-18,11,24
242,2019-08-25,14,29
243,2019-09-01,13,27
244,2019-09-08,10,27
245,2019-09-15,10,29
246,2019-09-22,11,27
247,2019-09-29,10,24
248,2019-10-06,13,27
249,2019-10-13,11,25
250,2019-10-20,9,28
251,2019-10-27,9,28
252,2019-11-03,9,27
253,2019-11-10,10,28
254,2019-11-17,9,27
255,2019-11-24,12,19
256,2019-12-01,7,26
257,2019-12-08,8,23
258,2019-12-15,8,22
259,2019-12-22,13,20
260,2019-12-29,10,19
