,date,Guns N' Roses,Alphabet
0,2015-01-04,3,39
1,2015-01-11,6,35
2,2015-01-18,4,39
3,2015-01-25,5,38
4,2015-02-01,6,42
5,2015-02-08,6,41
6,2015-02-15,6,35
7,2015-02-22,7,39
8,2015-03-01,5,38
9,2015-03-08,5,38
10,2015-03-15,6,35
11,2015-03-22,5,32
12,2015-03-29,6,35
13,2015-04-05,5,32
14,2015-04-12,3,37
15,2015-04-19,3,38
16,2015-04-26,6,35
17,2015-05-03,7,34
18,2015-05-10,7,32
19,2015-05-17,10,34
20,2015-05-24,7,29
21,2015-05-31,3,32
22,2015-06-07,3,28
23,2015-06-14,8,25
24,2015-06-21,7,26
25,2015-06-28,5,33
26,2015-07-05,6,26
27,2015-07-12,7,23
28,2015-07-19,4,26
29,2015-07-26,4,29
30,2015-08-02,9,25
31,2015-08-09,7,72
32,2015-08-16,6,51
33,2015-08-23,8,53
34,2015-08-30,5,56
35,2015-09-06,6,43
36,2015-09-13,5,46
37,2015-09-20,8,45
38,2015-09-27,8,43
39,2015-10-04,1,52
40,2015-10-11,5,47
41,2015-10-18,4,45
42,2015-10-25,10,39
43,2015-11-01,7,44
44,2015-11-08,12,47
45,2015-11-15,11,46
46,2015-11-22,7,37
47,2015-11-29,11,41
48,2015-12-06,7,47
49,2015-12-13,8,40
50,2015-12-20,8,30
51,2015-12-27,26,26
52,2016-01-03,27,31
53,2016-01-10,15,36
54,2016-01-17,18,33
55,2016-01-24,12,37
56,2016-01-31,9,43
57,2016-02-07,11,36
58,2016-02-14,13,38
59,2016-02-21,8,35
60,2016-02-28,10,36
61,2016-03-06,13,36
62,2016-03-13,9,32
63,2016-03-20,19,33
64,2016-03-27,47,34
65,2016-04-03,71,33
66,2016-04-10,39,35
67,2016-04-17,34,30
68,2016-04-24,20,36
69,2016-05-01,17,32
70,2016-05-08,12,30
71,2016-05-15,13,31
72,2016-05-22,18,34
73,2016-05-29,15,25
74,2016-06-05,14,27
75,2016-06-12,14,25
76,2016-06-19,32,23
77,2016-06-26,33,22
78,2016-07-03,100,24
79,2016-07-10,35,27
80,2016-07-17,16,26
81,2016-07-24,13,28
82,2016-07-31,16,31
83,2016-08-07,10,30
84,2016-08-14,11,34
85,2016-08-21,8,47
86,2016-08-28,6,48
87,2016-09-04,10,47
88,2016-09-11,7,42
89,2016-09-18,4,38
90,2016-09-25,6,33
91,2016-10-02,5,33
92,2016-10-09,6,33
93,2016-10-16,5,36
94,2016-10-23,7,38
95,2016-10-30,9,35
96,2016-11-06,6,34
97,2016-11-13,7,37
98,2016-11-20,9,34
99,2016-11-27,8,32
100,2016-12-04,12,39
101,2016-12-11,6,34
102,2016-12-18,7,36
103,2016-12-25,10,25
104,2017-01-01,9,34
105,2017-01-08,8,32
106,2017-01-15,8,32
107,2017-01-22,7,35
108,2017-01-29,7,38
109,2017-02-05,8,35
110,2017-02-12,7,40
111,2017-02-19,8,32
112,2017-02-26,5,37
113,2017-03-05,8,35
114,2017-03-12,7,35
115,2017-03-19,7,32
116,2017-03-26,9,32
117,2017-04-02,7,33
118,2017-04-09,5,29
119,2017-04-16,6,32
120,2017-04-23,6,33
121,2017-04-30,8,31
122,2017-05-07,7,36
123,2017-05-14,5,34
124,2017-05-21,20,32
125,2017-05-28,20,32
126,2017-06-04,13,27
127,2017-06-11,8,27
128,2017-06-18,12,30
129,2017-06-25,13,26
130,2017-07-02,8,24
131,2017-07-09,11,24
132,2017-07-16,16,24
133,2017-07-23,16,26
134,2017-07-30,12,28
135,2017-08-06,10,24
136,2017-08-13,13,33
137,2017-08-20,12,48
138,2017-08-27,11,42
139,2017-09-03,8,38
140,2017-09-10,10,42
141,2017-09-17,10,41
142,2017-09-24,10,34
143,2017-10-01,10,34
144,2017-10-08,11,42
145,2017-10-15,15,40
146,2017-10-22,60,41
147,2017-10-29,16,36
148,2017-11-05,11,36
149,2017-11-12,11,39
150,2017-11-19,6,32
151,2017-11-26,5,36
152,2017-12-03,7,35
153,2017-12-10,6,35
154,2017-12-17,5,32
155,2017-12-24,5,26
156,2017-12-31,6,28
157,2018-01-07,5,33
158,2018-01-14,6,32
159,2018-01-21,6,38
160,2018-01-28,6,38
161,2018-02-04,6,40
162,2018-02-11,5,36
163,2018-02-18,8,36
164,2018-02-25,7,38
165,2018-03-04,6,37
166,2018-03-11,4,40
167,2018-03-18,6,38
168,2018-03-25,9,29
169,2018-04-01,6,31
170,2018-04-08,6,32
171,2018-04-15,5,36
172,2018-04-22,6,34
173,2018-04-29,10,35
174,2018-05-06,14,32
175,2018-05-13,9,31
176,2018-05-20,8,30
177,2018-05-27,7,29
178,2018-06-03,10,25
179,2018-06-10,9,28
180,2018-06-17,6,31
181,2018-06-24,11,30
182,2018-07-01,8,26
183,2018-07-08,9,25
184,2018-07-15,8,25
185,2018-07-22,8,23
186,2018-07-29,6,24
187,2018-08-05,3,26
188,2018-08-12,4,31
189,2018-08-19,6,39
190,2018-08-26,5,50
191,2018-09-02,5,34
192,2018-09-09,6,42
193,2018-09-16,7,37
194,2018-09-23,6,37
195,2018-09-30,5,40
196,2018-10-07,5,34
197,2018-10-14,4,40
198,2018-10-21,6,41
199,2018-10-28,7,35
200,2018-11-04,6,38
201,2018-11-11,6,35
202,2018-11-18,8,33
203,2018-11-25,6,36
204,2018-12-02,5,34
205,2018-12-09,7,37
206,2018-12-16,5,36
207,2018-12-23,7,24
208,2018-12-30,7,33
209,2019-01-06,7,33
210,2019-01-13,5,34
211,2019-01-20,6,37
212,2019-01-27,6,38
213,2019-02-03,6,39
214,2019-02-10,6,34
215,2019-02-17,5,36
216,2019-02-24,6,38
217,2019-03-03,6,39
218,2019-03-10,3,30
219,2019-03-17,3,34
220,2019-03-24,6,30
221,2019-03-31,7,35
222,2019-04-07,7,33
223,2019-04-14,6,32
224,2019-04-21,7,31
225,2019-04-28,6,32
226,2019-05-05,6,33
227,2019-05-12,7,31
228,2019-05-19,5,34
229,2019-05-26,4,28
