,date,Metallica,Alphabet
0,2015-01-04,9,39
1,2015-01-11,10,35
2,2015-01-18,8,38
3,2015-01-25,13,37
4,2015-02-01,12,42
5,2015-02-08,12,41
6,2015-02-15,9,35
7,2015-02-22,13,39
8,2015-03-01,14,37
9,2015-03-08,11,38
10,2015-03-15,11,35
11,2015-03-22,12,32
12,2015-03-29,16,35
13,2015-04-05,8,31
14,2015-04-12,10,37
15,2015-04-19,10,38
16,2015-04-26,12,35
17,2015-05-03,9,34
18,2015-05-10,13,32
19,2015-05-17,11,33
20,2015-05-24,10,29
21,2015-05-31,7,31
22,2015-06-07,10,28
23,2015-06-14,21,25
24,2015-06-21,13,26
25,2015-06-28,14,33
26,2015-07-05,13,26
27,2015-07-12,13,23
28,2015-07-19,12,26
29,2015-07-26,10,29
30,2015-08-02,17,25
31,2015-08-09,16,71
32,2015-08-16,12,51
33,2015-08-23,14,52
34,2015-08-30,11,56
35,2015-09-06,15,43
36,2015-09-13,11,45
37,2015-09-20,12,45
38,2015-09-27,13,43
39,2015-10-04,10,52
40,2015-10-11,14,47
41,2015-10-18,8,45
42,2015-10-25,11,39
43,2015-11-01,11,44
44,2015-11-08,12,47
45,2015-11-15,8,46
46,2015-11-22,12,37
47,2015-11-29,15,41
48,2015-12-06,9,47
49,2015-12-13,10,40
50,2015-12-20,14,30
51,2015-12-27,13,26
52,2016-01-03,11,30
53,2016-01-10,12,36
54,2016-01-17,11,33
55,2016-01-24,13,36
56,2016-01-31,15,43
57,2016-02-07,20,36
58,2016-02-14,14,37
59,2016-02-21,13,35
60,2016-02-28,13,35
61,2016-03-06,11,36
62,2016-03-13,12,32
63,2016-03-20,15,33
64,2016-03-27,14,34
65,2016-04-03,11,33
66,2016-04-10,16,35
67,2016-04-17,14,30
68,2016-04-24,15,35
69,2016-05-01,12,31
70,2016-05-08,14,30
71,2016-05-15,15,31
72,2016-05-22,14,34
73,2016-05-29,17,25
74,2016-06-05,15,27
75,2016-06-12,17,25
76,2016-06-19,10,23
77,2016-06-26,12,22
78,2016-07-03,13,24
79,2016-07-10,12,26
80,2016-07-17,14,25
81,2016-07-24,11,28
82,2016-07-31,16,31
83,2016-08-07,14,29
84,2016-08-14,30,34
85,2016-08-21,27,47
86,2016-08-28,17,48
87,2016-09-04,18,47
88,2016-09-11,16,41
89,2016-09-18,16,38
90,2016-09-25,27,33
91,2016-10-02,17,33
92,2016-10-09,15,33
93,2016-10-16,16,36
94,2016-10-23,15,38
95,2016-10-30,17,35
96,2016-11-06,19,33
97,2016-11-13,53,37
98,2016-11-20,36,34
99,2016-11-27,29,32
100,2016-12-04,18,39
101,2016-12-11,20,33
102,2016-12-18,22,35
103,2016-12-25,18,25
104,2017-01-01,15,34
105,2017-01-08,19,32
106,2017-01-15,20,31
107,2017-01-22,16,35
108,2017-01-29,16,38
109,2017-02-05,21,35
110,2017-02-12,98,39
111,2017-02-19,23,32
112,2017-02-26,22,37
113,2017-03-05,15,34
114,2017-03-12,17,35
115,2017-03-19,14,32
116,2017-03-26,16,32
117,2017-04-02,15,33
118,2017-04-09,18,28
119,2017-04-16,14,32
120,2017-04-23,17,33
121,2017-04-30,16,31
122,2017-05-07,23,35
123,2017-05-14,27,34
124,2017-05-21,35,32
125,2017-05-28,20,32
126,2017-06-04,19,27
127,2017-06-11,18,27
128,2017-06-18,17,29
129,2017-06-25,17,26
130,2017-07-02,20,24
131,2017-07-09,29,24
132,2017-07-16,17,24
133,2017-07-23,16,26
134,2017-07-30,14,27
135,2017-08-06,17,24
136,2017-08-13,18,32
137,2017-08-20,12,48
138,2017-08-27,10,42
139,2017-09-03,13,37
140,2017-09-10,10,41
141,2017-09-17,11,41
142,2017-09-24,13,34
143,2017-10-01,13,33
144,2017-10-08,14,42
145,2017-10-15,13,40
146,2017-10-22,11,41
147,2017-10-29,12,35
148,2017-11-05,13,36
149,2017-11-12,11,39
150,2017-11-19,8,32
151,2017-11-26,9,36
152,2017-12-03,12,35
153,2017-12-10,11,34
154,2017-12-17,12,32
155,2017-12-24,11,25
156,2017-12-31,9,28
157,2018-01-07,13,33
158,2018-01-14,10,32
159,2018-01-21,15,38
160,2018-01-28,15,38
161,2018-02-04,9,40
162,2018-02-11,14,36
163,2018-02-18,11,36
