,date,Pink,Alphabet
0,2015-01-04,13,42
1,2015-01-11,8,38
2,2015-01-18,12,42
3,2015-01-25,8,41
4,2015-02-01,8,45
5,2015-02-08,7,45
6,2015-02-15,8,38
7,2015-02-22,10,42
8,2015-03-01,9,41
9,2015-03-08,7,41
10,2015-03-15,8,38
11,2015-03-22,9,34
12,2015-03-29,7,38
13,2015-04-05,9,34
14,2015-04-12,18,40
15,2015-04-19,10,41
16,2015-04-26,6,38
17,2015-05-03,7,37
18,2015-05-10,8,35
19,2015-05-17,2,36
20,2015-05-24,8,31
21,2015-05-31,7,34
22,2015-06-07,5,31
23,2015-06-14,3,27
24,2015-06-21,12,28
25,2015-06-28,5,36
26,2015-07-05,11,28
27,2015-07-12,9,25
28,2015-07-19,9,28
29,2015-07-26,9,31
30,2015-08-02,6,27
31,2015-08-09,7,77
32,2015-08-16,7,55
33,2015-08-23,9,57
34,2015-08-30,9,61
35,2015-09-06,12,47
36,2015-09-13,8,49
37,2015-09-20,6,49
38,2015-09-27,8,46
39,2015-10-04,7,56
40,2015-10-11,6,51
41,2015-10-18,7,49
42,2015-10-25,7,42
43,2015-11-01,9,48
44,2015-11-08,8,51
45,2015-11-15,5,50
46,2015-11-22,8,40
47,2015-11-29,12,45
48,2015-12-06,7,51
49,2015-12-13,5,43
50,2015-12-20,5,33
51,2015-12-27,11,28
52,2016-01-03,7,33
53,2016-01-10,8,39
54,2016-01-17,7,36
55,2016-01-24,8,40
56,2016-01-31,10,47
57,2016-02-07,8,39
58,2016-02-14,8,41
59,2016-02-21,8,38
60,2016-02-28,8,39
61,2016-03-06,10,39
62,2016-03-13,7,35
63,2016-03-20,5,36
64,2016-03-27,6,37
65,2016-04-03,8,36
66,2016-04-10,10,38
67,2016-04-17,12,32
68,2016-04-24,12,39
69,2016-05-01,16,34
70,2016-05-08,17,33
71,2016-05-15,19,34
72,2016-05-22,25,37
73,2016-05-29,18,27
74,2016-06-05,16,29
75,2016-06-12,15,27
76,2016-06-19,11,25
77,2016-06-26,10,24
78,2016-07-03,14,26
79,2016-07-10,13,29
80,2016-07-17,15,28
81,2016-07-24,14,30
82,2016-07-31,13,33
83,2016-08-07,12,32
84,2016-08-14,10,37
85,2016-08-21,12,51
86,2016-08-28,10,52
87,2016-09-04,11,51
88,2016-09-11,11,45
89,2016-09-18,9,41
90,2016-09-25,8,36
91,2016-10-02,7,36
92,2016-10-09,9,36
93,2016-10-16,7,39
94,2016-10-23,9,41
95,2016-10-30,10,38
96,2016-11-06,11,36
97,2016-11-13,16,40
98,2016-11-20,11,37
99,2016-11-27,9,34
100,2016-12-04,8,42
101,2016-12-11,6,36
102,2016-12-18,9,39
103,2016-12-25,13,27
104,2017-01-01,12,37
105,2017-01-08,11,34
106,2017-01-15,9,34
107,2017-01-22,7,38
108,2017-01-29,7,41
109,2017-02-05,10,38
110,2017-02-12,7,43
111,2017-02-19,6,35
112,2017-02-26,7,40
113,2017-03-05,8,37
114,2017-03-12,7,38
115,2017-03-19,8,35
116,2017-03-26,8,35
117,2017-04-02,10,35
118,2017-04-09,8,31
119,2017-04-16,7,35
120,2017-04-23,7,36
121,2017-04-30,6,34
122,2017-05-07,9,38
123,2017-05-14,7,37
124,2017-05-21,6,35
125,2017-05-28,6,35
126,2017-06-04,8,30
127,2017-06-11,9,29
128,2017-06-18,7,32
129,2017-06-25,7,28
130,2017-07-02,11,26
131,2017-07-09,7,26
132,2017-07-16,8,26
133,2017-07-23,5,28
134,2017-07-30,8,30
135,2017-08-06,11,26
136,2017-08-13,12,35
137,2017-08-20,16,52
138,2017-08-27,46,45
139,2017-09-03,16,41
140,2017-09-10,10,45
141,2017-09-17,13,44
142,2017-09-24,12,37
143,2017-10-01,37,36
144,2017-10-08,60,46
145,2017-10-15,45,44
146,2017-10-22,22,45
147,2017-10-29,18,39
148,2017-11-05,33,39
149,2017-11-12,21,42
150,2017-11-19,51,35
151,2017-11-26,21,39
152,2017-12-03,21,38
153,2017-12-10,21,38
154,2017-12-17,21,34
155,2017-12-24,21,28
156,2017-12-31,18,31
157,2018-01-07,21,36
158,2018-01-14,18,34
159,2018-01-21,20,41
160,2018-01-28,46,41
161,2018-02-04,87,43
162,2018-02-11,21,39
163,2018-02-18,25,39
164,2018-02-25,33,41
165,2018-03-04,40,40
166,2018-03-11,33,43
167,2018-03-18,40,41
168,2018-03-25,100,31
169,2018-04-01,25,34
170,2018-04-08,21,34
171,2018-04-15,26,39
172,2018-04-22,31,37
173,2018-04-29,36,38
174,2018-05-06,26,34
175,2018-05-13,24,33
176,2018-05-20,15,33
177,2018-05-27,16,31
178,2018-06-03,15,27
179,2018-06-10,16,30
180,2018-06-17,15,33
181,2018-06-24,16,33
182,2018-07-01,13,28
183,2018-07-08,17,28
184,2018-07-15,16,27
185,2018-07-22,18,24
186,2018-07-29,17,26
187,2018-08-05,19,28
188,2018-08-12,15,33
189,2018-08-19,15,42
190,2018-08-26,15,54
191,2018-09-02,11,37
192,2018-09-09,11,46
193,2018-09-16,9,40
194,2018-09-23,10,40
195,2018-09-30,6,43
196,2018-10-07,12,36
197,2018-10-14,9,44
198,2018-10-21,13,44
199,2018-10-28,11,38
200,2018-11-04,12,41
201,2018-11-11,12,38
202,2018-11-18,17,36
203,2018-11-25,14,39
204,2018-12-02,15,37
205,2018-12-09,13,40
206,2018-12-16,12,39
207,2018-12-23,14,26
208,2018-12-30,15,35
209,2019-01-06,14,36
210,2019-01-13,20,37
211,2019-01-20,19,40
212,2019-01-27,14,41
213,2019-02-03,22,42
214,2019-02-10,18,37
215,2019-02-17,17,39
216,2019-02-24,14,41
217,2019-03-03,30,43
218,2019-03-10,25,32
219,2019-03-17,34,37
220,2019-03-24,30,32
221,2019-03-31,29,38
222,2019-04-07,15,36
223,2019-04-14,17,35
224,2019-04-21,34,33
225,2019-04-28,35,35
226,2019-05-05,42,35
227,2019-05-12,36,34
228,2019-05-19,24,36
229,2019-05-26,32,30
230,2019-06-02,27,39
231,2019-06-09,27,27
232,2019-06-16,35,34
233,2019-06-23,23,26
234,2019-06-30,11,26
235,2019-07-07,17,27
236,2019-07-14,23,32
237,2019-07-21,26,25
238,2019-07-28,22,31
239,2019-08-04,27,28
240,2019-08-11,30,33
241,2019-08-18,14,39
242,2019-08-25,19,46
243,2019-09-01,19,43
244,2019-09-08,26,43
245,2019-09-15,16,46
246,2019-09-22,17,43
247,2019-09-29,21,38
248,2019-10-06,30,42
249,2019-10-13,13,40
250,2019-10-20,10,45
251,2019-10-27,11,45
252,2019-11-03,21,43
253,2019-11-10,44,44
254,2019-11-17,12,43
255,2019-11-24,19,31
256,2019-12-01,26,41
257,2019-12-08,18,37
258,2019-12-15,9,34
259,2019-12-22,12,32
260,2019-12-29,10,30
