,date,U2,Alphabet
0,2015-01-04,10,36
1,2015-01-11,11,32
2,2015-01-18,13,36
3,2015-01-25,8,35
4,2015-02-01,10,39
5,2015-02-08,7,38
6,2015-02-15,9,33
7,2015-02-22,11,36
8,2015-03-01,11,35
9,2015-03-08,10,35
10,2015-03-15,9,33
11,2015-03-22,8,30
12,2015-03-29,7,33
13,2015-04-05,6,29
14,2015-04-12,9,35
15,2015-04-19,9,35
16,2015-04-26,12,33
17,2015-05-03,12,32
18,2015-05-10,17,30
19,2015-05-17,17,31
20,2015-05-24,19,27
21,2015-05-31,16,29
22,2015-06-07,13,26
23,2015-06-14,12,23
24,2015-06-21,15,24
25,2015-06-28,13,31
26,2015-07-05,8,24
27,2015-07-12,8,22
28,2015-07-19,14,24
29,2015-07-26,9,27
30,2015-08-02,9,23
31,2015-08-09,9,66
32,2015-08-16,6,47
33,2015-08-23,8,49
34,2015-08-30,6,52
35,2015-09-06,10,40
36,2015-09-13,7,42
37,2015-09-20,9,42
38,2015-09-27,6,40
39,2015-10-04,8,48
40,2015-10-11,7,44
41,2015-10-18,5,42
42,2015-10-25,7,36
43,2015-11-01,5,41
44,2015-11-08,7,44
45,2015-11-15,6,43
46,2015-11-22,9,35
47,2015-11-29,6,38
48,2015-12-06,15,44
49,2015-12-13,9,37
50,2015-12-20,6,28
51,2015-12-27,8,24
52,2016-01-03,7,29
53,2016-01-10,6,33
54,2016-01-17,6,31
55,2016-01-24,6,34
56,2016-01-31,7,40
57,2016-02-07,6,34
58,2016-02-14,6,35
59,2016-02-21,6,32
60,2016-02-28,6,33
61,2016-03-06,5,34
62,2016-03-13,7,30
63,2016-03-20,6,31
64,2016-03-27,7,31
65,2016-04-03,6,31
66,2016-04-10,7,33
67,2016-04-17,6,28
68,2016-04-24,6,33
69,2016-05-01,6,29
70,2016-05-08,5,28
71,2016-05-15,5,29
72,2016-05-22,7,32
73,2016-05-29,4,24
74,2016-06-05,4,25
75,2016-06-12,6,23
76,2016-06-19,7,21
77,2016-06-26,5,20
78,2016-07-03,4,22
79,2016-07-10,5,25
80,2016-07-17,6,24
81,2016-07-24,7,26
82,2016-07-31,6,29
83,2016-08-07,3,28
84,2016-08-14,4,32
85,2016-08-21,5,44
86,2016-08-28,3,45
87,2016-09-04,5,44
88,2016-09-11,4,39
89,2016-09-18,6,35
90,2016-09-25,4,31
91,2016-10-02,8,31
92,2016-10-09,5,31
93,2016-10-16,4,34
94,2016-10-23,5,36
95,2016-10-30,2,33
96,2016-11-06,5,31
97,2016-11-13,6,34
98,2016-11-20,6,32
99,2016-11-27,4,30
100,2016-12-04,5,36
101,2016-12-11,4,31
102,2016-12-18,5,33
103,2016-12-25,7,23
104,2017-01-01,10,32
105,2017-01-08,76,30
106,2017-01-15,46,29
107,2017-01-22,11,33
108,2017-01-29,15,35
109,2017-02-05,12,33
110,2017-02-12,10,37
111,2017-02-19,8,30
112,2017-02-26,10,35
113,2017-03-05,11,32
114,2017-03-12,13,33
115,2017-03-19,11,30
116,2017-03-26,9,30
117,2017-04-02,10,30
118,2017-04-09,8,27
119,2017-04-16,8,30
120,2017-04-23,10,31
121,2017-04-30,12,29
122,2017-05-07,17,33
123,2017-05-14,17,31
124,2017-05-21,18,30
125,2017-05-28,17,30
126,2017-06-04,34,25
127,2017-06-11,31,25
128,2017-06-18,23,28
129,2017-06-25,100,24
130,2017-07-02,81,23
131,2017-07-09,13,22
132,2017-07-16,9,23
133,2017-07-23,9,24
134,2017-07-30,9,26
135,2017-08-06,8,22
136,2017-08-13,9,30
137,2017-08-20,7,45
138,2017-08-27,11,39
139,2017-09-03,17,35
140,2017-09-10,13,39
141,2017-09-17,9,38
142,2017-09-24,7,32
143,2017-10-01,8,31
144,2017-10-08,7,39
145,2017-10-15,9,37
146,2017-10-22,7,38
147,2017-10-29,9,33
148,2017-11-05,8,33
149,2017-11-12,8,36
150,2017-11-19,5,30
151,2017-11-26,7,34
152,2017-12-03,17,33
153,2017-12-10,7,32
154,2017-12-17,12,30
155,2017-12-24,9,24
156,2017-12-31,10,26
157,2018-01-07,6,31
158,2018-01-14,7,30
159,2018-01-21,6,36
160,2018-01-28,17,35
161,2018-02-04,6,37
162,2018-02-11,5,34
163,2018-02-18,5,33
164,2018-02-25,6,36
165,2018-03-04,6,34
166,2018-03-11,6,37
167,2018-03-18,7,35
168,2018-03-25,7,27
169,2018-04-01,9,29
170,2018-04-08,6,29
171,2018-04-15,8,34
172,2018-04-22,5,32
173,2018-04-29,8,33
174,2018-05-06,9,29
175,2018-05-13,11,28
176,2018-05-20,11,28
177,2018-05-27,7,27
178,2018-06-03,9,23
179,2018-06-10,7,26
180,2018-06-17,8,28
181,2018-06-24,9,28
182,2018-07-01,5,24
183,2018-07-08,6,24
184,2018-07-15,7,23
185,2018-07-22,7,21
186,2018-07-29,5,23
187,2018-08-05,4,24
188,2018-08-12,7,29
189,2018-08-19,5,36
190,2018-08-26,5,46
191,2018-09-02,4,31
192,2018-09-09,5,39
193,2018-09-16,3,34
194,2018-09-23,4,35
195,2018-09-30,5,37
196,2018-10-07,4,31
197,2018-10-14,4,38
198,2018-10-21,6,38
199,2018-10-28,4,33
200,2018-11-04,6,35
201,2018-11-11,6,33
202,2018-11-18,5,31
203,2018-11-25,3,33
204,2018-12-02,4,32
205,2018-12-09,4,34
206,2018-12-16,6,33
207,2018-12-23,7,23
208,2018-12-30,6,30
209,2019-01-06,5,31
210,2019-01-13,6,32
211,2019-01-20,4,35
212,2019-01-27,5,35
213,2019-02-03,5,36
214,2019-02-10,6,32
215,2019-02-17,6,33
216,2019-02-24,3,35
217,2019-03-03,4,36
218,2019-03-10,7,28
219,2019-03-17,5,32
220,2019-03-24,6,28
221,2019-03-31,5,32
222,2019-04-07,4,31
223,2019-04-14,4,30
224,2019-04-21,4,29
225,2019-04-28,5,30
226,2019-05-05,6,30
227,2019-05-12,4,29
228,2019-05-19,3,31
229,2019-05-26,5,26
230,2019-06-02,6,34
231,2019-06-09,3,23
232,2019-06-16,5,29
233,2019-06-23,5,22
234,2019-06-30,3,22
235,2019-07-07,4,23
236,2019-07-14,5,27
237,2019-07-21,4,22
238,2019-07-28,4,26
239,2019-08-04,4,24
240,2019-08-11,5,28
241,2019-08-18,5,33
242,2019-08-25,3,39
243,2019-09-01,3,37
244,2019-09-08,4,37
245,2019-09-15,3,40
246,2019-09-22,4,37
247,2019-09-29,4,33
248,2019-10-06,4,36
249,2019-10-13,4,34
250,2019-10-20,4,39
251,2019-10-27,4,39
252,2019-11-03,5,37
253,2019-11-10,3,38
254,2019-11-17,5,37
255,2019-11-24,5,27
256,2019-12-01,3,35
257,2019-12-08,5,32
258,2019-12-15,6,29
259,2019-12-22,3,27
260,2019-12-29,4,26
