,date,Bruno Mars,Alphabet
0,2015-01-04,24,20
1,2015-01-11,35,25
2,2015-01-18,34,30
3,2015-01-25,33,18
4,2015-02-01,35,23
5,2015-02-08,26,23
6,2015-02-15,29,25
7,2015-02-22,28,21
8,2015-03-01,23,23
9,2015-03-08,22,23
10,2015-03-15,24,23
11,2015-03-22,21,30
12,2015-03-29,15,19
13,2015-04-05,16,19
14,2015-04-12,16,20
15,2015-04-19,17,26
16,2015-04-26,15,21
17,2015-05-03,11,19
18,2015-05-10,11,21
19,2015-05-17,16,22
20,2015-05-24,10,21
21,2015-05-31,17,22
22,2015-06-07,11,16
23,2015-06-14,15,20
24,2015-06-21,12,18
25,2015-06-28,10,30
26,2015-07-05,9,23
27,2015-07-12,9,29
28,2015-07-19,8,22
29,2015-07-26,8,20
30,2015-08-02,0,26
31,2015-08-09,4,41
32,2015-08-16,10,31
33,2015-08-23,7,41
34,2015-08-30,7,35
35,2015-09-06,8,28
36,2015-09-13,8,35
37,2015-09-20,5,23
38,2015-09-27,7,36
39,2015-10-04,8,37
40,2015-10-11,11,25
41,2015-10-18,9,30
42,2015-10-25,4,41
43,2015-11-01,7,25
44,2015-11-08,3,34
45,2015-11-15,7,28
46,2015-11-22,16,28
47,2015-11-29,3,26
48,2015-12-06,3,34
49,2015-12-13,8,22
50,2015-12-20,6,16
51,2015-12-27,3,20
52,2016-01-03,7,23
53,2016-01-10,6,18
54,2016-01-17,7,19
55,2016-01-24,10,22
56,2016-01-31,13,28
57,2016-02-07,59,24
58,2016-02-14,18,34
59,2016-02-21,10,30
60,2016-02-28,12,26
61,2016-03-06,7,23
62,2016-03-13,7,16
63,2016-03-20,6,26
64,2016-03-27,6,25
65,2016-04-03,6,21
66,2016-04-10,10,19
67,2016-04-17,6,25
68,2016-04-24,6,24
69,2016-05-01,10,19
70,2016-05-08,6,24
71,2016-05-15,10,20
72,2016-05-22,10,22
73,2016-05-29,7,21
74,2016-06-05,6,16
75,2016-06-12,5,25
76,2016-06-19,5,24
77,2016-06-26,6,16
78,2016-07-03,13,20
79,2016-07-10,7,20
80,2016-07-17,6,23
81,2016-07-24,8,20
82,2016-07-31,8,19
83,2016-08-07,9,23
84,2016-08-14,5,27
85,2016-08-21,8,38
86,2016-08-28,6,31
87,2016-09-04,4,33
88,2016-09-11,8,24
89,2016-09-18,4,31
90,2016-09-25,6,21
91,2016-10-02,17,23
92,2016-10-09,11,22
93,2016-10-16,27,22
94,2016-10-23,15,24
95,2016-10-30,13,25
96,2016-11-06,16,26
97,2016-11-13,29,27
98,2016-11-20,41,19
99,2016-11-27,22,23
100,2016-12-04,24,29
101,2016-12-11,43,24
102,2016-12-18,19,22
103,2016-12-25,17,19
104,2017-01-01,20,18
105,2017-01-08,18,25
106,2017-01-15,12,18
107,2017-01-22,13,25
