,date,Ed Sheeran,Alphabet
0,2015-01-04,36,21
1,2015-01-11,37,26
2,2015-01-18,50,29
3,2015-01-25,49,18
4,2015-02-01,41,22
5,2015-02-08,100,23
6,2015-02-15,63,24
7,2015-02-22,78,19
8,2015-03-01,56,22
9,2015-03-08,36,23
10,2015-03-15,38,23
11,2015-03-22,27,29
12,2015-03-29,33,18
13,2015-04-05,29,19
14,2015-04-12,39,19
15,2015-04-19,34,26
16,2015-04-26,26,20
17,2015-05-03,51,18
18,2015-05-10,39,21
19,2015-05-17,46,20
20,2015-05-24,29,21
21,2015-05-31,33,22
22,2015-06-07,31,16
23,2015-06-14,40,20
24,2015-06-21,27,18
25,2015-06-28,12,29
26,2015-07-05,12,22
27,2015-07-12,26,26
28,2015-07-19,14,22
29,2015-07-26,13,20
30,2015-08-02,21,25
31,2015-08-09,19,40
32,2015-08-16,23,30
33,2015-08-23,24,38
34,2015-08-30,22,33
35,2015-09-06,14,27
36,2015-09-13,17,33
37,2015-09-20,11,24
38,2015-09-27,18,36
39,2015-10-04,14,34
40,2015-10-11,16,24
41,2015-10-18,18,29
42,2015-10-25,11,40
43,2015-11-01,14,25
44,2015-11-08,17,33
45,2015-11-15,13,28
46,2015-11-22,17,28
47,2015-11-29,14,26
48,2015-12-06,13,32
49,2015-12-13,12,20
50,2015-12-20,7,16
51,2015-12-27,13,20
52,2016-01-03,11,22
53,2016-01-10,11,18
54,2016-01-17,7,19
55,2016-01-24,8,21
56,2016-01-31,7,27
57,2016-02-07,8,23
58,2016-02-14,17,34
59,2016-02-21,9,29
60,2016-02-28,8,25
61,2016-03-06,10,22
62,2016-03-13,10,16
63,2016-03-20,9,25
64,2016-03-27,8,25
65,2016-04-03,8,21
66,2016-04-10,5,19
67,2016-04-17,7,25
68,2016-04-24,7,24
69,2016-05-01,5,19
70,2016-05-08,7,23
71,2016-05-15,5,19
72,2016-05-22,8,21
73,2016-05-29,9,21
74,2016-06-05,14,17
75,2016-06-12,8,25
76,2016-06-19,8,23
77,2016-06-26,4,15
78,2016-07-03,6,20
79,2016-07-10,8,20
80,2016-07-17,0,23
81,2016-07-24,7,19
82,2016-07-31,0,18
83,2016-08-07,7,21
84,2016-08-14,3,26
85,2016-08-21,9,37
86,2016-08-28,6,30
87,2016-09-04,6,33
88,2016-09-11,4,24
89,2016-09-18,5,31
90,2016-09-25,3,19
91,2016-10-02,6,22
92,2016-10-09,8,22
93,2016-10-16,9,21
94,2016-10-23,6,24
95,2016-10-30,10,25
96,2016-11-06,2,26
97,2016-11-13,6,26
98,2016-11-20,7,19
99,2016-11-27,3,23
100,2016-12-04,6,29
101,2016-12-11,5,24
102,2016-12-18,6,22
103,2016-12-25,5,19
104,2017-01-01,23,16
105,2017-01-08,18,24
106,2017-01-15,16,18
107,2017-01-22,18,24
108,2017-01-29,19,28
109,2017-02-05,23,24
110,2017-02-12,47,26
111,2017-02-19,27,25
112,2017-02-26,29,21
113,2017-03-05,79,21
114,2017-03-12,81,15
115,2017-03-19,50,20
116,2017-03-26,37,26
117,2017-04-02,25,21
118,2017-04-09,25,24
119,2017-04-16,22,18
120,2017-04-23,19,29
121,2017-04-30,19,24
122,2017-05-07,17,19
123,2017-05-14,20,27
124,2017-05-21,20,25
125,2017-05-28,21,22
126,2017-06-04,24,15
127,2017-06-11,19,21
128,2017-06-18,25,12
129,2017-06-25,22,16
130,2017-07-02,26,13
131,2017-07-09,18,16
132,2017-07-16,69,20
133,2017-07-23,19,15
134,2017-07-30,21,21
135,2017-08-06,25,18
136,2017-08-13,68,16
137,2017-08-20,18,27
138,2017-08-27,18,29
139,2017-09-03,13,24
140,2017-09-10,14,27
141,2017-09-17,18,25
142,2017-09-24,20,32
143,2017-10-01,12,29
144,2017-10-08,20,31
145,2017-10-15,27,30
146,2017-10-22,22,30
147,2017-10-29,17,33
148,2017-11-05,21,18
149,2017-11-12,22,23
150,2017-11-19,12,22
151,2017-11-26,13,24
152,2017-12-03,38,30
153,2017-12-10,28,26
154,2017-12-17,38,24
155,2017-12-24,31,18
156,2017-12-31,28,22
157,2018-01-07,30,29
158,2018-01-14,31,26
159,2018-01-21,40,29
160,2018-01-28,42,25
161,2018-02-04,25,23
162,2018-02-11,24,31
163,2018-02-18,17,22
164,2018-02-25,23,21
165,2018-03-04,22,27
166,2018-03-11,23,27
167,2018-03-18,19,27
168,2018-03-25,18,22
169,2018-04-01,14,26
170,2018-04-08,15,22
171,2018-04-15,13,23
172,2018-04-22,17,23
173,2018-04-29,14,24
174,2018-05-06,13,21
175,2018-05-13,13,19
176,2018-05-20,15,20
177,2018-05-27,8,22
178,2018-06-03,17,18
179,2018-06-10,10,19
180,2018-06-17,7,15
181,2018-06-24,20,19
182,2018-07-01,12,18
183,2018-07-08,16,18
184,2018-07-15,19,20
185,2018-07-22,20,22
186,2018-07-29,11,17
187,2018-08-05,11,28
188,2018-08-12,11,26
189,2018-08-19,12,30
190,2018-08-26,15,29
191,2018-09-02,14,23
192,2018-09-09,16,29
193,2018-09-16,15,24
194,2018-09-23,11,29
195,2018-09-30,7,29
196,2018-10-07,17,27
197,2018-10-14,20,23
198,2018-10-21,21,28
199,2018-10-28,20,21
200,2018-11-04,11,22
201,2018-11-11,11,21
202,2018-11-18,9,20
203,2018-11-25,8,28
204,2018-12-02,9,25
205,2018-12-09,8,28
206,2018-12-16,10,24
207,2018-12-23,6,20
208,2018-12-30,10,21
209,2019-01-06,12,26
210,2019-01-13,13,24
211,2019-01-20,8,22
212,2019-01-27,14,25
213,2019-02-03,7,23
214,2019-02-10,8,23
215,2019-02-17,18,26
216,2019-02-24,9,21
217,2019-03-03,10,23
218,2019-03-10,8,27
219,2019-03-17,9,17
220,2019-03-24,11,28
221,2019-03-31,6,26
222,2019-04-07,9,23
223,2019-04-14,8,19
224,2019-04-21,6,22
225,2019-04-28,7,19
226,2019-05-05,10,21
227,2019-05-12,9,27
228,2019-05-19,8,14
229,2019-05-26,10,15
230,2019-06-02,10,21
231,2019-06-09,11,18
232,2019-06-16,13,22
233,2019-06-23,14,17
234,2019-06-30,14,20
235,2019-07-07,24,18
236,2019-07-14,26,21
237,2019-07-21,16,23
238,2019-07-28,16,19
239,2019-08-04,19,27
240,2019-08-11,6,23
241,2019-08-18,12,28
242,2019-08-25,9,32
243,2019-09-01,9,23
244,2019-09-08,6,26
245,2019-09-15,7,34
246,2019-09-22,9,27
247,2019-09-29,10,26
248,2019-10-06,13,25
249,2019-10-13,7,31
250,2019-10-20,6,20
251,2019-10-27,9,33
252,2019-11-03,8,24
253,2019-11-10,9,28
254,2019-11-17,8,28
255,2019-11-24,12,21
256,2019-12-01,8,23
257,2019-12-08,6,30
258,2019-12-15,8,27
259,2019-12-22,11,17
260,2019-12-29,13,26
