,date,Guns N' Roses,Alphabet
0,2015-01-04,11,32
1,2015-01-11,12,41
2,2015-01-18,6,49
3,2015-01-25,7,30
4,2015-02-01,4,38
5,2015-02-08,8,38
6,2015-02-15,4,40
7,2015-02-22,5,34
8,2015-03-01,0,37
9,2015-03-08,14,37
10,2015-03-15,8,37
11,2015-03-22,9,49
12,2015-03-29,7,30
13,2015-04-05,8,31
14,2015-04-12,3,32
15,2015-04-19,8,41
16,2015-04-26,6,34
17,2015-05-03,6,31
18,2015-05-10,2,34
19,2015-05-17,8,35
20,2015-05-24,4,34
21,2015-05-31,7,35
22,2015-06-07,13,26
23,2015-06-14,6,33
24,2015-06-21,8,30
25,2015-06-28,0,49
26,2015-07-05,7,37
27,2015-07-12,0,46
28,2015-07-19,0,36
29,2015-07-26,11,33
30,2015-08-02,5,42
31,2015-08-09,0,67
32,2015-08-16,0,51
33,2015-08-23,0,67
34,2015-08-30,11,56
35,2015-09-06,0,46
36,2015-09-13,22,57
37,2015-09-20,4,38
38,2015-09-27,11,59
39,2015-10-04,0,59
40,2015-10-11,13,40
41,2015-10-18,10,48
42,2015-10-25,7,66
43,2015-11-01,4,41
44,2015-11-08,11,56
45,2015-11-15,20,45
46,2015-11-22,28,46
47,2015-11-29,19,42
48,2015-12-06,15,56
49,2015-12-13,12,35
50,2015-12-20,0,27
51,2015-12-27,23,33
52,2016-01-03,23,37
53,2016-01-10,18,30
54,2016-01-17,17,31
55,2016-01-24,11,36
56,2016-01-31,11,45
57,2016-02-07,8,39
58,2016-02-14,11,56
59,2016-02-21,4,48
60,2016-02-28,9,42
61,2016-03-06,10,37
62,2016-03-13,6,26
63,2016-03-20,11,42
64,2016-03-27,29,41
65,2016-04-03,40,35
66,2016-04-10,22,31
67,2016-04-17,24,41
68,2016-04-24,15,40
69,2016-05-01,8,31
70,2016-05-08,10,38
71,2016-05-15,12,33
72,2016-05-22,11,35
73,2016-05-29,8,34
74,2016-06-05,8,27
75,2016-06-12,15,41
76,2016-06-19,12,38
77,2016-06-26,26,25
78,2016-07-03,18,33
79,2016-07-10,20,33
80,2016-07-17,13,38
81,2016-07-24,19,33
82,2016-07-31,32,31
83,2016-08-07,13,37
84,2016-08-14,17,44
85,2016-08-21,12,62
86,2016-08-28,9,51
87,2016-09-04,6,54
88,2016-09-11,6,39
89,2016-09-18,5,51
90,2016-09-25,8,34
91,2016-10-02,0,37
92,2016-10-09,0,36
93,2016-10-16,8,35
94,2016-10-23,8,40
95,2016-10-30,11,41
96,2016-11-06,10,43
97,2016-11-13,8,43
98,2016-11-20,6,31
99,2016-11-27,12,38
100,2016-12-04,17,47
