,date,Pink,Alphabet
0,2015-01-04,9,27
1,2015-01-11,4,35
2,2015-01-18,10,42
3,2015-01-25,7,26
4,2015-02-01,8,33
5,2015-02-08,6,32
6,2015-02-15,6,35
7,2015-02-22,4,29
8,2015-03-01,4,32
9,2015-03-08,9,32
10,2015-03-15,3,32
11,2015-03-22,6,42
12,2015-03-29,7,26
13,2015-04-05,9,27
14,2015-04-12,17,27
15,2015-04-19,9,36
16,2015-04-26,4,29
17,2015-05-03,6,26
18,2015-05-10,5,30
19,2015-05-17,6,30
20,2015-05-24,12,29
21,2015-05-31,9,30
22,2015-06-07,8,22
23,2015-06-14,6,29
24,2015-06-21,5,26
25,2015-06-28,8,42
26,2015-07-05,5,31
27,2015-07-12,5,40
28,2015-07-19,4,31
29,2015-07-26,10,28
30,2015-08-02,11,36
31,2015-08-09,0,58
32,2015-08-16,3,44
33,2015-08-23,5,58
34,2015-08-30,0,48
35,2015-09-06,11,39
36,2015-09-13,8,49
37,2015-09-20,9,33
38,2015-09-27,4,50
39,2015-10-04,10,51
40,2015-10-11,10,34
41,2015-10-18,5,41
42,2015-10-25,11,57
43,2015-11-01,9,35
44,2015-11-08,5,48
45,2015-11-15,3,39
46,2015-11-22,8,39
47,2015-11-29,7,36
48,2015-12-06,0,48
49,2015-12-13,6,30
50,2015-12-20,11,23
51,2015-12-27,7,28
52,2016-01-03,3,32
53,2016-01-10,7,26
54,2016-01-17,5,27
55,2016-01-24,8,31
56,2016-01-31,8,39
57,2016-02-07,6,34
58,2016-02-14,9,48
59,2016-02-21,9,42
60,2016-02-28,4,36
61,2016-03-06,10,32
62,2016-03-13,7,22
63,2016-03-20,3,36
64,2016-03-27,5,35
65,2016-04-03,8,30
66,2016-04-10,10,27
67,2016-04-17,6,35
68,2016-04-24,4,34
69,2016-05-01,13,26
70,2016-05-08,8,33
71,2016-05-15,12,29
72,2016-05-22,25,30
73,2016-05-29,12,29
74,2016-06-05,23,23
75,2016-06-12,17,36
76,2016-06-19,17,33
77,2016-06-26,10,22
78,2016-07-03,9,29
79,2016-07-10,12,28
80,2016-07-17,10,32
81,2016-07-24,16,28
82,2016-07-31,6,27
83,2016-08-07,14,32
84,2016-08-14,9,38
85,2016-08-21,8,53
86,2016-08-28,7,44
87,2016-09-04,0,46
88,2016-09-11,4,33
89,2016-09-18,7,44
90,2016-09-25,10,29
91,2016-10-02,13,32
92,2016-10-09,9,31
93,2016-10-16,13,30
94,2016-10-23,15,34
95,2016-10-30,3,35
96,2016-11-06,9,37
97,2016-11-13,13,37
98,2016-11-20,8,26
99,2016-11-27,3,33
100,2016-12-04,6,41
101,2016-12-11,6,33
102,2016-12-18,6,31
103,2016-12-25,17,26
104,2017-01-01,6,25
105,2017-01-08,5,35
106,2017-01-15,7,25
107,2017-01-22,10,35
108,2017-01-29,9,40
109,2017-02-05,3,35
110,2017-02-12,7,36
