,date,The Rolling Stones,Alphabet
0,2015-01-04,13,35
1,2015-01-11,8,46
2,2015-01-18,13,54
3,2015-01-25,12,33
4,2015-02-01,7,42
5,2015-02-08,15,42
6,2015-02-15,17,45
7,2015-02-22,13,38
8,2015-03-01,12,41
9,2015-03-08,12,41
10,2015-03-15,21,41
11,2015-03-22,17,54
12,2015-03-29,49,34
13,2015-04-05,38,35
14,2015-04-12,32,35
15,2015-04-19,25,46
16,2015-04-26,17,38
17,2015-05-03,18,34
18,2015-05-10,20,38
19,2015-05-17,20,39
20,2015-05-24,32,38
21,2015-05-31,36,39
22,2015-06-07,100,29
23,2015-06-14,34,37
24,2015-06-21,27,33
25,2015-06-28,12,55
26,2015-07-05,8,41
27,2015-07-12,6,51
28,2015-07-19,9,40
29,2015-07-26,5,36
30,2015-08-02,0,46
31,2015-08-09,17,75
32,2015-08-16,7,56
33,2015-08-23,15,75
34,2015-08-30,12,63
35,2015-09-06,0,51
36,2015-09-13,6,63
37,2015-09-20,14,42
38,2015-09-27,0,65
39,2015-10-04,7,66
40,2015-10-11,8,44
41,2015-10-18,9,53
42,2015-10-25,11,73
43,2015-11-01,7,45
44,2015-11-08,8,62
45,2015-11-15,12,50
46,2015-11-22,6,51
47,2015-11-29,33,46
48,2015-12-06,17,62
49,2015-12-13,0,39
50,2015-12-20,11,29
51,2015-12-27,9,36
52,2016-01-03,9,41
53,2016-01-10,10,33
54,2016-01-17,13,35
55,2016-01-24,0,39
56,2016-01-31,5,50
57,2016-02-07,9,43
58,2016-02-14,20,62
59,2016-02-21,7,54
60,2016-02-28,15,47
61,2016-03-06,12,41
62,2016-03-13,0,29
63,2016-03-20,7,47
64,2016-03-27,15,46
65,2016-04-03,20,38
66,2016-04-10,7,34
67,2016-04-17,9,46
68,2016-04-24,8,44
69,2016-05-01,11,34
70,2016-05-08,4,42
71,2016-05-15,11,37
72,2016-05-22,10,39
73,2016-05-29,12,37
74,2016-06-05,11,30
75,2016-06-12,13,46
76,2016-06-19,9,43
77,2016-06-26,8,28
78,2016-07-03,5,37
79,2016-07-10,12,36
80,2016-07-17,10,42
81,2016-07-24,18,37
82,2016-07-31,0,35
83,2016-08-07,6,41
84,2016-08-14,11,49
85,2016-08-21,9,69
86,2016-08-28,11,56
87,2016-09-04,16,60
88,2016-09-11,14,43
89,2016-09-18,4,57
90,2016-09-25,15,37
91,2016-10-02,18,41
92,2016-10-09,10,40
93,2016-10-16,12,39
94,2016-10-23,9,44
95,2016-10-30,13,46
96,2016-11-06,8,48
97,2016-11-13,6,48
98,2016-11-20,15,34
99,2016-11-27,14,42
100,2016-12-04,19,53
101,2016-12-11,7,42
102,2016-12-18,7,40
103,2016-12-25,15,34
104,2017-01-01,7,32
105,2017-01-08,10,45
106,2017-01-15,17,32
107,2017-01-22,9,45
108,2017-01-29,7,51
109,2017-02-05,8,46
110,2017-02-12,9,47
111,2017-02-19,14,46
112,2017-02-26,7,37
113,2017-03-05,10,39
114,2017-03-12,7,27
115,2017-03-19,6,37
116,2017-03-26,11,48
117,2017-04-02,10,37
118,2017-04-09,5,41
119,2017-04-16,4,35
120,2017-04-23,7,53
121,2017-04-30,13,44
122,2017-05-07,4,36
123,2017-05-14,12,50
124,2017-05-21,5,46
125,2017-05-28,19,40
126,2017-06-04,7,27
127,2017-06-11,5,38
128,2017-06-18,15,21
129,2017-06-25,19,30
130,2017-07-02,12,24
131,2017-07-09,9,29
132,2017-07-16,11,36
133,2017-07-23,10,28
134,2017-07-30,15,39
135,2017-08-06,3,32
136,2017-08-13,7,30
137,2017-08-20,6,49
138,2017-08-27,8,53
139,2017-09-03,9,45
140,2017-09-10,7,50
141,2017-09-17,9,46
142,2017-09-24,6,59
143,2017-10-01,9,54
144,2017-10-08,13,56
145,2017-10-15,13,56
146,2017-10-22,6,54
147,2017-10-29,8,60
148,2017-11-05,6,33
149,2017-11-12,9,42
150,2017-11-19,5,40
151,2017-11-26,3,44
152,2017-12-03,6,54
153,2017-12-10,13,48
154,2017-12-17,7,45
155,2017-12-24,9,32
156,2017-12-31,7,40
157,2018-01-07,10,53
158,2018-01-14,11,47
159,2018-01-21,6,53
160,2018-01-28,9,45
161,2018-02-04,12,42
162,2018-02-11,10,57
163,2018-02-18,12,41
164,2018-02-25,8,39
165,2018-03-04,7,50
166,2018-03-11,10,50
167,2018-03-18,6,49
168,2018-03-25,11,41
169,2018-04-01,12,48
170,2018-04-08,6,41
171,2018-04-15,13,42
172,2018-04-22,15,42
173,2018-04-29,11,45
174,2018-05-06,15,39
175,2018-05-13,17,35
176,2018-05-20,10,36
177,2018-05-27,7,39
178,2018-06-03,13,33
179,2018-06-10,10,35
180,2018-06-17,11,28
181,2018-06-24,7,35
182,2018-07-01,6,33
183,2018-07-08,5,33
184,2018-07-15,8,36
185,2018-07-22,0,39
186,2018-07-29,12,31
187,2018-08-05,9,52
