,date,Bruno Mars,Alphabet
0,2015-01-04,35,21
1,2015-01-11,42,28
2,2015-01-18,35,15
3,2015-01-25,35,20
4,2015-02-01,44,26
5,2015-02-08,46,26
6,2015-02-15,41,26
7,2015-02-22,34,24
8,2015-03-01,32,16
9,2015-03-08,32,28
10,2015-03-15,35,24
11,2015-03-22,33,18
12,2015-03-29,35,24
13,2015-04-05,27,20
14,2015-04-12,26,22
15,2015-04-19,22,22
16,2015-04-26,30,21
17,2015-05-03,30,23
18,2015-05-10,24,31
19,2015-05-17,19,44
20,2015-05-24,20,26
21,2015-05-31,23,44
22,2015-06-07,20,44
23,2015-06-14,20,25
24,2015-06-21,23,36
25,2015-06-28,15,24
26,2015-07-05,11,39
27,2015-07-12,18,33
28,2015-07-19,18,28
29,2015-07-26,14,33
30,2015-08-02,7,28
31,2015-08-09,13,76
32,2015-08-16,12,43
33,2015-08-23,12,45
34,2015-08-30,12,53
35,2015-09-06,15,47
36,2015-09-13,14,46
37,2015-09-20,8,58
38,2015-09-27,13,46
39,2015-10-04,5,49
40,2015-10-11,10,45
41,2015-10-18,13,48
42,2015-10-25,10,57
43,2015-11-01,14,45
44,2015-11-08,11,51
45,2015-11-15,13,48
46,2015-11-22,14,38
47,2015-11-29,8,47
48,2015-12-06,4,44
49,2015-12-13,9,44
50,2015-12-20,10,42
51,2015-12-27,10,35
52,2016-01-03,10,37
53,2016-01-10,7,37
54,2016-01-17,9,41
55,2016-01-24,8,37
56,2016-01-31,12,49
57,2016-02-07,88,41
58,2016-02-14,36,44
59,2016-02-21,13,47
60,2016-02-28,12,38
61,2016-03-06,12,38
62,2016-03-13,12,39
63,2016-03-20,9,26
64,2016-03-27,10,45
65,2016-04-03,12,46
66,2016-04-10,5,43
67,2016-04-17,12,31
68,2016-04-24,11,40
69,2016-05-01,11,35
70,2016-05-08,10,31
71,2016-05-15,11,38
72,2016-05-22,14,42
73,2016-05-29,12,40
74,2016-06-05,9,42
75,2016-06-12,8,34
76,2016-06-19,9,32
77,2016-06-26,7,33
78,2016-07-03,7,37
79,2016-07-10,7,30
80,2016-07-17,9,38
81,2016-07-24,7,33
82,2016-07-31,10,34
83,2016-08-07,8,33
84,2016-08-14,7,39
85,2016-08-21,9,36
86,2016-08-28,6,32
87,2016-09-04,9,36
88,2016-09-11,6,38
