,date,Coldplay,Alphabet
0,2015-01-04,7,15
1,2015-01-11,8,20
2,2015-01-18,8,10
3,2015-01-25,10,14
4,2015-02-01,9,18
5,2015-02-08,9,18
6,2015-02-15,8,18
7,2015-02-22,8,17
8,2015-03-01,9,11
9,2015-03-08,6,20
10,2015-03-15,9,16
11,2015-03-22,9,13
12,2015-03-29,7,17
13,2015-04-05,5,14
14,2015-04-12,8,15
15,2015-04-19,4,15
16,2015-04-26,9,15
17,2015-05-03,8,16
18,2015-05-10,6,21
19,2015-05-17,6,30
20,2015-05-24,8,18
21,2015-05-31,12,31
22,2015-06-07,8,31
23,2015-06-14,10,17
24,2015-06-21,6,25
25,2015-06-28,5,16
26,2015-07-05,7,27
27,2015-07-12,8,23
28,2015-07-19,4,19
29,2015-07-26,7,23
30,2015-08-02,6,20
31,2015-08-09,6,53
32,2015-08-16,1,30
33,2015-08-23,8,31
34,2015-08-30,6,37
35,2015-09-06,8,33
36,2015-09-13,9,32
37,2015-09-20,4,40
38,2015-09-27,8,32
39,2015-10-04,5,34
40,2015-10-11,5,31
41,2015-10-18,7,33
42,2015-10-25,8,39
43,2015-11-01,11,31
44,2015-11-08,9,36
45,2015-11-15,8,33
46,2015-11-22,11,27
47,2015-11-29,18,33
48,2015-12-06,20,30
49,2015-12-13,28,31
50,2015-12-20,8,30
51,2015-12-27,10,24
52,2016-01-03,12,26
53,2016-01-10,8,26
54,2016-01-17,10,28
55,2016-01-24,17,26
56,2016-01-31,27,34
57,2016-02-07,100,28
58,2016-02-14,13,30
59,2016-02-21,11,33
60,2016-02-28,7,27
61,2016-03-06,8,26
62,2016-03-13,7,27
63,2016-03-20,10,18
64,2016-03-27,8,31
65,2016-04-03,8,32
66,2016-04-10,12,30
67,2016-04-17,7,22
68,2016-04-24,7,28
69,2016-05-01,7,24
70,2016-05-08,5,22
71,2016-05-15,10,26
72,2016-05-22,5,29
73,2016-05-29,6,28
74,2016-06-05,8,29
75,2016-06-12,9,24
76,2016-06-19,7,23
77,2016-06-26,8,23
78,2016-07-03,7,26
79,2016-07-10,6,21
80,2016-07-17,11,26
81,2016-07-24,11,23
82,2016-07-31,6,24
83,2016-08-07,7,23
84,2016-08-14,9,27
85,2016-08-21,13,25
86,2016-08-28,11,22
87,2016-09-04,12,25
88,2016-09-11,8,27
89,2016-09-18,9,24
90,2016-09-25,7,25
91,2016-10-02,8,26
92,2016-10-09,28,30
93,2016-10-16,12,33
94,2016-10-23,10,30
95,2016-10-30,5,26
96,2016-11-06,7,29
97,2016-11-13,7,29
98,2016-11-20,5,19
99,2016-11-27,8,28
100,2016-12-04,8,28
101,2016-12-11,3,26
102,2016-12-18,9,23
103,2016-12-25,6,25
104,2017-01-01,7,24
105,2017-01-08,5,22
106,2017-01-15,7,33
107,2017-01-22,6,25
108,2017-01-29,9,26
109,2017-02-05,8,31
110,2017-02-12,7,31
111,2017-02-19,11,31
112,2017-02-26,9,30
113,2017-03-05,13,26
114,2017-03-12,8,28
115,2017-03-19,8,30
116,2017-03-26,7,25
117,2017-04-02,7,28
118,2017-04-09,8,23
119,2017-04-16,9,25
120,2017-04-23,7,22
121,2017-04-30,7,31
122,2017-05-07,11,27
123,2017-05-14,6,28
124,2017-05-21,3,27
125,2017-05-28,10,34
126,2017-06-04,13,33
127,2017-06-11,6,29
128,2017-06-18,10,22
129,2017-06-25,7,24
130,2017-07-02,6,20
131,2017-07-09,14,20
132,2017-07-16,12,14
133,2017-07-23,10,25
134,2017-07-30,7,24
135,2017-08-06,11,24
136,2017-08-13,11,23
137,2017-08-20,7,18
138,2017-08-27,9,22
139,2017-09-03,6,24
140,2017-09-10,10,30
141,2017-09-17,14,33
142,2017-09-24,20,32
143,2017-10-01,58,30
144,2017-10-08,11,30
145,2017-10-15,6,31
146,2017-10-22,7,35
147,2017-10-29,3,31
148,2017-11-05,8,26
149,2017-11-12,8,27
150,2017-11-19,11,27
151,2017-11-26,5,28
152,2017-12-03,9,28
153,2017-12-10,7,25
154,2017-12-17,7,29
155,2017-12-24,7,26
156,2017-12-31,6,27
157,2018-01-07,8,33
158,2018-01-14,7,28
159,2018-01-21,7,35
160,2018-01-28,6,37
161,2018-02-04,8,32
162,2018-02-11,9,32
163,2018-02-18,8,31
164,2018-02-25,6,29
165,2018-03-04,6,32
166,2018-03-11,6,28
167,2018-03-18,6,27
168,2018-03-25,6,30
169,2018-04-01,13,38
170,2018-04-08,9,28
171,2018-04-15,8,29
172,2018-04-22,8,35
173,2018-04-29,9,29
174,2018-05-06,8,30
175,2018-05-13,4,29
176,2018-05-20,8,31
177,2018-05-27,8,30
178,2018-06-03,4,28
179,2018-06-10,4,18
180,2018-06-17,5,27
181,2018-06-24,6,22
182,2018-07-01,6,29
183,2018-07-08,10,22
184,2018-07-15,6,28
185,2018-07-22,6,22
186,2018-07-29,1,25
187,2018-08-05,5,21
188,2018-08-12,4,25
189,2018-08-19,4,23
190,2018-08-26,6,30
191,2018-09-02,4,28
192,2018-09-09,7,36
193,2018-09-16,3,30
194,2018-09-23,4,33
195,2018-09-30,6,30
196,2018-10-07,0,27
197,2018-10-14,4,28
198,2018-10-21,4,25
199,2018-10-28,4,27
200,2018-11-04,5,27
201,2018-11-11,7,33
202,2018-11-18,7,29
203,2018-11-25,3,26
204,2018-12-02,4,31
205,2018-12-09,7,30
206,2018-12-16,5,30
207,2018-12-23,6,27
208,2018-12-30,8,22
209,2019-01-06,4,32
210,2019-01-13,5,29
211,2019-01-20,3,31
212,2019-01-27,3,31
213,2019-02-03,5,32
214,2019-02-10,7,32
215,2019-02-17,3,31
216,2019-02-24,5,23
217,2019-03-03,4,31
218,2019-03-10,3,32
219,2019-03-17,4,27
220,2019-03-24,3,25
221,2019-03-31,5,26
222,2019-04-07,4,28
223,2019-04-14,1,32
224,2019-04-21,3,27
225,2019-04-28,3,26
226,2019-05-05,6,24
227,2019-05-12,4,30
228,2019-05-19,3,26
229,2019-05-26,5,29
230,2019-06-02,4,29
231,2019-06-09,1,24
232,2019-06-16,3,25
233,2019-06-23,1,23
234,2019-06-30,5,22
235,2019-07-07,4,22
236,2019-07-14,4,22
237,2019-07-21,4,28
238,2019-07-28,4,21
239,2019-08-04,3,17
240,2019-08-11,5,17
241,2019-08-18,2,27
242,2019-08-25,6,29
243,2019-09-01,5,32
244,2019-09-08,1,33
245,2019-09-15,7,27
246,2019-09-22,3,29
247,2019-09-29,0,37
248,2019-10-06,5,23
249,2019-10-13,6,33
250,2019-10-20,6,32
251,2019-10-27,8,34
252,2019-11-03,11,32
253,2019-11-10,7,33
254,2019-11-17,11,30
255,2019-11-24,9,26
256,2019-12-01,3,34
257,2019-12-08,6,27
258,2019-12-15,3,32
259,2019-12-22,7,28
260,2019-12-29,6,23
