,date,Ed Sheeran,Alphabet
0,2015-01-04,22,15
1,2015-01-11,28,20
2,2015-01-18,20,10
3,2015-01-25,33,14
4,2015-02-01,24,19
5,2015-02-08,52,18
6,2015-02-15,34,18
7,2015-02-22,47,17
8,2015-03-01,26,11
9,2015-03-08,20,20
10,2015-03-15,22,17
11,2015-03-22,22,13
12,2015-03-29,16,17
13,2015-04-05,19,14
14,2015-04-12,17,15
15,2015-04-19,18,15
16,2015-04-26,15,15
17,2015-05-03,19,16
18,2015-05-10,24,22
19,2015-05-17,30,31
20,2015-05-24,26,18
21,2015-05-31,29,31
22,2015-06-07,19,31
23,2015-06-14,47,17
24,2015-06-21,35,26
25,2015-06-28,23,17
26,2015-07-05,24,27
27,2015-07-12,16,23
28,2015-07-19,22,20
29,2015-07-26,17,23
30,2015-08-02,22,20
31,2015-08-09,24,54
32,2015-08-16,26,31
33,2015-08-23,24,32
34,2015-08-30,21,37
35,2015-09-06,17,33
36,2015-09-13,17,32
37,2015-09-20,20,41
38,2015-09-27,16,32
39,2015-10-04,20,34
40,2015-10-11,17,32
41,2015-10-18,14,34
42,2015-10-25,18,40
43,2015-11-01,13,32
44,2015-11-08,22,36
45,2015-11-15,12,34
46,2015-11-22,13,27
47,2015-11-29,12,34
48,2015-12-06,13,31
49,2015-12-13,14,31
50,2015-12-20,15,30
51,2015-12-27,7,25
52,2016-01-03,8,26
53,2016-01-10,14,26
54,2016-01-17,15,29
55,2016-01-24,7,26
56,2016-01-31,10,35
57,2016-02-07,10,29
58,2016-02-14,22,31
59,2016-02-21,9,33
60,2016-02-28,10,27
61,2016-03-06,7,27
62,2016-03-13,6,27
63,2016-03-20,7,18
64,2016-03-27,9,32
65,2016-04-03,8,32
66,2016-04-10,10,31
67,2016-04-17,9,22
68,2016-04-24,8,28
69,2016-05-01,7,25
70,2016-05-08,7,22
71,2016-05-15,6,27
72,2016-05-22,7,29
73,2016-05-29,4,28
74,2016-06-05,13,30
75,2016-06-12,7,24
76,2016-06-19,4,23
77,2016-06-26,10,23
78,2016-07-03,9,26
79,2016-07-10,9,21
80,2016-07-17,0,27
81,2016-07-24,6,23
82,2016-07-31,3,24
83,2016-08-07,5,24
84,2016-08-14,5,28
85,2016-08-21,6,26
86,2016-08-28,6,22
87,2016-09-04,4,25
88,2016-09-11,6,27
89,2016-09-18,6,24
90,2016-09-25,8,26
91,2016-10-02,0,27
92,2016-10-09,7,30
93,2016-10-16,5,33
94,2016-10-23,5,31
95,2016-10-30,4,27
96,2016-11-06,7,29
97,2016-11-13,6,30
98,2016-11-20,6,20
99,2016-11-27,5,28
100,2016-12-04,3,28
101,2016-12-11,7,26
102,2016-12-18,8,24
103,2016-12-25,8,26
104,2017-01-01,26,24
105,2017-01-08,17,23
106,2017-01-15,14,33
107,2017-01-22,19,26
108,2017-01-29,20,26
109,2017-02-05,16,32
110,2017-02-12,48,32
111,2017-02-19,32,32
112,2017-02-26,40,30
113,2017-03-05,93,27
114,2017-03-12,80,28
