,date,The Rolling Stones,Alphabet
0,2015-01-04,8,27
1,2015-01-11,9,37
2,2015-01-18,7,19
3,2015-01-25,7,26
4,2015-02-01,9,35
5,2015-02-08,9,34
6,2015-02-15,12,34
7,2015-02-22,6,32
8,2015-03-01,11,21
9,2015-03-08,10,37
10,2015-03-15,8,31
11,2015-03-22,13,24
12,2015-03-29,20,31
13,2015-04-05,13,27
14,2015-04-12,19,28
15,2015-04-19,8,29
16,2015-04-26,13,28
17,2015-05-03,11,30
18,2015-05-10,11,40
19,2015-05-17,16,57
20,2015-05-24,22,34
21,2015-05-31,27,58
22,2015-06-07,24,58
23,2015-06-14,27,32
24,2015-06-21,17,47
25,2015-06-28,17,31
26,2015-07-05,18,51
27,2015-07-12,16,43
28,2015-07-19,7,37
29,2015-07-26,20,43
30,2015-08-02,13,37
31,2015-08-09,18,100
32,2015-08-16,13,57
33,2015-08-23,13,58
34,2015-08-30,21,69
35,2015-09-06,11,62
36,2015-09-13,9,60
37,2015-09-20,11,75
38,2015-09-27,6,60
39,2015-10-04,16,64
40,2015-10-11,14,59
41,2015-10-18,14,63
42,2015-10-25,11,74
43,2015-11-01,14,58
44,2015-11-08,13,67
45,2015-11-15,8,63
46,2015-11-22,11,50
47,2015-11-29,16,62
48,2015-12-06,7,57
49,2015-12-13,13,58
50,2015-12-20,18,55
51,2015-12-27,21,46
52,2016-01-03,14,49
53,2016-01-10,13,49
54,2016-01-17,15,53
55,2016-01-24,23,48
56,2016-01-31,16,64
57,2016-02-07,9,53
58,2016-02-14,13,57
59,2016-02-21,14,62
60,2016-02-28,21,50
61,2016-03-06,14,50
62,2016-03-13,13,51
63,2016-03-20,16,34
64,2016-03-27,14,59
65,2016-04-03,21,60
66,2016-04-10,19,57
67,2016-04-17,14,40
68,2016-04-24,14,52
69,2016-05-01,32,46
70,2016-05-08,25,41
71,2016-05-15,16,49
72,2016-05-22,17,54
73,2016-05-29,15,52
74,2016-06-05,12,55
75,2016-06-12,11,45
76,2016-06-19,13,42
77,2016-06-26,13,43
78,2016-07-03,12,48
79,2016-07-10,12,39
80,2016-07-17,13,49
81,2016-07-24,12,43
82,2016-07-31,13,45
83,2016-08-07,11,44
84,2016-08-14,10,51
85,2016-08-21,13,47
86,2016-08-28,11,42
87,2016-09-04,5,47
88,2016-09-11,12,50
89,2016-09-18,8,45
90,2016-09-25,12,47
91,2016-10-02,20,49
92,2016-10-09,20,56
93,2016-10-16,20,62
94,2016-10-23,15,57
95,2016-10-30,17,49
96,2016-11-06,6,54
97,2016-11-13,15,55
98,2016-11-20,9,36
99,2016-11-27,20,52
100,2016-12-04,24,53
101,2016-12-11,16,48
102,2016-12-18,18,44
103,2016-12-25,18,48
104,2017-01-01,15,44
105,2017-01-08,15,42
106,2017-01-15,18,61
107,2017-01-22,17,47
108,2017-01-29,13,48
109,2017-02-05,12,59
110,2017-02-12,14,59
111,2017-02-19,16,59
112,2017-02-26,16,56
113,2017-03-05,16,49
114,2017-03-12,15,52
115,2017-03-19,20,56
116,2017-03-26,3,47
117,2017-04-02,14,53
118,2017-04-09,17,43
119,2017-04-16,12,48
120,2017-04-23,16,42
121,2017-04-30,18,57
122,2017-05-07,16,51
123,2017-05-14,18,53
124,2017-05-21,12,50
125,2017-05-28,14,64
126,2017-06-04,10,63
127,2017-06-11,16,55
128,2017-06-18,9,41
129,2017-06-25,13,44
130,2017-07-02,9,37
131,2017-07-09,15,38
132,2017-07-16,14,26
133,2017-07-23,11,48
134,2017-07-30,20,45
135,2017-08-06,14,45
136,2017-08-13,11,43
137,2017-08-20,13,33
138,2017-08-27,9,41
139,2017-09-03,14,45
140,2017-09-10,11,57
141,2017-09-17,14,62
142,2017-09-24,12,61
143,2017-10-01,12,57
144,2017-10-08,7,56
145,2017-10-15,15,58
146,2017-10-22,12,66
147,2017-10-29,15,58
148,2017-11-05,19,49
149,2017-11-12,21,51
150,2017-11-19,8,51
151,2017-11-26,9,52
152,2017-12-03,13,52
153,2017-12-10,15,46
154,2017-12-17,19,54
155,2017-12-24,14,49
156,2017-12-31,17,51
157,2018-01-07,16,62
158,2018-01-14,15,52
159,2018-01-21,20,66
160,2018-01-28,20,70
161,2018-02-04,14,59
162,2018-02-11,15,60
163,2018-02-18,16,58
164,2018-02-25,28,54
165,2018-03-04,20,60
166,2018-03-11,20,53
167,2018-03-18,20,51
168,2018-03-25,22,55
169,2018-04-01,19,72
170,2018-04-08,18,52
171,2018-04-15,19,54
172,2018-04-22,15,65
173,2018-04-29,15,55
174,2018-05-06,17,57
175,2018-05-13,19,55
176,2018-05-20,19,58
177,2018-05-27,19,57
178,2018-06-03,20,53
179,2018-06-10,15,34
180,2018-06-17,19,50
181,2018-06-24,17,41
182,2018-07-01,20,54
183,2018-07-08,21,42
184,2018-07-15,14,52
185,2018-07-22,13,41
186,2018-07-29,13,47
187,2018-08-05,18,40
188,2018-08-12,17,48
189,2018-08-19,6,44
190,2018-08-26,13,57
191,2018-09-02,14,52
192,2018-09-09,16,67
193,2018-09-16,6,56
194,2018-09-23,15,62
195,2018-09-30,6,57
196,2018-10-07,14,51
197,2018-10-14,14,53
198,2018-10-21,13,47
199,2018-10-28,9,51
200,2018-11-04,16,50
201,2018-11-11,14,62
202,2018-11-18,35,54
203,2018-11-25,52,49
204,2018-12-02,24,59
205,2018-12-09,19,57
206,2018-12-16,19,56
207,2018-12-23,28,51
208,2018-12-30,19,42
209,2019-01-06,18,61
210,2019-01-13,21,54
211,2019-01-20,15,58
212,2019-01-27,17,59
213,2019-02-03,17,60
214,2019-02-10,18,60
215,2019-02-17,15,58
216,2019-02-24,13,44
217,2019-03-03,13,59
218,2019-03-10,17,60
219,2019-03-17,17,51
220,2019-03-24,37,46
221,2019-03-31,34,49
