,date,U2,Alphabet
0,2015-01-04,12,27
1,2015-01-11,13,37
2,2015-01-18,18,19
3,2015-01-25,12,26
4,2015-02-01,13,35
5,2015-02-08,9,34
6,2015-02-15,12,34
7,2015-02-22,11,32
8,2015-03-01,6,21
9,2015-03-08,18,37
10,2015-03-15,12,31
11,2015-03-22,9,24
12,2015-03-29,19,31
13,2015-04-05,12,27
14,2015-04-12,9,28
15,2015-04-19,8,29
16,2015-04-26,14,28
17,2015-05-03,24,30
18,2015-05-10,39,40
19,2015-05-17,28,57
20,2015-05-24,33,34
21,2015-05-31,24,58
22,2015-06-07,16,58
23,2015-06-14,7,32
24,2015-06-21,13,47
25,2015-06-28,8,31
26,2015-07-05,13,51
27,2015-07-12,20,43
28,2015-07-19,18,37
29,2015-07-26,19,43
30,2015-08-02,14,37
31,2015-08-09,10,100
32,2015-08-16,9,57
33,2015-08-23,12,58
34,2015-08-30,5,69
35,2015-09-06,18,62
36,2015-09-13,15,60
37,2015-09-20,11,75
38,2015-09-27,9,60
39,2015-10-04,9,64
40,2015-10-11,10,59
41,2015-10-18,15,63
42,2015-10-25,13,74
43,2015-11-01,0,58
44,2015-11-08,12,67
45,2015-11-15,13,63
46,2015-11-22,21,50
47,2015-11-29,14,62
48,2015-12-06,32,57
49,2015-12-13,13,58
50,2015-12-20,11,55
51,2015-12-27,12,46
52,2016-01-03,12,49
53,2016-01-10,13,49
54,2016-01-17,12,53
55,2016-01-24,13,48
56,2016-01-31,17,64
57,2016-02-07,19,53
58,2016-02-14,10,57
59,2016-02-21,16,62
60,2016-02-28,9,50
61,2016-03-06,10,50
62,2016-03-13,16,51
63,2016-03-20,13,34
64,2016-03-27,14,59
65,2016-04-03,15,60
66,2016-04-10,7,57
67,2016-04-17,18,40
68,2016-04-24,15,52
69,2016-05-01,13,46
70,2016-05-08,22,41
71,2016-05-15,6,49
72,2016-05-22,10,54
73,2016-05-29,8,52
74,2016-06-05,8,55
75,2016-06-12,9,45
76,2016-06-19,3,42
77,2016-06-26,10,43
78,2016-07-03,8,48
79,2016-07-10,15,39
80,2016-07-17,13,49
81,2016-07-24,14,43
82,2016-07-31,13,45
83,2016-08-07,14,44
84,2016-08-14,11,51
85,2016-08-21,18,47
86,2016-08-28,9,42
87,2016-09-04,13,47
88,2016-09-11,9,50
89,2016-09-18,14,45
90,2016-09-25,10,47
91,2016-10-02,14,49
92,2016-10-09,8,56
93,2016-10-16,12,62
94,2016-10-23,8,57
95,2016-10-30,8,49
96,2016-11-06,6,54
97,2016-11-13,7,55
98,2016-11-20,11,36
99,2016-11-27,11,52
100,2016-12-04,11,53
101,2016-12-11,12,48
102,2016-12-18,9,44
103,2016-12-25,14,48
104,2017-01-01,12,44
105,2017-01-08,68,42
106,2017-01-15,45,61
107,2017-01-22,13,47
108,2017-01-29,13,48
109,2017-02-05,17,59
110,2017-02-12,12,59
111,2017-02-19,18,59
112,2017-02-26,12,56
113,2017-03-05,21,49
114,2017-03-12,19,52
115,2017-03-19,15,56
116,2017-03-26,11,47
117,2017-04-02,10,53
118,2017-04-09,22,43
119,2017-04-16,15,48
120,2017-04-23,16,42
121,2017-04-30,22,57
122,2017-05-07,40,51
123,2017-05-14,68,53
124,2017-05-21,33,50
125,2017-05-28,22,64
126,2017-06-04,21,63
127,2017-06-11,16,55
128,2017-06-18,10,41
129,2017-06-25,15,44
130,2017-07-02,9,37
131,2017-07-09,18,38
132,2017-07-16,18,26
133,2017-07-23,16,48
134,2017-07-30,18,45
135,2017-08-06,14,45
136,2017-08-13,10,43
137,2017-08-20,12,33
138,2017-08-27,13,41
139,2017-09-03,22,45
140,2017-09-10,18,57
141,2017-09-17,20,62
142,2017-09-24,16,61
143,2017-10-01,14,57
144,2017-10-08,15,56
145,2017-10-15,18,58
146,2017-10-22,8,66
147,2017-10-29,12,58
148,2017-11-05,11,49
149,2017-11-12,23,51
150,2017-11-19,18,51
151,2017-11-26,21,52
152,2017-12-03,34,52
153,2017-12-10,19,46
154,2017-12-17,24,54
155,2017-12-24,21,49
156,2017-12-31,20,51
157,2018-01-07,15,62
158,2018-01-14,20,52
159,2018-01-21,19,66
160,2018-01-28,34,70
161,2018-02-04,24,59
162,2018-02-11,12,60
163,2018-02-18,12,58
164,2018-02-25,16,54
165,2018-03-04,14,60
166,2018-03-11,26,53
167,2018-03-18,21,51
168,2018-03-25,21,55
169,2018-04-01,18,72
170,2018-04-08,13,52
171,2018-04-15,17,54
172,2018-04-22,18,65
173,2018-04-29,22,55
174,2018-05-06,25,57
175,2018-05-13,24,55
176,2018-05-20,25,58
177,2018-05-27,19,57
178,2018-06-03,22,53
179,2018-06-10,19,34
180,2018-06-17,23,50
181,2018-06-24,22,41
182,2018-07-01,11,54
183,2018-07-08,10,42
184,2018-07-15,14,52
185,2018-07-22,10,41
186,2018-07-29,11,47
187,2018-08-05,15,40
188,2018-08-12,7,48
189,2018-08-19,10,44
190,2018-08-26,5,57
191,2018-09-02,11,52
192,2018-09-09,13,67
193,2018-09-16,11,56
194,2018-09-23,8,62
195,2018-09-30,12,57
196,2018-10-07,9,51
197,2018-10-14,4,53
198,2018-10-21,5,47
199,2018-10-28,9,51
200,2018-11-04,5,50
201,2018-11-11,7,62
202,2018-11-18,13,54
203,2018-11-25,9,49
204,2018-12-02,6,59
205,2018-12-09,15,57
206,2018-12-16,4,56
207,2018-12-23,14,51
208,2018-12-30,21,42
209,2019-01-06,7,61
210,2019-01-13,13,54
211,2019-01-20,6,58
212,2019-01-27,10,59
213,2019-02-03,9,60
214,2019-02-10,6,60
215,2019-02-17,12,58
216,2019-02-24,12,44
217,2019-03-03,4,59
218,2019-03-10,6,60
219,2019-03-17,7,51
220,2019-03-24,0,46
221,2019-03-31,5,49
222,2019-04-07,6,52
223,2019-04-14,6,60
224,2019-04-21,6,51
225,2019-04-28,11,49
226,2019-05-05,5,45
227,2019-05-12,6,56
228,2019-05-19,6,49
