,date,Bruno Mars,Alphabet
0,2015-01-04,20,25
1,2015-01-11,31,26
2,2015-01-18,25,27
3,2015-01-25,25,25
4,2015-02-01,31,26
5,2015-02-08,24,27
6,2015-02-15,22,23
7,2015-02-22,22,25
8,2015-03-01,17,26
9,2015-03-08,17,25
10,2015-03-15,17,24
11,2015-03-22,20,26
12,2015-03-29,16,22
13,2015-04-05,14,25
14,2015-04-12,12,24
15,2015-04-19,12,25
16,2015-04-26,11,22
17,2015-05-03,11,20
18,2015-05-10,12,23
19,2015-05-17,14,19
20,2015-05-24,10,24
21,2015-05-31,12,24
22,2015-06-07,12,22
23,2015-06-14,9,20
24,2015-06-21,7,19
25,2015-06-28,9,21
26,2015-07-05,9,22
27,2015-07-12,9,21
28,2015-07-19,11,23
29,2015-07-26,10,20
30,2015-08-02,8,17
31,2015-08-09,7,42
32,2015-08-16,9,28
33,2015-08-23,4,27
34,2015-08-30,10,40
35,2015-09-06,10,34
36,2015-09-13,6,34
37,2015-09-20,7,28
38,2015-09-27,8,34
39,2015-10-04,5,39
40,2015-10-11,6,32
41,2015-10-18,6,37
42,2015-10-25,7,33
43,2015-11-01,9,34
44,2015-11-08,8,29
45,2015-11-15,5,27
46,2015-11-22,6,24
47,2015-11-29,7,29
48,2015-12-06,4,30
49,2015-12-13,4,26
50,2015-12-20,6,26
51,2015-12-27,11,18
52,2016-01-03,7,19
53,2016-01-10,6,20
54,2016-01-17,5,25
55,2016-01-24,7,26
56,2016-01-31,9,30
57,2016-02-07,69,24
58,2016-02-14,22,27
59,2016-02-21,12,29
60,2016-02-28,9,26
61,2016-03-06,7,24
62,2016-03-13,9,22
63,2016-03-20,6,21
64,2016-03-27,8,24
65,2016-04-03,6,25
66,2016-04-10,5,25
67,2016-04-17,6,25
68,2016-04-24,6,27
69,2016-05-01,6,23
70,2016-05-08,8,22
71,2016-05-15,8,24
72,2016-05-22,9,23
73,2016-05-29,7,20
74,2016-06-05,6,18
75,2016-06-12,6,19
76,2016-06-19,5,19
77,2016-06-26,6,21
78,2016-07-03,6,20
79,2016-07-10,6,20
80,2016-07-17,6,18
81,2016-07-24,4,17
82,2016-07-31,6,25
83,2016-08-07,4,15
84,2016-08-14,4,21
85,2016-08-21,8,22
86,2016-08-28,6,29
87,2016-09-04,5,29
88,2016-09-11,4,32
89,2016-09-18,5,31
90,2016-09-25,3,27
91,2016-10-02,19,28
92,2016-10-09,15,25
93,2016-10-16,23,27
94,2016-10-23,14,31
95,2016-10-30,15,23
96,2016-11-06,11,18
97,2016-11-13,29,27
98,2016-11-20,54,22
99,2016-11-27,22,30
100,2016-12-04,23,27
101,2016-12-11,47,27
102,2016-12-18,26,25
103,2016-12-25,21,21
104,2017-01-01,19,24
105,2017-01-08,18,23
106,2017-01-15,14,22
107,2017-01-22,17,28
108,2017-01-29,19,27
109,2017-02-05,22,25
110,2017-02-12,100,26
111,2017-02-19,28,25
112,2017-02-26,30,28
113,2017-03-05,33,25
114,2017-03-12,27,23
115,2017-03-19,26,26
116,2017-03-26,23,26
117,2017-04-02,24,26
118,2017-04-09,25,22
119,2017-04-16,22,22
120,2017-04-23,24,26
121,2017-04-30,25,26
122,2017-05-07,27,28
123,2017-05-14,25,24
124,2017-05-21,35,26
125,2017-05-28,30,24
126,2017-06-04,22,23
127,2017-06-11,28,19
128,2017-06-18,25,20
129,2017-06-25,42,21
130,2017-07-02,26,17
131,2017-07-09,22,18
132,2017-07-16,22,17
133,2017-07-23,18,20
134,2017-07-30,22,21
135,2017-08-06,29,20
136,2017-08-13,37,19
137,2017-08-20,55,23
138,2017-08-27,19,30
139,2017-09-03,18,31
140,2017-09-10,15,32
141,2017-09-17,18,30
142,2017-09-24,21,26
143,2017-10-01,18,29
144,2017-10-08,40,28
145,2017-10-15,15,26
146,2017-10-22,11,28
147,2017-10-29,11,28
148,2017-11-05,11,28
149,2017-11-12,11,29
150,2017-11-19,12,22
151,2017-11-26,24,23
152,2017-12-03,14,27
153,2017-12-10,12,25
154,2017-12-17,11,24
155,2017-12-24,14,18
156,2017-12-31,30,21
157,2018-01-07,23,28
158,2018-01-14,17,23
159,2018-01-21,31,27
160,2018-01-28,82,30
161,2018-02-04,33,30
162,2018-02-11,35,27
163,2018-02-18,19,28
164,2018-02-25,16,28
165,2018-03-04,18,26
166,2018-03-11,23,27
167,2018-03-18,19,26
168,2018-03-25,18,23
169,2018-04-01,13,23
170,2018-04-08,15,24
171,2018-04-15,14,26
172,2018-04-22,15,27
173,2018-04-29,13,22
174,2018-05-06,13,25
175,2018-05-13,12,23
176,2018-05-20,13,23
177,2018-05-27,13,19
178,2018-06-03,11,19
179,2018-06-10,10,22
180,2018-06-17,10,18
181,2018-06-24,10,22
182,2018-07-01,12,19
183,2018-07-08,12,20
184,2018-07-15,9,18
185,2018-07-22,12,22
186,2018-07-29,11,20
187,2018-08-05,12,19
188,2018-08-12,16,20
189,2018-08-19,12,20
190,2018-08-26,11,34
191,2018-09-02,12,31
192,2018-09-09,14,31
193,2018-09-16,33,30
194,2018-09-23,12,26
195,2018-09-30,12,31
196,2018-10-07,11,32
197,2018-10-14,9,25
198,2018-10-21,9,28
199,2018-10-28,9,26
200,2018-11-04,8,23
201,2018-11-11,9,24
202,2018-11-18,9,22
203,2018-11-25,9,27
204,2018-12-02,8,27
205,2018-12-09,8,23
206,2018-12-16,7,24
207,2018-12-23,8,17
208,2018-12-30,10,21
209,2019-01-06,7,24
210,2019-01-13,6,23
211,2019-01-20,7,25
212,2019-01-27,7,24
213,2019-02-03,9,32
214,2019-02-10,14,25
215,2019-02-17,13,25
216,2019-02-24,12,26
217,2019-03-03,14,25
218,2019-03-10,11,22
219,2019-03-17,8,26
220,2019-03-24,8,27
221,2019-03-31,9,26
222,2019-04-07,7,26
223,2019-04-14,8,22
224,2019-04-21,9,21
225,2019-04-28,8,25
226,2019-05-05,6,22
227,2019-05-12,6,19
228,2019-05-19,9,21
229,2019-05-26,6,21
230,2019-06-02,7,27
231,2019-06-09,6,18
232,2019-06-16,6,20
233,2019-06-23,6,20
234,2019-06-30,8,17
235,2019-07-07,8,19
236,2019-07-14,7,17
237,2019-07-21,5,18
238,2019-07-28,7,20
239,2019-08-04,7,22
240,2019-08-11,7,22
241,2019-08-18,7,22
242,2019-08-25,6,26
243,2019-09-01,6,27
244,2019-09-08,6,32
245,2019-09-15,5,28
246,2019-09-22,6,31
247,2019-09-29,6,28
248,2019-10-06,6,27
249,2019-10-13,7,28
250,2019-10-20,6,27
251,2019-10-27,7,32
252,2019-11-03,4,28
253,2019-11-10,5,28
254,2019-11-17,5,29
255,2019-11-24,6,23
256,2019-12-01,5,31
257,2019-12-08,6,22
258,2019-12-15,6,24
259,2019-12-22,5,19
260,2019-12-29,6,22
