,date,Metallica,Alphabet
0,2015-01-04,7,27
1,2015-01-11,7,28
2,2015-01-18,9,29
3,2015-01-25,9,26
4,2015-02-01,7,28
5,2015-02-08,9,29
6,2015-02-15,6,25
7,2015-02-22,8,27
8,2015-03-01,9,28
9,2015-03-08,8,27
10,2015-03-15,8,26
11,2015-03-22,8,28
12,2015-03-29,9,24
13,2015-04-05,8,27
14,2015-04-12,7,26
15,2015-04-19,9,27
16,2015-04-26,5,24
17,2015-05-03,9,21
18,2015-05-10,7,25
19,2015-05-17,8,20
20,2015-05-24,7,26
21,2015-05-31,11,25
22,2015-06-07,8,24
23,2015-06-14,10,22
24,2015-06-21,10,21
25,2015-06-28,9,22
26,2015-07-05,6,24
27,2015-07-12,8,23
28,2015-07-19,8,25
29,2015-07-26,6,22
30,2015-08-02,9,19
31,2015-08-09,6,45
32,2015-08-16,8,31
33,2015-08-23,7,29
34,2015-08-30,8,43
35,2015-09-06,8,37
36,2015-09-13,8,37
37,2015-09-20,8,30
38,2015-09-27,8,37
39,2015-10-04,5,42
40,2015-10-11,9,34
41,2015-10-18,7,40
42,2015-10-25,7,35
43,2015-11-01,10,36
44,2015-11-08,7,31
45,2015-11-15,6,29
46,2015-11-22,8,26
47,2015-11-29,7,32
48,2015-12-06,9,32
49,2015-12-13,6,28
50,2015-12-20,10,28
51,2015-12-27,9,20
52,2016-01-03,10,20
53,2016-01-10,8,22
54,2016-01-17,8,27
55,2016-01-24,8,28
56,2016-01-31,10,32
57,2016-02-07,16,26
58,2016-02-14,9,29
59,2016-02-21,9,32
60,2016-02-28,9,28
61,2016-03-06,8,26
62,2016-03-13,10,24
63,2016-03-20,12,23
64,2016-03-27,9,26
65,2016-04-03,7,27
66,2016-04-10,10,26
67,2016-04-17,9,27
68,2016-04-24,8,29
69,2016-05-01,10,24
70,2016-05-08,10,24
71,2016-05-15,8,26
72,2016-05-22,9,25
73,2016-05-29,9,22
74,2016-06-05,14,20
75,2016-06-12,10,21
76,2016-06-19,8,20
77,2016-06-26,9,23
78,2016-07-03,8,22
79,2016-07-10,11,22
80,2016-07-17,9,20
81,2016-07-24,10,19
82,2016-07-31,11,27
83,2016-08-07,10,16
84,2016-08-14,21,22
85,2016-08-21,19,24
86,2016-08-28,12,31
87,2016-09-04,14,32
88,2016-09-11,11,34
89,2016-09-18,14,33
90,2016-09-25,20,29
91,2016-10-02,12,30
92,2016-10-09,11,27
93,2016-10-16,11,29
94,2016-10-23,12,33
95,2016-10-30,14,25
96,2016-11-06,14,20
97,2016-11-13,36,29
98,2016-11-20,28,24
99,2016-11-27,19,32
100,2016-12-04,17,29
101,2016-12-11,13,29
102,2016-12-18,15,27
103,2016-12-25,12,23
104,2017-01-01,10,25
105,2017-01-08,13,25
106,2017-01-15,10,24
107,2017-01-22,11,30
108,2017-01-29,10,30
109,2017-02-05,16,27
110,2017-02-12,100,28
111,2017-02-19,22,27
112,2017-02-26,19,30
113,2017-03-05,19,27
114,2017-03-12,15,25
115,2017-03-19,12,28
116,2017-03-26,13,28
117,2017-04-02,13,28
118,2017-04-09,17,23
119,2017-04-16,14,24
120,2017-04-23,17,28
121,2017-04-30,21,28
122,2017-05-07,83,30
123,2017-05-14,34,26
124,2017-05-21,14,28
125,2017-05-28,14,26
126,2017-06-04,12,24
127,2017-06-11,12,20
128,2017-06-18,14,22
129,2017-06-25,13,23
130,2017-07-02,11,18
131,2017-07-09,11,19
132,2017-07-16,13,19
133,2017-07-23,10,22
134,2017-07-30,11,22
135,2017-08-06,13,22
136,2017-08-13,10,21
137,2017-08-20,9,25
138,2017-08-27,9,33
139,2017-09-03,11,33
140,2017-09-10,8,35
141,2017-09-17,10,32
142,2017-09-24,9,28
143,2017-10-01,8,31
144,2017-10-08,10,30
145,2017-10-15,10,28
146,2017-10-22,13,30
147,2017-10-29,9,30
148,2017-11-05,9,30
149,2017-11-12,8,31
150,2017-11-19,7,24
151,2017-11-26,9,25
152,2017-12-03,9,29
153,2017-12-10,10,27
154,2017-12-17,10,26
155,2017-12-24,10,20
156,2017-12-31,7,23
157,2018-01-07,10,30
158,2018-01-14,8,25
159,2018-01-21,9,29
160,2018-01-28,9,33
161,2018-02-04,9,32
162,2018-02-11,9,29
163,2018-02-18,8,31
164,2018-02-25,59,30
165,2018-03-04,21,28
166,2018-03-11,14,29
167,2018-03-18,13,28
