,date,Pink,Alphabet
0,2015-01-04,8,33
1,2015-01-11,7,33
2,2015-01-18,7,35
3,2015-01-25,9,32
4,2015-02-01,9,33
5,2015-02-08,8,35
6,2015-02-15,6,30
7,2015-02-22,10,33
8,2015-03-01,9,33
9,2015-03-08,6,32
10,2015-03-15,7,31
11,2015-03-22,11,34
12,2015-03-29,8,28
13,2015-04-05,6,32
14,2015-04-12,16,31
15,2015-04-19,8,32
16,2015-04-26,8,29
17,2015-05-03,5,25
18,2015-05-10,5,30
19,2015-05-17,6,25
20,2015-05-24,4,31
21,2015-05-31,8,30
22,2015-06-07,6,29
23,2015-06-14,4,26
24,2015-06-21,7,25
25,2015-06-28,7,27
26,2015-07-05,6,29
27,2015-07-12,4,28
28,2015-07-19,8,30
29,2015-07-26,6,26
30,2015-08-02,8,22
31,2015-08-09,6,55
32,2015-08-16,7,37
33,2015-08-23,4,35
34,2015-08-30,6,52
35,2015-09-06,12,44
36,2015-09-13,6,44
37,2015-09-20,4,36
38,2015-09-27,7,44
39,2015-10-04,5,51
40,2015-10-11,9,41
41,2015-10-18,9,48
42,2015-10-25,8,43
43,2015-11-01,7,44
44,2015-11-08,5,37
45,2015-11-15,7,35
46,2015-11-22,8,31
47,2015-11-29,8,38
48,2015-12-06,4,38
49,2015-12-13,8,33
50,2015-12-20,6,33
51,2015-12-27,7,24
52,2016-01-03,5,24
53,2016-01-10,7,26
54,2016-01-17,8,32
55,2016-01-24,5,33
56,2016-01-31,9,39
57,2016-02-07,8,31
58,2016-02-14,9,35
59,2016-02-21,9,38
60,2016-02-28,6,34
61,2016-03-06,10,31
62,2016-03-13,5,29
63,2016-03-20,6,28
64,2016-03-27,4,31
65,2016-04-03,7,32
66,2016-04-10,8,32
67,2016-04-17,8,33
68,2016-04-24,12,34
69,2016-05-01,13,29
70,2016-05-08,12,29
71,2016-05-15,14,31
72,2016-05-22,28,30
73,2016-05-29,14,26
74,2016-06-05,14,24
75,2016-06-12,11,25
76,2016-06-19,12,24
77,2016-06-26,11,27
78,2016-07-03,12,26
79,2016-07-10,10,27
80,2016-07-17,13,24
81,2016-07-24,10,23
82,2016-07-31,14,33
83,2016-08-07,7,19
84,2016-08-14,10,27
85,2016-08-21,10,29
86,2016-08-28,9,38
87,2016-09-04,10,38
88,2016-09-11,9,41
89,2016-09-18,8,40
90,2016-09-25,8,35
91,2016-10-02,5,36
92,2016-10-09,8,32
93,2016-10-16,9,35
94,2016-10-23,7,40
95,2016-10-30,7,30
96,2016-11-06,9,24
97,2016-11-13,14,35
98,2016-11-20,10,29
99,2016-11-27,5,38
100,2016-12-04,5,35
101,2016-12-11,7,34
102,2016-12-18,7,33
103,2016-12-25,11,27
104,2017-01-01,10,31
105,2017-01-08,9,30
106,2017-01-15,8,29
107,2017-01-22,7,36
108,2017-01-29,6,35
109,2017-02-05,9,33
110,2017-02-12,9,33
111,2017-02-19,6,32
112,2017-02-26,6,36
113,2017-03-05,7,32
114,2017-03-12,8,30
115,2017-03-19,6,33
116,2017-03-26,6,33
117,2017-04-02,8,34
118,2017-04-09,7,28
119,2017-04-16,8,29
120,2017-04-23,11,34
121,2017-04-30,12,34
122,2017-05-07,12,36
123,2017-05-14,9,31
124,2017-05-21,11,34
125,2017-05-28,10,31
126,2017-06-04,5,29
127,2017-06-11,10,24
128,2017-06-18,8,26
129,2017-06-25,11,27
130,2017-07-02,15,21
131,2017-07-09,32,23
132,2017-07-16,8,22
133,2017-07-23,5,26
134,2017-07-30,9,27
135,2017-08-06,10,26
136,2017-08-13,12,25
137,2017-08-20,13,30
138,2017-08-27,48,39
139,2017-09-03,17,40
140,2017-09-10,11,42
141,2017-09-17,10,38
142,2017-09-24,9,34
143,2017-10-01,34,37
144,2017-10-08,63,36
145,2017-10-15,46,33
146,2017-10-22,22,37
147,2017-10-29,18,36
148,2017-11-05,26,36
149,2017-11-12,19,38
150,2017-11-19,51,29
151,2017-11-26,18,30
152,2017-12-03,17,35
153,2017-12-10,15,32
154,2017-12-17,15,31
155,2017-12-24,19,24
156,2017-12-31,15,27
157,2018-01-07,21,36
158,2018-01-14,17,30
159,2018-01-21,21,35
160,2018-01-28,51,39
161,2018-02-04,100,39
162,2018-02-11,17,35
163,2018-02-18,26,37
164,2018-02-25,30,36
165,2018-03-04,33,33
166,2018-03-11,17,35
167,2018-03-18,23,33
168,2018-03-25,31,29
169,2018-04-01,43,29
170,2018-04-08,66,31
171,2018-04-15,29,33
172,2018-04-22,31,35
173,2018-04-29,27,29
174,2018-05-06,16,33
175,2018-05-13,21,29
176,2018-05-20,14,29
