,date,The Rolling Stones,Alphabet
0,2015-01-04,8,26
1,2015-01-11,8,27
2,2015-01-18,7,28
3,2015-01-25,8,25
4,2015-02-01,6,27
5,2015-02-08,9,28
6,2015-02-15,10,24
7,2015-02-22,7,26
8,2015-03-01,7,27
9,2015-03-08,17,26
10,2015-03-15,18,25
11,2015-03-22,14,27
12,2015-03-29,43,23
13,2015-04-05,37,26
14,2015-04-12,26,25
15,2015-04-19,15,26
16,2015-04-26,13,23
17,2015-05-03,11,20
18,2015-05-10,13,24
19,2015-05-17,17,20
20,2015-05-24,24,25
21,2015-05-31,22,24
22,2015-06-07,27,23
23,2015-06-14,51,21
24,2015-06-21,39,20
25,2015-06-28,15,21
26,2015-07-05,17,23
27,2015-07-12,11,22
28,2015-07-19,13,24
29,2015-07-26,8,21
30,2015-08-02,8,18
31,2015-08-09,8,44
32,2015-08-16,10,30
33,2015-08-23,10,28
34,2015-08-30,7,42
35,2015-09-06,8,35
36,2015-09-13,8,36
37,2015-09-20,4,29
38,2015-09-27,8,35
39,2015-10-04,8,41
40,2015-10-11,7,33
41,2015-10-18,7,39
42,2015-10-25,9,34
43,2015-11-01,9,35
44,2015-11-08,8,30
45,2015-11-15,8,28
46,2015-11-22,8,25
47,2015-11-29,7,31
48,2015-12-06,8,31
49,2015-12-13,7,27
50,2015-12-20,9,27
51,2015-12-27,9,19
52,2016-01-03,6,19
53,2016-01-10,9,21
54,2016-01-17,8,26
55,2016-01-24,7,27
56,2016-01-31,8,31
57,2016-02-07,9,25
58,2016-02-14,7,28
59,2016-02-21,9,31
60,2016-02-28,10,27
61,2016-03-06,10,25
62,2016-03-13,8,23
63,2016-03-20,10,22
64,2016-03-27,10,25
65,2016-04-03,9,26
66,2016-04-10,7,25
67,2016-04-17,10,26
68,2016-04-24,8,28
69,2016-05-01,8,24
70,2016-05-08,10,23
71,2016-05-15,7,25
72,2016-05-22,9,24
73,2016-05-29,11,21
74,2016-06-05,8,19
75,2016-06-12,7,20
76,2016-06-19,8,19
77,2016-06-26,8,22
78,2016-07-03,9,21
79,2016-07-10,10,21
80,2016-07-17,7,19
81,2016-07-24,7,18
82,2016-07-31,9,26
83,2016-08-07,6,16
84,2016-08-14,6,21
85,2016-08-21,7,23
86,2016-08-28,6,30
87,2016-09-04,8,30
88,2016-09-11,6,33
89,2016-09-18,7,32
90,2016-09-25,7,28
91,2016-10-02,13,29
92,2016-10-09,9,26
93,2016-10-16,12,28
94,2016-10-23,8,32
95,2016-10-30,8,24
96,2016-11-06,6,19
97,2016-11-13,11,28
98,2016-11-20,9,23
99,2016-11-27,13,31
100,2016-12-04,17,28
101,2016-12-11,12,28
102,2016-12-18,6,26
103,2016-12-25,9,22
104,2017-01-01,8,24
105,2017-01-08,10,24
106,2017-01-15,10,23
107,2017-01-22,9,29
108,2017-01-29,7,28
109,2017-02-05,7,26
110,2017-02-12,9,26
111,2017-02-19,10,26
112,2017-02-26,7,29
113,2017-03-05,9,26
114,2017-03-12,8,24
115,2017-03-19,11,27
116,2017-03-26,9,27
117,2017-04-02,7,27
118,2017-04-09,7,22
119,2017-04-16,8,23
120,2017-04-23,9,27
121,2017-04-30,8,27
122,2017-05-07,7,29
123,2017-05-14,7,25
124,2017-05-21,9,27
125,2017-05-28,9,25
126,2017-06-04,7,23
127,2017-06-11,8,19
128,2017-06-18,7,21
129,2017-06-25,9,22
130,2017-07-02,9,17
