,date,Bruno Mars,Alphabet
0,2015-01-04,26,29
1,2015-01-11,47,36
2,2015-01-18,24,39
3,2015-01-25,28,23
4,2015-02-01,43,26
5,2015-02-08,17,33
6,2015-02-15,26,30
7,2015-02-22,17,51
8,2015-03-01,36,27
9,2015-03-08,23,28
10,2015-03-15,22,20
11,2015-03-22,24,30
12,2015-03-29,10,23
13,2015-04-05,15,12
14,2015-04-12,12,29
15,2015-04-19,14,21
16,2015-04-26,8,13
17,2015-05-03,14,30
18,2015-05-10,8,32
19,2015-05-17,26,5
20,2015-05-24,5,28
21,2015-05-31,10,30
22,2015-06-07,0,8
23,2015-06-14,16,18
24,2015-06-21,6,6
25,2015-06-28,0,26
26,2015-07-05,9,0
27,2015-07-12,8,22
28,2015-07-19,6,0
29,2015-07-26,17,11
30,2015-08-02,5,49
31,2015-08-09,8,41
32,2015-08-16,11,34
33,2015-08-23,0,17
34,2015-08-30,11,29
35,2015-09-06,8,26
36,2015-09-13,5,47
37,2015-09-20,11,20
38,2015-09-27,12,25
39,2015-10-04,10,39
40,2015-10-11,15,25
41,2015-10-18,6,46
42,2015-10-25,0,47
43,2015-11-01,10,43
44,2015-11-08,6,28
45,2015-11-15,7,29
46,2015-11-22,8,31
47,2015-11-29,17,34
48,2015-12-06,8,20
49,2015-12-13,22,30
50,2015-12-20,7,12
51,2015-12-27,0,28
52,2016-01-03,9,13
53,2016-01-10,8,32
54,2016-01-17,14,13
55,2016-01-24,5,26
56,2016-01-31,0,44
57,2016-02-07,82,23
58,2016-02-14,10,51
59,2016-02-21,7,17
60,2016-02-28,0,27
61,2016-03-06,12,47
62,2016-03-13,9,26
63,2016-03-20,11,22
64,2016-03-27,0,30
65,2016-04-03,9,20
66,2016-04-10,7,24
67,2016-04-17,10,26
68,2016-04-24,0,29
69,2016-05-01,13,33
70,2016-05-08,8,14
71,2016-05-15,0,37
72,2016-05-22,8,24
73,2016-05-29,8,40
74,2016-06-05,5,31
75,2016-06-12,0,21
76,2016-06-19,0,9
77,2016-06-26,8,26
78,2016-07-03,8,15
79,2016-07-10,8,25
80,2016-07-17,13,16
81,2016-07-24,0,28
82,2016-07-31,6,20
83,2016-08-07,11,27
84,2016-08-14,8,20
85,2016-08-21,13,35
86,2016-08-28,30,25
87,2016-09-04,8,37
88,2016-09-11,9,20
89,2016-09-18,8,37
90,2016-09-25,0,37
91,2016-10-02,19,25
92,2016-10-09,21,25
93,2016-10-16,5,34
94,2016-10-23,17,41
95,2016-10-30,17,30
96,2016-11-06,10,24
97,2016-11-13,34,33
98,2016-11-20,64,27
99,2016-11-27,20,17
100,2016-12-04,36,26
101,2016-12-11,45,24
102,2016-12-18,37,22
103,2016-12-25,18,20
104,2017-01-01,10,40
105,2017-01-08,30,22
106,2017-01-15,22,27
107,2017-01-22,14,34
108,2017-01-29,17,29
109,2017-02-05,28,27
110,2017-02-12,100,38
111,2017-02-19,32,23
112,2017-02-26,31,27
113,2017-03-05,38,31
114,2017-03-12,24,28
115,2017-03-19,26,22
116,2017-03-26,33,38
117,2017-04-02,22,26
118,2017-04-09,32,34
119,2017-04-16,29,23
120,2017-04-23,18,18
121,2017-04-30,27,34
122,2017-05-07,25,24
123,2017-05-14,18,17
124,2017-05-21,40,20
125,2017-05-28,27,33
126,2017-06-04,19,22
127,2017-06-11,18,30
128,2017-06-18,14,27
129,2017-06-25,34,0
130,2017-07-02,16,24
131,2017-07-09,21,23
132,2017-07-16,21,18
133,2017-07-23,8,16
134,2017-07-30,4,14
135,2017-08-06,18,13
136,2017-08-13,21,16
137,2017-08-20,17,16
138,2017-08-27,20,27
139,2017-09-03,14,29
140,2017-09-10,14,34
141,2017-09-17,23,37
142,2017-09-24,16,28
143,2017-10-01,34,30
144,2017-10-08,48,31
145,2017-10-15,16,42
146,2017-10-22,6,41
147,2017-10-29,13,36
148,2017-11-05,12,34
149,2017-11-12,12,24
150,2017-11-19,11,4
151,2017-11-26,27,28
152,2017-12-03,28,23
153,2017-12-10,8,30
154,2017-12-17,4,37
155,2017-12-24,13,24
156,2017-12-31,33,21
157,2018-01-07,30,25
158,2018-01-14,22,27
159,2018-01-21,32,35
160,2018-01-28,90,25
161,2018-02-04,47,33
162,2018-02-11,34,39
163,2018-02-18,18,21
164,2018-02-25,28,19
165,2018-03-04,31,35
166,2018-03-11,36,28
167,2018-03-18,30,32
168,2018-03-25,23,26
169,2018-04-01,10,30
170,2018-04-08,13,32
171,2018-04-15,13,37
172,2018-04-22,10,40
173,2018-04-29,26,12
174,2018-05-06,11,21
175,2018-05-13,15,28
176,2018-05-20,8,23
177,2018-05-27,11,23
178,2018-06-03,18,20
179,2018-06-10,11,12
180,2018-06-17,9,22
181,2018-06-24,21,24
182,2018-07-01,10,35
183,2018-07-08,0,22
184,2018-07-15,8,22
185,2018-07-22,15,30
186,2018-07-29,19,19
187,2018-08-05,15,21
188,2018-08-12,23,13
189,2018-08-19,13,14
190,2018-08-26,11,27
191,2018-09-02,10,13
192,2018-09-09,15,27
193,2018-09-16,19,40
194,2018-09-23,32,41
195,2018-09-30,7,34
196,2018-10-07,19,29
197,2018-10-14,5,27
198,2018-10-21,18,29
199,2018-10-28,17,34
200,2018-11-04,5,33
201,2018-11-11,4,14
202,2018-11-18,0,20
203,2018-11-25,6,23
204,2018-12-02,9,42
205,2018-12-09,8,28
206,2018-12-16,4,29
207,2018-12-23,7,18
208,2018-12-30,15,27
209,2019-01-06,9,21
210,2019-01-13,8,22
211,2019-01-20,20,21
212,2019-01-27,7,41
213,2019-02-03,18,6
214,2019-02-10,18,21
215,2019-02-17,10,27
216,2019-02-24,16,28
217,2019-03-03,5,32
218,2019-03-10,6,24
219,2019-03-17,5,35
220,2019-03-24,8,28
221,2019-03-31,14,23
222,2019-04-07,10,34
223,2019-04-14,4,18
224,2019-04-21,9,26
225,2019-04-28,10,36
226,2019-05-05,0,23
227,2019-05-12,0,37
228,2019-05-19,0,26
229,2019-05-26,14,29
230,2019-06-02,0,19
231,2019-06-09,14,20
232,2019-06-16,6,14
233,2019-06-23,11,12
234,2019-06-30,0,22
235,2019-07-07,17,27
236,2019-07-14,6,20
237,2019-07-21,15,24
238,2019-07-28,5,26
239,2019-08-04,7,17
240,2019-08-11,7,15
241,2019-08-18,9,23
242,2019-08-25,11,22
243,2019-09-01,17,22
244,2019-09-08,8,40
245,2019-09-15,12,23
246,2019-09-22,9,33
247,2019-09-29,4,36
248,2019-10-06,8,24
249,2019-10-13,0,26
250,2019-10-20,14,43
251,2019-10-27,3,28
252,2019-11-03,6,39
253,2019-11-10,5,32
254,2019-11-17,0,34
255,2019-11-24,7,26
256,2019-12-01,4,29
257,2019-12-08,5,16
258,2019-12-15,7,30
259,2019-12-22,6,20
260,2019-12-29,4,26
