,date,Coldplay,Alphabet
0,2015-01-04,0,19
1,2015-01-11,12,24
2,2015-01-18,0,26
3,2015-01-25,14,15
4,2015-02-01,6,17
5,2015-02-08,13,22
6,2015-02-15,6,20
7,2015-02-22,4,33
8,2015-03-01,10,18
9,2015-03-08,5,18
10,2015-03-15,0,13
11,2015-03-22,7,20
12,2015-03-29,4,15
13,2015-04-05,5,8
14,2015-04-12,4,19
15,2015-04-19,0,14
16,2015-04-26,9,9
17,2015-05-03,5,20
18,2015-05-10,13,21
19,2015-05-17,0,3
20,2015-05-24,4,18
21,2015-05-31,4,20
22,2015-06-07,0,5
23,2015-06-14,0,12
24,2015-06-21,3,4
25,2015-06-28,4,17
26,2015-07-05,10,0
27,2015-07-12,6,14
28,2015-07-19,5,0
29,2015-07-26,9,7
30,2015-08-02,0,32
31,2015-08-09,0,27
32,2015-08-16,0,23
33,2015-08-23,0,11
34,2015-08-30,6,19
35,2015-09-06,6,17
36,2015-09-13,4,31
37,2015-09-20,15,13
38,2015-09-27,0,16
39,2015-10-04,7,26
40,2015-10-11,12,16
41,2015-10-18,12,30
42,2015-10-25,0,31
43,2015-11-01,8,28
44,2015-11-08,6,19
45,2015-11-15,6,19
46,2015-11-22,17,20
47,2015-11-29,21,22
48,2015-12-06,21,13
49,2015-12-13,17,20
50,2015-12-20,7,8
51,2015-12-27,17,19
52,2016-01-03,9,9
53,2016-01-10,8,21
54,2016-01-17,6,9
55,2016-01-24,15,17
56,2016-01-31,38,29
57,2016-02-07,100,15
58,2016-02-14,6,33
59,2016-02-21,13,11
60,2016-02-28,0,18
61,2016-03-06,6,31
62,2016-03-13,6,17
63,2016-03-20,0,14
64,2016-03-27,0,20
65,2016-04-03,12,13
66,2016-04-10,11,16
67,2016-04-17,5,17
68,2016-04-24,8,19
69,2016-05-01,9,21
70,2016-05-08,4,9
71,2016-05-15,5,25
72,2016-05-22,5,16
73,2016-05-29,11,26
74,2016-06-05,0,20
75,2016-06-12,9,14
76,2016-06-19,6,6
77,2016-06-26,11,17
78,2016-07-03,14,10
79,2016-07-10,11,17
80,2016-07-17,21,10
81,2016-07-24,45,18
82,2016-07-31,28,13
83,2016-08-07,4,18
84,2016-08-14,10,13
85,2016-08-21,4,23
86,2016-08-28,13,17
87,2016-09-04,9,24
88,2016-09-11,7,13
89,2016-09-18,0,24
90,2016-09-25,6,24
91,2016-10-02,12,17
92,2016-10-09,11,16
93,2016-10-16,0,23
94,2016-10-23,6,27
95,2016-10-30,0,20
96,2016-11-06,8,16
97,2016-11-13,8,22
98,2016-11-20,5,18
99,2016-11-27,5,11
100,2016-12-04,4,17
101,2016-12-11,0,16
102,2016-12-18,6,14
103,2016-12-25,7,13
104,2017-01-01,8,26
105,2017-01-08,17,14
106,2017-01-15,5,17
107,2017-01-22,5,22
108,2017-01-29,3,19
109,2017-02-05,5,18
110,2017-02-12,5,25
111,2017-02-19,10,15
112,2017-02-26,10,18
113,2017-03-05,3,21
114,2017-03-12,4,18
115,2017-03-19,5,14
116,2017-03-26,3,25
117,2017-04-02,7,17
118,2017-04-09,4,22
119,2017-04-16,0,15
120,2017-04-23,9,12
121,2017-04-30,5,22
122,2017-05-07,8,16
123,2017-05-14,11,11
124,2017-05-21,6,13
125,2017-05-28,7,22
126,2017-06-04,7,14
127,2017-06-11,11,20
128,2017-06-18,8,18
129,2017-06-25,5,0
130,2017-07-02,5,16
131,2017-07-09,9,15
132,2017-07-16,10,12
133,2017-07-23,15,11
134,2017-07-30,69,10
135,2017-08-06,14,9
136,2017-08-13,6,11
137,2017-08-20,8,11
138,2017-08-27,5,18
139,2017-09-03,4,19
140,2017-09-10,2,22
141,2017-09-17,0,24
142,2017-09-24,5,18
143,2017-10-01,0,20
144,2017-10-08,5,21
145,2017-10-15,7,27
146,2017-10-22,0,27
147,2017-10-29,5,23
148,2017-11-05,5,22
149,2017-11-12,0,16
150,2017-11-19,10,3
151,2017-11-26,0,18
152,2017-12-03,0,15
153,2017-12-10,12,20
154,2017-12-17,3,24
155,2017-12-24,6,15
156,2017-12-31,6,14
157,2018-01-07,5,16
158,2018-01-14,4,18
159,2018-01-21,0,23
160,2018-01-28,3,16
161,2018-02-04,8,22
162,2018-02-11,3,26
163,2018-02-18,8,14
164,2018-02-25,5,13
165,2018-03-04,5,23
166,2018-03-11,4,19
167,2018-03-18,3,21
168,2018-03-25,0,17
