,date,Ed Sheeran,Alphabet
0,2015-01-04,24,19
1,2015-01-11,28,24
2,2015-01-18,31,26
3,2015-01-25,46,16
4,2015-02-01,31,17
5,2015-02-08,89,22
6,2015-02-15,70,20
7,2015-02-22,39,34
8,2015-03-01,32,18
9,2015-03-08,20,19
10,2015-03-15,26,13
11,2015-03-22,26,20
12,2015-03-29,14,15
13,2015-04-05,17,8
14,2015-04-12,31,19
15,2015-04-19,30,14
16,2015-04-26,12,9
17,2015-05-03,18,20
18,2015-05-10,23,21
19,2015-05-17,26,3
20,2015-05-24,24,18
21,2015-05-31,12,20
22,2015-06-07,27,5
23,2015-06-14,28,12
24,2015-06-21,23,4
25,2015-06-28,32,17
26,2015-07-05,28,0
27,2015-07-12,20,14
28,2015-07-19,22,0
29,2015-07-26,32,7
30,2015-08-02,16,32
31,2015-08-09,18,27
32,2015-08-16,34,23
33,2015-08-23,20,11
34,2015-08-30,11,19
35,2015-09-06,20,17
36,2015-09-13,22,31
37,2015-09-20,60,13
38,2015-09-27,27,16
39,2015-10-04,12,26
40,2015-10-11,9,16
41,2015-10-18,12,30
42,2015-10-25,14,31
43,2015-11-01,8,29
44,2015-11-08,16,19
45,2015-11-15,30,19
46,2015-11-22,16,20
47,2015-11-29,11,22
48,2015-12-06,13,13
49,2015-12-13,10,20
50,2015-12-20,8,8
51,2015-12-27,8,19
52,2016-01-03,13,9
53,2016-01-10,7,21
54,2016-01-17,10,9
55,2016-01-24,7,17
56,2016-01-31,6,29
57,2016-02-07,5,15
58,2016-02-14,24,34
59,2016-02-21,7,11
60,2016-02-28,6,18
61,2016-03-06,5,31
62,2016-03-13,6,17
63,2016-03-20,8,15
64,2016-03-27,9,20
65,2016-04-03,6,13
66,2016-04-10,6,16
67,2016-04-17,0,17
68,2016-04-24,10,19
69,2016-05-01,10,22
70,2016-05-08,7,9
71,2016-05-15,3,25
72,2016-05-22,0,16
73,2016-05-29,3,26
74,2016-06-05,5,21
75,2016-06-12,5,14
76,2016-06-19,0,6
77,2016-06-26,4,17
78,2016-07-03,3,10
79,2016-07-10,6,17
80,2016-07-17,0,11
81,2016-07-24,4,18
82,2016-07-31,0,13
83,2016-08-07,10,18
84,2016-08-14,0,13
85,2016-08-21,7,23
86,2016-08-28,7,17
87,2016-09-04,8,24
88,2016-09-11,0,13
89,2016-09-18,12,24
90,2016-09-25,3,24
91,2016-10-02,0,17
92,2016-10-09,6,17
93,2016-10-16,7,23
94,2016-10-23,7,27
95,2016-10-30,0,20
96,2016-11-06,0,16
97,2016-11-13,4,22
98,2016-11-20,7,18
99,2016-11-27,8,12
100,2016-12-04,15,17
101,2016-12-11,9,16
102,2016-12-18,7,14
103,2016-12-25,0,13
104,2017-01-01,31,26
105,2017-01-08,31,15
106,2017-01-15,15,18
107,2017-01-22,16,22
108,2017-01-29,17,19
109,2017-02-05,26,18
110,2017-02-12,50,25
111,2017-02-19,35,15
112,2017-02-26,47,18
113,2017-03-05,73,21
114,2017-03-12,90,18
115,2017-03-19,52,14
116,2017-03-26,37,25
117,2017-04-02,32,17
118,2017-04-09,39,22
119,2017-04-16,30,15
120,2017-04-23,23,12
121,2017-04-30,24,23
122,2017-05-07,14,16
123,2017-05-14,20,11
124,2017-05-21,24,14
125,2017-05-28,15,22
126,2017-06-04,22,14
127,2017-06-11,8,20
128,2017-06-18,14,18
129,2017-06-25,21,0
130,2017-07-02,29,16
131,2017-07-09,29,15
132,2017-07-16,66,12
133,2017-07-23,34,11
134,2017-07-30,28,10
