,date,Guns N' Roses,Alphabet
0,2015-01-04,13,24
1,2015-01-11,8,29
2,2015-01-18,5,32
3,2015-01-25,13,19
4,2015-02-01,0,21
5,2015-02-08,3,27
6,2015-02-15,12,24
7,2015-02-22,0,42
8,2015-03-01,0,22
9,2015-03-08,0,23
10,2015-03-15,0,16
11,2015-03-22,0,25
12,2015-03-29,0,18
13,2015-04-05,5,10
14,2015-04-12,4,23
15,2015-04-19,0,17
16,2015-04-26,0,11
17,2015-05-03,0,24
18,2015-05-10,0,26
19,2015-05-17,7,4
20,2015-05-24,0,23
21,2015-05-31,0,24
22,2015-06-07,0,6
23,2015-06-14,0,15
24,2015-06-21,0,5
25,2015-06-28,0,21
26,2015-07-05,4,0
27,2015-07-12,0,18
28,2015-07-19,0,0
29,2015-07-26,8,9
30,2015-08-02,11,40
31,2015-08-09,5,33
32,2015-08-16,0,28
33,2015-08-23,0,14
34,2015-08-30,0,24
35,2015-09-06,7,21
36,2015-09-13,0,39
37,2015-09-20,0,16
38,2015-09-27,8,20
39,2015-10-04,0,32
40,2015-10-11,0,20
41,2015-10-18,5,38
42,2015-10-25,3,38
43,2015-11-01,4,35
44,2015-11-08,0,23
45,2015-11-15,0,24
46,2015-11-22,0,25
47,2015-11-29,0,28
48,2015-12-06,7,16
49,2015-12-13,3,25
50,2015-12-20,0,10
51,2015-12-27,27,23
52,2016-01-03,21,11
53,2016-01-10,12,26
54,2016-01-17,17,11
55,2016-01-24,4,22
56,2016-01-31,0,36
57,2016-02-07,15,19
58,2016-02-14,13,42
59,2016-02-21,11,14
60,2016-02-28,0,22
61,2016-03-06,9,38
62,2016-03-13,0,21
63,2016-03-20,9,18
64,2016-03-27,30,24
65,2016-04-03,42,16
66,2016-04-10,24,20
67,2016-04-17,28,21
68,2016-04-24,8,24
69,2016-05-01,8,27
70,2016-05-08,14,11
71,2016-05-15,8,31
72,2016-05-22,4,19
73,2016-05-29,12,32
74,2016-06-05,0,25
75,2016-06-12,5,17
76,2016-06-19,14,7
77,2016-06-26,13,21
78,2016-07-03,24,12
79,2016-07-10,27,21
80,2016-07-17,100,13
81,2016-07-24,11,23
82,2016-07-31,7,16
83,2016-08-07,10,22
84,2016-08-14,0,16
85,2016-08-21,5,29
86,2016-08-28,11,21
87,2016-09-04,14,30
88,2016-09-11,3,17
89,2016-09-18,0,30
90,2016-09-25,11,30
91,2016-10-02,0,21
92,2016-10-09,5,20
93,2016-10-16,0,28
94,2016-10-23,6,34
95,2016-10-30,8,24
96,2016-11-06,6,20
97,2016-11-13,5,27
98,2016-11-20,17,22
99,2016-11-27,12,14
100,2016-12-04,5,21
101,2016-12-11,0,20
102,2016-12-18,0,18
103,2016-12-25,0,17
104,2017-01-01,6,32
105,2017-01-08,0,18
106,2017-01-15,5,22
107,2017-01-22,6,27
108,2017-01-29,5,24
109,2017-02-05,0,22
110,2017-02-12,12,31
111,2017-02-19,0,19
112,2017-02-26,5,22
113,2017-03-05,7,26
114,2017-03-12,0,23
115,2017-03-19,0,18
116,2017-03-26,0,31
117,2017-04-02,3,21
118,2017-04-09,0,28
119,2017-04-16,0,19
120,2017-04-23,9,15
121,2017-04-30,5,28
122,2017-05-07,0,20
123,2017-05-14,4,14
124,2017-05-21,0,17
125,2017-05-28,4,27
