,date,Metallica,Alphabet
0,2015-01-04,0,26
1,2015-01-11,10,32
2,2015-01-18,12,34
3,2015-01-25,0,21
4,2015-02-01,9,23
5,2015-02-08,0,30
6,2015-02-15,11,26
7,2015-02-22,10,45
8,2015-03-01,6,24
9,2015-03-08,9,25
10,2015-03-15,0,17
11,2015-03-22,0,27
12,2015-03-29,6,20
13,2015-04-05,0,11
14,2015-04-12,8,25
15,2015-04-19,8,18
16,2015-04-26,6,12
17,2015-05-03,17,26
18,2015-05-10,0,28
19,2015-05-17,12,4
20,2015-05-24,5,24
21,2015-05-31,19,27
22,2015-06-07,10,7
23,2015-06-14,7,16
24,2015-06-21,0,6
25,2015-06-28,0,23
26,2015-07-05,0,0
27,2015-07-12,10,19
28,2015-07-19,8,0
29,2015-07-26,6,9
30,2015-08-02,10,43
31,2015-08-09,0,36
32,2015-08-16,11,30
33,2015-08-23,0,15
34,2015-08-30,0,26
35,2015-09-06,14,23
36,2015-09-13,8,42
37,2015-09-20,10,17
38,2015-09-27,12,22
39,2015-10-04,14,35
40,2015-10-11,0,22
41,2015-10-18,0,41
42,2015-10-25,9,42
43,2015-11-01,10,38
44,2015-11-08,6,25
45,2015-11-15,0,26
46,2015-11-22,6,27
47,2015-11-29,4,30
48,2015-12-06,8,17
49,2015-12-13,0,27
50,2015-12-20,5,11
51,2015-12-27,9,25
52,2016-01-03,9,12
53,2016-01-10,6,28
54,2016-01-17,8,12
55,2016-01-24,7,23
56,2016-01-31,4,39
57,2016-02-07,10,20
58,2016-02-14,10,45
59,2016-02-21,9,15
60,2016-02-28,4,24
61,2016-03-06,0,41
62,2016-03-13,0,23
63,2016-03-20,4,19
64,2016-03-27,0,26
65,2016-04-03,13,18
66,2016-04-10,8,22
67,2016-04-17,17,23
68,2016-04-24,11,26
69,2016-05-01,8,29
70,2016-05-08,18,12
71,2016-05-15,4,33
72,2016-05-22,13,21
73,2016-05-29,0,35
74,2016-06-05,4,27
75,2016-06-12,0,19
76,2016-06-19,0,8
77,2016-06-26,7,23
78,2016-07-03,0,13
79,2016-07-10,7,23
80,2016-07-17,6,14
81,2016-07-24,9,24
82,2016-07-31,4,17
83,2016-08-07,4,24
84,2016-08-14,14,18
85,2016-08-21,15,31
86,2016-08-28,14,22
87,2016-09-04,12,33
88,2016-09-11,10,18
89,2016-09-18,8,33
90,2016-09-25,18,32
91,2016-10-02,11,22
92,2016-10-09,12,22
93,2016-10-16,10,30
94,2016-10-23,7,36
95,2016-10-30,0,26
96,2016-11-06,12,21
97,2016-11-13,37,30
98,2016-11-20,14,24
99,2016-11-27,16,15
100,2016-12-04,6,23
101,2016-12-11,4,21
102,2016-12-18,14,19
103,2016-12-25,11,18
104,2017-01-01,4,35
105,2017-01-08,6,19
106,2017-01-15,11,23
107,2017-01-22,10,30
108,2017-01-29,5,26
109,2017-02-05,5,24
110,2017-02-12,100,34
111,2017-02-19,22,20
112,2017-02-26,17,24
113,2017-03-05,17,28
114,2017-03-12,13,25
115,2017-03-19,13,19
116,2017-03-26,11,34
117,2017-04-02,10,23
118,2017-04-09,22,30
119,2017-04-16,12,20
120,2017-04-23,13,16
121,2017-04-30,17,30
122,2017-05-07,18,21
123,2017-05-14,93,15
124,2017-05-21,31,18
125,2017-05-28,13,29
126,2017-06-04,10,19
127,2017-06-11,0,27
128,2017-06-18,6,24
129,2017-06-25,4,0
130,2017-07-02,4,21
131,2017-07-09,9,20
132,2017-07-16,15,16
133,2017-07-23,0,14
134,2017-07-30,8,13
135,2017-08-06,7,12
136,2017-08-13,7,15
137,2017-08-20,0,14
138,2017-08-27,7,24
139,2017-09-03,8,26
140,2017-09-10,8,30
141,2017-09-17,9,33
142,2017-09-24,4,25
143,2017-10-01,5,26
144,2017-10-08,4,28
145,2017-10-15,5,37
146,2017-10-22,6,37
147,2017-10-29,4,32
148,2017-11-05,0,30
149,2017-11-12,16,21
150,2017-11-19,4,4
151,2017-11-26,5,25
152,2017-12-03,10,20
153,2017-12-10,9,27
154,2017-12-17,11,33
155,2017-12-24,13,21
156,2017-12-31,12,19
157,2018-01-07,11,22
158,2018-01-14,8,24
159,2018-01-21,7,31
160,2018-01-28,11,22
161,2018-02-04,0,30
162,2018-02-11,8,35
163,2018-02-18,10,19
164,2018-02-25,22,17
165,2018-03-04,7,31
166,2018-03-11,18,25
167,2018-03-18,3,28
168,2018-03-25,13,23
169,2018-04-01,5,27
170,2018-04-08,5,29
171,2018-04-15,10,33
172,2018-04-22,8,35
173,2018-04-29,10,11
174,2018-05-06,6,19
175,2018-05-13,0,25
