,date,The Rolling Stones,Alphabet
0,2015-01-04,10,35
1,2015-01-11,13,43
2,2015-01-18,8,47
3,2015-01-25,15,28
4,2015-02-01,7,31
5,2015-02-08,0,40
6,2015-02-15,0,36
7,2015-02-22,0,61
8,2015-03-01,0,32
9,2015-03-08,22,34
10,2015-03-15,26,24
11,2015-03-22,17,36
12,2015-03-29,25,27
13,2015-04-05,6,15
14,2015-04-12,16,34
15,2015-04-19,0,25
16,2015-04-26,8,16
17,2015-05-03,7,36
18,2015-05-10,10,38
19,2015-05-17,8,6
20,2015-05-24,12,33
21,2015-05-31,38,36
22,2015-06-07,24,9
23,2015-06-14,21,22
24,2015-06-21,20,8
25,2015-06-28,37,31
26,2015-07-05,12,0
27,2015-07-12,18,26
28,2015-07-19,12,0
29,2015-07-26,18,13
30,2015-08-02,0,59
31,2015-08-09,7,49
32,2015-08-16,12,41
33,2015-08-23,0,21
34,2015-08-30,17,35
35,2015-09-06,12,31
36,2015-09-13,12,57
37,2015-09-20,12,24
38,2015-09-27,13,30
39,2015-10-04,9,47
40,2015-10-11,0,30
41,2015-10-18,14,55
42,2015-10-25,14,56
43,2015-11-01,14,52
44,2015-11-08,9,34
45,2015-11-15,10,35
46,2015-11-22,25,37
47,2015-11-29,20,41
48,2015-12-06,15,23
49,2015-12-13,8,36
50,2015-12-20,0,15
51,2015-12-27,21,34
52,2016-01-03,12,16
53,2016-01-10,8,38
54,2016-01-17,5,16
55,2016-01-24,0,32
56,2016-01-31,6,53
57,2016-02-07,13,27
58,2016-02-14,12,61
59,2016-02-21,9,20
60,2016-02-28,17,32
61,2016-03-06,13,56
62,2016-03-13,9,31
63,2016-03-20,8,26
64,2016-03-27,11,36
65,2016-04-03,0,24
66,2016-04-10,10,29
67,2016-04-17,21,31
68,2016-04-24,24,35
69,2016-05-01,15,39
70,2016-05-08,11,16
71,2016-05-15,23,45
72,2016-05-22,8,28
73,2016-05-29,12,48
74,2016-06-05,15,37
75,2016-06-12,10,25
76,2016-06-19,18,11
77,2016-06-26,8,31
78,2016-07-03,17,18
79,2016-07-10,12,31
